agency_cd,site_no,datetime,Day,Month,Year,Q_CFS,STAT
USGS,DL,6/1/1997,1,6,1997,1260,A
USGS,DL,6/2/1997,2,6,1997,1370,A
USGS,DL,6/3/1997,3,6,1997,1360,A
USGS,DL,6/4/1997,4,6,1997,1360,A
USGS,DL,6/5/1997,5,6,1997,1430,A
USGS,DL,6/6/1997,6,6,1997,1660,A
USGS,DL,6/7/1997,7,6,1997,1770,A
USGS,DL,6/8/1997,8,6,1997,1880,A
USGS,DL,6/9/1997,9,6,1997,1900,A
USGS,DL,6/10/1997,10,6,1997,1830,A
USGS,DL,6/11/1997,11,6,1997,1860,A
USGS,DL,6/12/1997,12,6,1997,1950,A
USGS,DL,6/13/1997,13,6,1997,1900,A
USGS,DL,6/14/1997,14,6,1997,1980,A
USGS,DL,6/15/1997,15,6,1997,1860,A
USGS,DL,6/16/1997,16,6,1997,1740,A
USGS,DL,6/17/1997,17,6,1997,1680,A
USGS,DL,6/18/1997,18,6,1997,1670,A
USGS,DL,6/19/1997,19,6,1997,1640,A
USGS,DL,6/20/1997,20,6,1997,1530,A
USGS,DL,6/21/1997,21,6,1997,1390,A
USGS,DL,6/22/1997,22,6,1997,1250,A
USGS,DL,6/23/1997,23,6,1997,1150,A
USGS,DL,6/24/1997,24,6,1997,1070,A
USGS,DL,6/25/1997,25,6,1997,1000,A
USGS,DL,6/26/1997,26,6,1997,919,A
USGS,DL,6/27/1997,27,6,1997,818,A
USGS,DL,6/28/1997,28,6,1997,774,A
USGS,DL,6/29/1997,29,6,1997,737,A
USGS,DL,6/30/1997,30,6,1997,765,A
USGS,DL,7/1/1997,1,7,1997,994,A
USGS,DL,7/2/1997,2,7,1997,963,A
USGS,DL,7/3/1997,3,7,1997,900,A
USGS,DL,7/4/1997,4,7,1997,841,A
USGS,DL,7/5/1997,5,7,1997,772,A
USGS,DL,7/6/1997,6,7,1997,759,A
USGS,DL,7/7/1997,7,7,1997,722,A
USGS,DL,7/8/1997,8,7,1997,632,A
USGS,DL,7/9/1997,9,7,1997,586,A
USGS,DL,7/10/1997,10,7,1997,566,A
USGS,DL,7/11/1997,11,7,1997,559,A
USGS,DL,7/12/1997,12,7,1997,521,A
USGS,DL,7/13/1997,13,7,1997,486,A
USGS,DL,7/14/1997,14,7,1997,443,A
USGS,DL,7/15/1997,15,7,1997,384,A
USGS,DL,7/16/1997,16,7,1997,334,A
USGS,DL,7/17/1997,17,7,1997,335,A
USGS,DL,7/18/1997,18,7,1997,354,A
USGS,DL,7/19/1997,19,7,1997,394,A
USGS,DL,7/20/1997,20,7,1997,715,A
USGS,DL,7/21/1997,21,7,1997,582,A
USGS,DL,7/22/1997,22,7,1997,515,A
USGS,DL,7/23/1997,23,7,1997,468,A
USGS,DL,7/24/1997,24,7,1997,432,A
USGS,DL,7/25/1997,25,7,1997,399,A
USGS,DL,7/26/1997,26,7,1997,375,A
USGS,DL,7/27/1997,27,7,1997,354,A
USGS,DL,7/28/1997,28,7,1997,338,A
USGS,DL,7/29/1997,29,7,1997,335,A
USGS,DL,7/30/1997,30,7,1997,337,A
USGS,DL,7/31/1997,31,7,1997,342,A
USGS,DL,8/1/1997,1,8,1997,381,A
USGS,DL,8/2/1997,2,8,1997,408,A
USGS,DL,8/3/1997,3,8,1997,382,A
USGS,DL,8/4/1997,4,8,1997,330,A
USGS,DL,8/5/1997,5,8,1997,370,A
USGS,DL,8/6/1997,6,8,1997,418,A
USGS,DL,8/7/1997,7,8,1997,382,A
USGS,DL,8/8/1997,8,8,1997,354,A
USGS,DL,8/9/1997,9,8,1997,317,A
USGS,DL,8/10/1997,10,8,1997,308,A
USGS,DL,8/11/1997,11,8,1997,300,A
USGS,DL,8/12/1997,12,8,1997,292,A
USGS,DL,8/13/1997,13,8,1997,284,A
USGS,DL,8/14/1997,14,8,1997,288,A
USGS,DL,8/15/1997,15,8,1997,264,A
USGS,DL,8/16/1997,16,8,1997,320,A
USGS,DL,8/17/1997,17,8,1997,348,A
USGS,DL,8/18/1997,18,8,1997,367,A
USGS,DL,8/19/1997,19,8,1997,399,A
USGS,DL,8/20/1997,20,8,1997,357,A
USGS,DL,8/21/1997,21,8,1997,360,A
USGS,DL,8/22/1997,22,8,1997,350,A
USGS,DL,8/23/1997,23,8,1997,333,A
USGS,DL,8/24/1997,24,8,1997,323,A
USGS,DL,8/25/1997,25,8,1997,322,A
USGS,DL,8/26/1997,26,8,1997,325,A
USGS,DL,8/27/1997,27,8,1997,337,A
USGS,DL,8/28/1997,28,8,1997,329,A
USGS,DL,8/29/1997,29,8,1997,315,A
USGS,DL,8/30/1997,30,8,1997,298,A
USGS,DL,8/31/1997,31,8,1997,295,A
USGS,DL,9/1/1997,1,9,1997,292,A
USGS,DL,9/2/1997,2,9,1997,285,A
USGS,DL,9/3/1997,3,9,1997,283,A
USGS,DL,9/4/1997,4,9,1997,305,A
USGS,DL,9/5/1997,5,9,1997,294,A
USGS,DL,9/6/1997,6,9,1997,297,A
USGS,DL,9/7/1997,7,9,1997,292,A
USGS,DL,9/8/1997,8,9,1997,291,A
USGS,DL,9/9/1997,9,9,1997,287,A
USGS,DL,9/10/1997,10,9,1997,277,A
USGS,DL,9/11/1997,11,9,1997,283,A
USGS,DL,9/12/1997,12,9,1997,305,A
USGS,DL,9/13/1997,13,9,1997,313,A
USGS,DL,9/14/1997,14,9,1997,317,A
USGS,DL,9/15/1997,15,9,1997,316,A
USGS,DL,9/16/1997,16,9,1997,330,A
USGS,DL,9/17/1997,17,9,1997,329,A
USGS,DL,9/18/1997,18,9,1997,323,A
USGS,DL,9/19/1997,19,9,1997,317,A
USGS,DL,9/20/1997,20,9,1997,324,A
USGS,DL,9/21/1997,21,9,1997,337,A
USGS,DL,9/22/1997,22,9,1997,338,A
USGS,DL,9/23/1997,23,9,1997,334,A
USGS,DL,9/24/1997,24,9,1997,310,A
USGS,DL,9/25/1997,25,9,1997,294,A
USGS,DL,9/26/1997,26,9,1997,288,A
USGS,DL,9/27/1997,27,9,1997,295,A
USGS,DL,9/28/1997,28,9,1997,300,A
USGS,DL,9/29/1997,29,9,1997,297,A
USGS,DL,9/30/1997,30,9,1997,291,A
USGS,DL,10/1/1997,1,10,1997,279,A
USGS,DL,10/2/1997,2,10,1997,281,A
USGS,DL,10/3/1997,3,10,1997,277,A
USGS,DL,10/4/1997,4,10,1997,280,A
USGS,DL,10/5/1997,5,10,1997,292,A
USGS,DL,10/6/1997,6,10,1997,319,A
USGS,DL,10/7/1997,7,10,1997,325,A
USGS,DL,10/8/1997,8,10,1997,366,A
USGS,DL,10/9/1997,9,10,1997,353,A
USGS,DL,10/10/1997,10,10,1997,340,A
USGS,DL,10/11/1997,11,10,1997,356,A
USGS,DL,10/12/1997,12,10,1997,366,A
USGS,DL,10/13/1997,13,10,1997,352,A
USGS,DL,10/14/1997,14,10,1997,349,A
USGS,DL,10/15/1997,15,10,1997,350,A
USGS,DL,10/16/1997,16,10,1997,341,A
USGS,DL,10/17/1997,17,10,1997,330,A
USGS,DL,10/18/1997,18,10,1997,324,A
USGS,DL,10/19/1997,19,10,1997,323,A
USGS,DL,10/20/1997,20,10,1997,323,A
USGS,DL,10/21/1997,21,10,1997,318,A
USGS,DL,10/22/1997,22,10,1997,309,A
USGS,DL,10/23/1997,23,10,1997,322,A
USGS,DL,10/24/1997,24,10,1997,338,A
USGS,DL,10/25/1997,25,10,1997,338,A
USGS,DL,10/26/1997,26,10,1997,342,A
USGS,DL,10/27/1997,27,10,1997,347,A
USGS,DL,10/28/1997,28,10,1997,346,A
USGS,DL,10/29/1997,29,10,1997,345,A
USGS,DL,10/30/1997,30,10,1997,343,A
USGS,DL,10/31/1997,31,10,1997,370,A
USGS,DL,11/1/1997,1,11,1997,374,A
USGS,DL,11/2/1997,2,11,1997,353,A
USGS,DL,11/3/1997,3,11,1997,349,A
USGS,DL,11/4/1997,4,11,1997,351,A
USGS,DL,11/5/1997,5,11,1997,351,A
USGS,DL,11/6/1997,6,11,1997,344,A
USGS,DL,11/7/1997,7,11,1997,340,A
USGS,DL,11/8/1997,8,11,1997,342,A
USGS,DL,11/9/1997,9,11,1997,345,A
USGS,DL,11/10/1997,10,11,1997,343,A
USGS,DL,11/11/1997,11,11,1997,324,A
USGS,DL,11/12/1997,12,11,1997,315,A
USGS,DL,11/13/1997,13,11,1997,320,A
USGS,DL,11/14/1997,14,11,1997,306,A
USGS,DL,11/15/1997,15,11,1997,295,A
USGS,DL,11/16/1997,16,11,1997,300,A
USGS,DL,11/17/1997,17,11,1997,297,A
USGS,DL,11/18/1997,18,11,1997,310,A
USGS,DL,11/19/1997,19,11,1997,320,A
USGS,DL,11/20/1997,20,11,1997,323,A
USGS,DL,11/21/1997,21,11,1997,323,A
USGS,DL,11/22/1997,22,11,1997,323,A
USGS,DL,11/23/1997,23,11,1997,319,A
USGS,DL,11/24/1997,24,11,1997,326,A
USGS,DL,11/25/1997,25,11,1997,337,A
USGS,DL,11/26/1997,26,11,1997,330,A
USGS,DL,11/27/1997,27,11,1997,338,A
USGS,DL,11/28/1997,28,11,1997,331,A
USGS,DL,11/29/1997,29,11,1997,332,A
USGS,DL,11/30/1997,30,11,1997,333,A
USGS,DL,12/1/1997,1,12,1997,334,A
USGS,DL,12/2/1997,2,12,1997,325,A
USGS,DL,12/3/1997,3,12,1997,288,A
USGS,DL,12/4/1997,4,12,1997,303,A
USGS,DL,12/5/1997,5,12,1997,290,A
USGS,DL,12/6/1997,6,12,1997,285,A
USGS,DL,12/7/1997,7,12,1997,281,A
USGS,DL,12/8/1997,8,12,1997,278,A
USGS,DL,12/9/1997,9,12,1997,281,A
USGS,DL,12/10/1997,10,12,1997,271,A
