 Agency Code, Station number,Site, Begin date,Day,Month,Year, Begin time, End date, End time, Time datum, Time datum reliability code, Agency Collecting Sample Code, Medium code, Taxonomic unit code, Body part code," Stream width, feet"," Temperature, water, degrees Celsius"," Temperature, air, degrees Celsius"," Temperature, air, degrees Fahrenheit"," Barometric pressure, millimeters of mercury"," Agency analyzing sample, code"," Weather, World Meteorological Organization (WMO) code"," Discharge, cubic feet per second"," Discharge, instantaneous, cubic feet per second"," Number of sampling points, count"," Gage height, feet"," Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"," Hydrogen ion, water, unfiltered, calculated, milligrams per liter"," pH, water, unfiltered, field, standard units"," pH, water, unfiltered, laboratory, standard units"," Carbon dioxide, water, unfiltered, milligrams per liter"," Hardness, water, milligrams per liter as calcium carbonate"," Calcium, water, filtered, milligrams per liter"," Magnesium, water, filtered, milligrams per liter"," Sodium, water, filtered, milligrams per liter"," Sodium adsorption ratio (SAR), water, number"," Sodium fraction of cations, water, percent in equivalents of major cations"," Potassium, water, filtered, milligrams per liter"," Chloride, water, filtered, milligrams per liter"," Sulfate, water, filtered, milligrams per liter"," Fluoride, water, filtered, milligrams per liter"," Silica, water, filtered, milligrams per liter as SiO2"," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"," Gage height, above datum, meters"," Discharge, cubic meters per second"," Discharge, instantaneous, cubic meters per second"," Transit rate, sampler, minimum, feet per second"," Transit rate, sampler, feet per second"," Transit rate, sampler, maximum, feet per second"," Site visit purpose, code"," Turbidity, water, unfiltered, monochrome near infra"," Dissolved solids, water, filtered, sum of constituents, milligrams per liter"," Dissolved solids, water, short tons per day"," Dissolved solids, water, filtered, short tons per acre"," Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters"," Sample purpose, code"," Sample location, distance downstream, feet"," Sample location, distance upstream, feet"," Sampler nozzle material, code"," Sampler nozzle diameter, code"," Suspended sediment concentration, milligrams per liter"," Suspended sediment discharge, short tons per day"," Velocity at point in stream, feet per second"," Sampling method, code"," Sampler type, code"," Sample splitter type, field, code"," Bottle or bag sampler material (construction), code"," Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius"," Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate"," Suspended sediment, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, smaller than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, larger than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, between 0.063 and 4 mm sieve diameter, sediment mass analyzed for particle size fractions, dry weight, grams"," Type of replicate, code"," Type of quality assurance data associated with sample, code"," Sulfuric acid NWIS lot number, 4.5 N (1:7), 1 mL, National Field Supply Service (NFSS) stock number Q438FLD"," Nitric acid NWIS lot number, 7.5"," Conductance standard NWIS lot number, 100 uS/cm KCl, National Field Supply Service (NFSS) stock number Q43FLD"," Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD"," Conductance standard NWIS lot number, 750 uS/cm KCl, National Field Supply Service (NFSS) stock number Q46FLD"," Conductance standard NWIS lot number, 1000 uS/cm KCl, National Field Supply Service (NFSS) stock number Q47FLD"," pH 10 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q122FLD, Q123FLD"," pH 4 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q124FLD, Q125FLD"," pH 7 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q126FLD, Q127FLD"," Lot number, first, inorganic"," NWIS lot number, capsule filter, 0.45 micron"," NWIS lot number, disk filter, 0.45 micron"," Julian date, in"
USGS,12331800,BN,3/9/1993,9,3,1993,18:20,,,MST,T,USGS-WRD,WS,,,,1,2.5,,,80020,0,,660,,3.72,435,0.00001,8.2,7.4,1.6,191,55,13,13,0.41,12,7.3,7.1,87,0.4,17,13,26,< 0.1,< 1.0,17,100,2500,45,< 0.5,19,490,29,21,200,1.13,,19,,,,,,278,495,0.38,72,,,,,,166,296,,10,3030,,,451,130,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,3/23/1993,23,3,1993,13:45,,,MST,T,USGS-WRD,WS,,,,8,22,,,1028,,,923,,4.18,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,4/6/1993,6,4,1993,9:50,,,MDT,T,USGS-WRD,WS,,,,6.5,9.5,,,1028,,,645,,3.7,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,4/14/1993,14,4,1993,9:45,,,MDT,T,USGS-WRD,WS,,,,8,7.5,,,80020,2,,587,,3.59,470,M ,8.4,7.9,1.1,205,59,14,13,0.4,12,3.5,6.2,86,0.4,18,9,12,< 0.1,< 1.0,6,28,560,7,< 0.5,4,130,15,11,50,1.09,,17,,,,,,290,460,0.39,85,,,,,,28,44,,10,3030,,,472,150,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,4/28/1993,28,4,1993,9:30,,,MDT,T,USGS-WRD,WS,,,,8,10.5,,,80020,0,,550,,3.52,462,M ,8.4,8,1.1,214,61,15,13,0.39,11,3.3,5.7,90,0.4,17,10,12,< 0.1,< 1.0,4,22,400,4,< 0.5,3,110,15,10,40,1.07,,16,,,,,,291,432,0.4,90,,,,,,19,28,,10,3030,,,461,142,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,5/15/1993,15,5,1993,10:25,,,MDT,T,USGS-WRD,WS,,,,13,20.5,,,80020,0,,1650,,5,278,0.00001,8,7.6,1.8,124,36,8.3,7.8,0.3,12,2.7,3.4,45,0.3,17,11,30,< 0.1,1,9,140,4000,41,1.2,40,490,16,10,260,1.52,,47,,,,,,176,786,0.24,56,,,,,,270,1200,,20,3036,,,285,93,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,5/17/1993,17,5,1993,9:30,,,MDT,T,USGS-WRD,WS,,,,12.5,15,,,1028,,,1850,,5.21,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,5/19/1993,19,5,1993,18:15,,,MDT,T,USGS-WRD,WS,,,,17,24,,,1028,1,,1710,,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,48,,,,,,,,,62,,,,,,132,609,,20,3036,,,,,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,5/26/1993,26,5,1993,11:45,,,MDT,T,USGS-WRD,WS,,,,16,19.5,,,80020,1,,992,,4.31,371,0.00001,8.2,8,1.5,170,50,11,13,0.43,14,3.1,4.6,58,0.4,20,13,18,0.1,< 1.0,,,890,15,,,170,22,18,70,1.31,,28,,,,,,235,630,0.32,80,,,,,,40,107,,20,3036,,,374,125,,,,,30,30,,,,,,,,,,,,,
USGS,12331800,BN,6/8/1993,8,6,1993,12:45,,,MDT,T,USGS-WRD,WS,,,,11,,,,80020,2,,985,,4.41,403,0.00001,8.3,8,1.4,182,53,12,12,0.39,12,3.4,4.2,61,0.4,19,10,12,< 0.1,< 1.0,,,490,14,,,120,16,14,50,1.34,,28,,,,,,250,664,0.34,79,,,,,,21,56,,20,3036,,,404,141,,,,,,,,,,,,,,,,,,,
USGS,12331800,BN,6/28/1993,28,6,1993,9:30,,,MDT,T,USGS-WRD,WS,,,,17.5,18.5,,,1028,,,881,,4.43,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
