 Agency Code, Station number,Site, Begin date,Day,Month,Year, Begin time, End date, End time, Time datum, Time datum reliability code, Agency Collecting Sample Code, Medium code, Taxonomic unit code, Body part code," Stream width, feet"," Temperature, water, degrees Celsius"," Temperature, air, degrees Celsius"," Temperature, air, degrees Fahrenheit"," Barometric pressure, millimeters of mercury"," Agency analyzing sample, code"," Weather, World Meteorological Organization (WMO) code"," Discharge, cubic feet per second"," Discharge, instantaneous, cubic feet per second"," Number of sampling points, count"," Gage height, feet"," Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"," Hydrogen ion, water, unfiltered, calculated, milligrams per liter"," pH, water, unfiltered, field, standard units"," pH, water, unfiltered, laboratory, standard units"," Carbon dioxide, water, unfiltered, milligrams per liter"," Hardness, water, milligrams per liter as calcium carbonate"," Noncarbonate hardness, water, filtered, lab, milligrams per liter as calcium carbonate"," Calcium, water, filtered, milligrams per liter"," Magnesium, water, filtered, milligrams per liter"," Sodium, water, filtered, milligrams per liter"," Sodium adsorption ratio (SAR), water, number"," Sodium fraction of cations, water, percent in equivalents of major cations"," Potassium, water, filtered, milligrams per liter"," Chloride, water, filtered, milligrams per liter"," Sulfate, water, filtered, milligrams per liter"," Fluoride, water, filtered, milligrams per liter"," Silica, water, filtered, milligrams per liter as SiO2"," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"," Aluminum, water, unfiltered, recoverable, micrograms per liter"," Aluminum, water, filtered, micrograms per liter"," Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate"," Gage height, above datum, meters"," Discharge, cubic meters per second"," Discharge, instantaneous, cubic meters per second"," Transit rate, sampler, minimum, feet per second"," Transit rate, sampler, feet per second"," Transit rate, sampler, maximum, feet per second"," Site visit purpose, code"," Turbidity, water, unfiltered, broad band light source (400"," Turbidity, water, unfiltered, monochrome near infra"," Turbidity, water, unfiltered, monochrome near infra"," Dissolved solids, water, filtered, sum of constituents, milligrams per liter"," Dissolved solids, water, short tons per day"," Dissolved solids, water, filtered, short tons per acre"," Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters"," Sample purpose, code"," Sample location, distance downstream, feet"," Sample location, distance upstream, feet"," Sampler nozzle material, code"," Sampler nozzle diameter, code"," Suspended sediment concentration, milligrams per liter"," Suspended sediment discharge, short tons per day"," Velocity at point in stream, feet per second"," Sampling method, code"," Sampler type, code"," Sample splitter type, field, code"," Bottle or bag sampler material (construction), code"," Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius"," Suspended sediment, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, smaller than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, larger than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, between 0.063 and 4 mm sieve diameter, sediment mass analyzed for particle size fractions, dry weight, grams"," Type of replicate, code"," Type of quality assurance data associated with sample, code"," Sulfuric acid NWIS lot number, 4.5 N (1:7), 1 mL, National Field Supply Service (NFSS) stock number Q438FLD"," Nitric acid NWIS lot number, 7.5"," Conductance standard NWIS lot number, 50 uS/cm KCl, National Field Supply Service (NFSS) stock number Q42FLD"," Conductance standard NWIS lot number, 100 uS/cm KCl, National Field Supply Service (NFSS) stock number Q43FLD"," Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD"," Conductance standard NWIS lot number, 750 uS/cm KCl, National Field Supply Service (NFSS) stock number Q46FLD"," Conductance standard NWIS lot number, 1000 uS/cm KCl, National Field Supply Service (NFSS) stock number Q47FLD"," pH 10 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q122FLD, Q123FLD"," pH 4 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q124FLD, Q125FLD"," pH 7 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q126FLD, Q127FLD"," Lot number, first, inorganic"," NWIS lot number, capsule filter, 0.45 micron"," NWIS lot number, disk filter, 0.45 micron"," Julian date, in"
USGS,12324200,DL,6/1/1997,1,6,1997,12:15,,,MDT,T,USGS-WRD,WS,,,,12.5,19.5,,,80020,,,1260,,4.1,286,0.00001,8.1,,,119,,36.3,6.84,,,,,,,,,22,44,0.2,< 1.0,32,130,1580,29.7,< 0.5,15,190,33.5,23.4,110,,,,1.25,,36,,,,,,,,,,,50,,,,,,113,384,,20,3036,,,,,,,,,,,,,,,,,,,,,,,164
USGS,12324200,DL,6/12/1997,12,6,1997,16:10,,,MDT,T,USGS-WRD,WS,,,,15,,,,1028,,,1970,,5.02,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,6/23/1997,23,6,1997,14:30,,,MDT,T,USGS-WRD,WS,,,,12.5,12.5,,,80020,,,1170,,4.2,296,M ,8.5,,,130,,39.8,7.49,,,,,,,,,21,37,0.1,< 1.0,18.5,92,1140,21.2,< 0.5,10.8,160,55.4,8.5,80,,,,1.28,,33,,,,,,,,,,,56,,,,,,65,205,,20,3036,,,,,,,,,,,,,,,,,,,,,,,189
USGS,12324200,DL,7/23/1997,23,7,1997,15:30,,,MDT,T,USGS-WRD,WS,,,,19.5,27,,,1028,,,458,,3.33,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,8/9/1997,9,8,1997,6:40,,,MDT,T,USGS-WRD,WS,,,,14,11,,,80020,,,313,,3.03,395,0.00001,8.3,,,179,,52.9,11.4,,,,,,,,,24,26,< 0.1,< 1.0,10,47.3,470,11,< 0.5,4.7,90,29.6,9.9,40,,,,0.92,,8.9,,,,,,,,,,,77,,,,,,20,17,,10,3044,,,,,,,,30,30,,,,,,,,,,,,,,231
USGS,12324200,DL,8/13/1997,13,8,1997,15:45,,,MDT,T,USGS-WRD,WS,,,,16,19.5,,,1028,,,293,,2.98,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,10/6/1997,6,10,1997,14:30,,,MDT,T,USGS-WRD,WS,,,,7.5,10.5,,,1028,,,321,,3.05,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,11/3/1997,3,11,1997,17:15,,,MST,T,USGS-WRD,WS,,,,5,10,,,80020,,,351,,3.09,458,M ,8.6,,,207,,60.4,13.7,,,,,,,,,9,10,< 0.1,< 1.0,4,12.1,200,7.8,< 0.6,1.1,60,28.9,< 10.0,20,120,< 5,,0.94,,9.9,,,,,,,,,,,80,,,,,,10,9.5,,10,3044,,,,,,,,20,30,,,,,,,,,,,,,,325
USGS,12324200,DL,11/21/1997,21,11,1997,17:00,,,MST,T,USGS-WRD,WS,,,,3,2,,,1028,,,323,,3.04,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/13/1998,13,1,1998,14:00,,,MST,T,USGS-WRD,WS,,,,0,-7,,,1028,,,206,,2.86,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/9/1998,9,3,1998,11:20,,,MST,T,USGS-WRD,WS,,,,1.5,-4,,,1028,,,274,,2.91,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/11/1998,11,3,1998,16:10,,,MST,T,USGS-WRD,WS,,,,5,15,,,80020,,,252,,2.91,485,M ,8.6,,,218,,63.3,14.5,,,,,,,,,7,10,< 0.1,< 1.0,5.4,20.9,330,< 5.0,< 0.6,2.1,90,49.8,< 10.0,20,,,,0.89,,7.1,,,,,,,,,,,74,,,,,,18,12,,10,3044,,,,,,,,30,30,,,,,,,,,,,,,,84
