 Agency Code, Station number,Site, Begin date,Day,Month,Year, Begin time, End date, End time, Time datum, Time datum reliability code, Medium code, Taxonomic unit code, Body part code," Stream width, feet"," Temperature, water, degrees Celsius"," Temperature, air, degrees Celsius"," Temperature, air, degrees Fahrenheit"," Barometric pressure, millimeters of mercury"," Weather, World Meteorological Organization (WMO) code"," Discharge, cubic feet per second"," Discharge, instantaneous, cubic feet per second"," Number of sampling points, count"," Gage height, feet"," Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"," Hydrogen ion, water, unfiltered, calculated, milligrams per liter"," pH, water, unfiltered, field, standard units"," pH, water, unfiltered, laboratory, standard units"," Hardness, water, milligrams per liter as calcium carbonate"," Calcium, water, filtered, milligrams per liter"," Magnesium, water, filtered, milligrams per liter"," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"," Gage height, above datum, meters"," Discharge, cubic meters per second"," Discharge, instantaneous, cubic meters per second"," Transit rate, sampler, minimum, feet per second"," Transit rate, sampler, feet per second"," Transit rate, sampler, maximum, feet per second"," Site visit purpose, code"," Turbidity, water, unfiltered, monochrome near infra"," Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters"," Sample purpose, code"," Sample location, distance downstream, feet"," Sample location, distance upstream, feet"," Sampler nozzle material, code"," Sampler nozzle diameter, code"," Suspended sediment concentration, milligrams per liter"," Suspended sediment discharge, short tons per day"," Velocity at point in stream, feet per second"," Sampling method, code"," Sampler type, code"," Sample splitter type, field, code"," Bottle or bag sampler material (construction), code"," Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius"," Suspended sediment, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, smaller than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, larger than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, between 0.063 and 4 mm sieve diameter, sediment mass analyzed for particle size fractions, dry weight, grams"," Type of replicate, code"," Type of quality assurance data associated with sample, code"," Sulfuric acid NWIS lot number, 4.5 N (1:7), 1 mL, National Field Supply Service (NFSS) stock number Q438FLD"," Nitric acid NWIS lot number, 7.5"," Conductance standard NWIS lot number, 50 uS/cm KCl, National Field Supply Service (NFSS) stock number Q42FLD"," Conductance standard NWIS lot number, 100 uS/cm KCl, National Field Supply Service (NFSS) stock number Q43FLD"," Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD"," Conductance standard NWIS lot number, 750 uS/cm KCl, National Field Supply Service (NFSS) stock number Q46FLD"," Conductance standard NWIS lot number, 1000 uS/cm KCl, National Field Supply Service (NFSS) stock number Q47FLD"," pH 10 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q122FLD, Q123FLD"," pH 4 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q124FLD, Q125FLD"," pH 7 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q126FLD, Q127FLD"," Lot number, first, inorganic"," NWIS lot number, capsule filter, 0.45 micron"," NWIS lot number, disk filter, 0.45 micron"," Julian date, in"
USGS,12324400,GR,2/19/2009,19,2,2009,13:30,,,MST,K,WS,,,,4,7.5,,,,,254,,3.21,431,,,,,,,,,,,,,,,,,,,,,0.98,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/24/2009,24,3,2009,11:55,,,MDT,K,WS,,,,3,5,,,,,345,,3.47,471,0.00001,8.3,8,195,56.2,13.2,12.9,19.9,0.084,0.378,9.1,59.4,1090,18.4,0.138,7.75,148,34.1,6.8,65.1,1.06,,9.8,,,,,,66,,,,,,49,46,,10,3044,,,456,,,,,30,30,,,,,,,,,,,,,,
USGS,12324400,GR,4/28/2009,28,4,2009,13:15,,,MDT,K,WS,,,,5,3,,,,,467,,3.81,462,0.00001,8.2,8,192,56.4,12.5,12.6,20.2,0.064,0.27,7.7,65.9,1150,10.4,0.109,8.59,159,15.6,7.2,56.3,1.16,,13,,,,,,56,,,,,,58,73,,10,3044,,,464,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/19/2009,19,5,2009,12:45,,,MDT,K,WS,,,,14,26,,,,,664,,4.28,339,0.00001,8.1,7.8,142,42.7,8.65,16.5,39.1,0.076,0.749,11.7,197,3190,15,0.173,29.4,309,28.8,6,152,1.3,,19,,,,,,60,,,,,,179,321,,20,3036,,,335,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/21/2009,21,5,2009,9:15,,,MDT,K,WS,,,,8.2,6,,,,,919,,4.8,192,,,,,,,,,,,,,,,,,,,,,1.46,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/26/2009,26,5,2009,13:30,,,MDT,K,WS,,,,14,25,,,,,1360,,5.55,280,,,,,,,,,,,,,,,,,,,,,1.69,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/2/2009,2,6,2009,14:10,,,MDT,K,WS,,,,10,14,,,,,1380,,5.58,253,0.00001,8.1,7.9,104,31.8,5.93,21.6,43.5,0.11,0.605,20.2,182,2140,33.5,0.393,22.2,246,22.6,15.9,142,1.7,,39,,,,,,56,,,,,,115,428,,20,3036,,,252,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/23/2009,23,6,2009,12:40,,,MDT,K,WS,,,,12,16,,,,,1210,,5.31,298,0.00001,8.2,8,132,39.2,8.32,18.4,27.7,0.098,0.336,15.7,87.6,1180,28.4,0.222,12.3,131,19.1,9.7,70.2,1.62,,34,,,,,,42,,,,,,81,265,,20,3036,,,294,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/14/2009,14,7,2009,12:50,,,MDT,K,WS,,,,14.5,19,,,,,514,,3.93,353,0.00001,8.2,8.1,151,44.1,10,16.1,21.9,0.073,0.249,11.1,61.5,632,15.6,0.115,13.5,140,18.5,5.8,38.4,1.2,,15,,,,,,70,,,,,,30,42,,10,3044,,,354,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,8/4/2009,4,8,2009,13:25,,,MDT,K,WS,,,,21.4,,,,,,,,2.91,440,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,8/4/2009,4,8,2009,13:50,,,MST,K,WS,,,,21.4,25,,,,,179,,2.91,440,,,,,,,,,,,,,,,,,,,,,0.89,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
