agency_cd,site_no,datetime,Day,Month,Year,Q_CFS,STAT
USGS,BN,6/1/1997,1,6,1997,3620,A
USGS,BN,6/2/1997,2,6,1997,3980,A
USGS,BN,6/3/1997,3,6,1997,3780,A
USGS,BN,6/4/1997,4,6,1997,3630,A
USGS,BN,6/5/1997,5,6,1997,4030,A
USGS,BN,6/6/1997,6,6,1997,4190,A
USGS,BN,6/7/1997,7,6,1997,4190,A
USGS,BN,6/8/1997,8,6,1997,4370,A
USGS,BN,6/9/1997,9,6,1997,4350,A
USGS,BN,6/10/1997,10,6,1997,3960,A
USGS,BN,6/11/1997,11,6,1997,4340,A
USGS,BN,6/12/1997,12,6,1997,4910,A
USGS,BN,6/13/1997,13,6,1997,4830,A
USGS,BN,6/14/1997,14,6,1997,4840,A
USGS,BN,6/15/1997,15,6,1997,4720,A
USGS,BN,6/16/1997,16,6,1997,4450,A
USGS,BN,6/17/1997,17,6,1997,4150,A
USGS,BN,6/18/1997,18,6,1997,4140,A
USGS,BN,6/19/1997,19,6,1997,3970,A
USGS,BN,6/20/1997,20,6,1997,3630,A
USGS,BN,6/21/1997,21,6,1997,3270,A
USGS,BN,6/22/1997,22,6,1997,2920,A
USGS,BN,6/23/1997,23,6,1997,2640,A
USGS,BN,6/24/1997,24,6,1997,2470,A
USGS,BN,6/25/1997,25,6,1997,2290,A
USGS,BN,6/26/1997,26,6,1997,2080,A
USGS,BN,6/27/1997,27,6,1997,1830,A
USGS,BN,6/28/1997,28,6,1997,1680,A
USGS,BN,6/29/1997,29,6,1997,1690,A
USGS,BN,6/30/1997,30,6,1997,1850,A
USGS,BN,7/1/1997,1,7,1997,2210,A
USGS,BN,7/2/1997,2,7,1997,2510,A
USGS,BN,7/3/1997,3,7,1997,2250,A
USGS,BN,7/4/1997,4,7,1997,2080,A
USGS,BN,7/5/1997,5,7,1997,1890,A
USGS,BN,7/6/1997,6,7,1997,1780,A
USGS,BN,7/7/1997,7,7,1997,1700,A
USGS,BN,7/8/1997,8,7,1997,1570,A
USGS,BN,7/9/1997,9,7,1997,1480,A
USGS,BN,7/10/1997,10,7,1997,1460,A
USGS,BN,7/11/1997,11,7,1997,1440,A
USGS,BN,7/12/1997,12,7,1997,1380,A
USGS,BN,7/13/1997,13,7,1997,1290,A
USGS,BN,7/14/1997,14,7,1997,1230,A
USGS,BN,7/15/1997,15,7,1997,1140,A
USGS,BN,7/16/1997,16,7,1997,1050,A
