agency_cd,site_no,datetime,Day,Month,Year,Q_CFS,STAT
USGS,HU,6/3/1997,3,6,1997,41400,A
USGS,HU,6/4/1997,4,6,1997,38200,A
USGS,HU,6/5/1997,5,6,1997,38900,A
USGS,HU,6/6/1997,6,6,1997,41700,A
USGS,HU,6/7/1997,7,6,1997,39900,A
USGS,HU,6/8/1997,8,6,1997,36700,A
USGS,HU,6/9/1997,9,6,1997,35900,A
USGS,HU,6/10/1997,10,6,1997,34500,A
USGS,HU,6/11/1997,11,6,1997,34500,A
USGS,HU,6/12/1997,12,6,1997,35900,A
USGS,HU,6/13/1997,13,6,1997,34200,A
USGS,HU,6/14/1997,14,6,1997,33300,A
USGS,HU,6/15/1997,15,6,1997,32700,A
USGS,HU,6/16/1997,16,6,1997,32100,A
USGS,HU,6/17/1997,17,6,1997,30800,A
USGS,HU,6/18/1997,18,6,1997,29700,A
USGS,HU,6/19/1997,19,6,1997,29900,A
USGS,HU,6/20/1997,20,6,1997,26500,A
USGS,HU,6/21/1997,21,6,1997,23300,A
USGS,HU,6/22/1997,22,6,1997,20900,A
USGS,HU,6/23/1997,23,6,1997,19300,A
USGS,HU,6/24/1997,24,6,1997,17900,A
USGS,HU,6/25/1997,25,6,1997,16700,A
USGS,HU,6/26/1997,26,6,1997,15400,A
USGS,HU,6/27/1997,27,6,1997,15000,A
USGS,HU,6/28/1997,28,6,1997,14800,A
USGS,HU,6/29/1997,29,6,1997,14400,A
USGS,HU,6/30/1997,30,6,1997,15300,A
USGS,HU,7/1/1997,1,7,1997,15700,A
USGS,HU,7/2/1997,2,7,1997,15800,A
USGS,HU,7/3/1997,3,7,1997,14600,A
USGS,HU,7/4/1997,4,7,1997,13600,A
USGS,HU,7/5/1997,5,7,1997,13000,A
USGS,HU,7/6/1997,6,7,1997,12700,A
USGS,HU,7/7/1997,7,7,1997,12400,A
USGS,HU,7/8/1997,8,7,1997,11700,A
USGS,HU,7/9/1997,9,7,1997,11100,A
USGS,HU,7/10/1997,10,7,1997,11100,A
USGS,HU,7/11/1997,11,7,1997,11000,A
USGS,HU,7/12/1997,12,7,1997,10000,A
USGS,HU,7/13/1997,13,7,1997,9260,A
USGS,HU,7/14/1997,14,7,1997,8680,A
USGS,HU,7/15/1997,15,7,1997,8300,A
USGS,HU,7/16/1997,16,7,1997,8010,A
USGS,HU,7/17/1997,17,7,1997,7610,A
USGS,HU,7/18/1997,18,7,1997,7550,A
USGS,HU,7/19/1997,19,7,1997,8090,A
USGS,HU,7/20/1997,20,7,1997,8780,A
USGS,HU,7/21/1997,21,7,1997,8760,A
USGS,HU,7/22/1997,22,7,1997,8090,A
USGS,HU,7/23/1997,23,7,1997,7730,A
USGS,HU,7/24/1997,24,7,1997,7180,A
USGS,HU,7/25/1997,25,7,1997,6630,A
