agency_cd,site_no,datetime,Day,Month,Year,Q_CFS,STAT
USGS,MS,6/3/1997,3,6,1997,19400,A
USGS,MS,6/4/1997,4,6,1997,18300,A
USGS,MS,6/5/1997,5,6,1997,19800,A
USGS,MS,6/6/1997,6,6,1997,20600,A
USGS,MS,6/7/1997,7,6,1997,19100,A
USGS,MS,6/8/1997,8,6,1997,18000,A
USGS,MS,6/9/1997,9,6,1997,18000,A
USGS,MS,6/10/1997,10,6,1997,16700,A
USGS,MS,6/11/1997,11,6,1997,16700,A
USGS,MS,6/12/1997,12,6,1997,17500,A
USGS,MS,6/13/1997,13,6,1997,17100,A
USGS,MS,6/14/1997,14,6,1997,16600,A
USGS,MS,6/15/1997,15,6,1997,16300,A
USGS,MS,6/16/1997,16,6,1997,15700,A
USGS,MS,6/17/1997,17,6,1997,14800,A
USGS,MS,6/18/1997,18,6,1997,14300,A
USGS,MS,6/19/1997,19,6,1997,13800,A
USGS,MS,6/20/1997,20,6,1997,12600,A
USGS,MS,6/21/1997,21,6,1997,11300,A
USGS,MS,6/22/1997,22,6,1997,10300,A
USGS,MS,6/23/1997,23,6,1997,9590,A
USGS,MS,6/24/1997,24,6,1997,9080,A
USGS,MS,6/25/1997,25,6,1997,8680,A
USGS,MS,6/26/1997,26,6,1997,8110,A
USGS,MS,6/27/1997,27,6,1997,7630,A
USGS,MS,6/28/1997,28,6,1997,7320,A
USGS,MS,6/29/1997,29,6,1997,7160,A
USGS,MS,6/30/1997,30,6,1997,7750,A
USGS,MS,7/1/1997,1,7,1997,7840,A
USGS,MS,7/2/1997,2,7,1997,8190,A
USGS,MS,7/3/1997,3,7,1997,7740,A
USGS,MS,7/4/1997,4,7,1997,7250,A
USGS,MS,7/5/1997,5,7,1997,6730,A
USGS,MS,7/6/1997,6,7,1997,6410,A
USGS,MS,7/7/1997,7,7,1997,6150,A
USGS,MS,7/8/1997,8,7,1997,5840,A
USGS,MS,7/9/1997,9,7,1997,5510,A
USGS,MS,7/10/1997,10,7,1997,5430,A
USGS,MS,7/11/1997,11,7,1997,5300,A
USGS,MS,7/12/1997,12,7,1997,5050,A
USGS,MS,7/13/1997,13,7,1997,4800,A
USGS,MS,7/14/1997,14,7,1997,4580,A
USGS,MS,7/15/1997,15,7,1997,4370,A
USGS,MS,7/16/1997,16,7,1997,4140,A
USGS,MS,7/17/1997,17,7,1997,3800,A
USGS,MS,7/18/1997,18,7,1997,3770,A
USGS,MS,7/19/1997,19,7,1997,4170,A
USGS,MS,7/20/1997,20,7,1997,4670,A
USGS,MS,7/21/1997,21,7,1997,5090,A
USGS,MS,7/22/1997,22,7,1997,4500,A:e
USGS,MS,7/23/1997,23,7,1997,4200,A:e
USGS,MS,7/24/1997,24,7,1997,3900,A:e
USGS,MS,7/25/1997,25,7,1997,3700,A:e
USGS,MS,7/26/1997,26,7,1997,3500,A:e
USGS,MS,7/27/1997,27,7,1997,3300,A:e
USGS,MS,7/28/1997,28,7,1997,3200,A:e
USGS,MS,7/29/1997,29,7,1997,3170,A
USGS,MS,7/30/1997,30,7,1997,3160,A
USGS,MS,7/31/1997,31,7,1997,3040,A
USGS,MS,8/1/1997,1,8,1997,2940,A
USGS,MS,8/2/1997,2,8,1997,2920,A
USGS,MS,8/3/1997,3,8,1997,2880,A
USGS,MS,8/4/1997,4,8,1997,2870,A
USGS,MS,8/5/1997,5,8,1997,2660,A
USGS,MS,8/6/1997,6,8,1997,2650,A
USGS,MS,8/7/1997,7,8,1997,2690,A
USGS,MS,8/8/1997,8,8,1997,2690,A
USGS,MS,8/9/1997,9,8,1997,2620,A
USGS,MS,8/10/1997,10,8,1997,2520,A
USGS,MS,8/11/1997,11,8,1997,2460,A
USGS,MS,8/12/1997,12,8,1997,2400,A
USGS,MS,8/13/1997,13,8,1997,2470,A
USGS,MS,8/14/1997,14,8,1997,2290,A
USGS,MS,8/15/1997,15,8,1997,2230,A
USGS,MS,8/16/1997,16,8,1997,2250,A
USGS,MS,8/17/1997,17,8,1997,2370,A
USGS,MS,8/18/1997,18,8,1997,2390,A
USGS,MS,8/19/1997,19,8,1997,2370,A
USGS,MS,8/20/1997,20,8,1997,2310,A
USGS,MS,8/21/1997,21,8,1997,2240,A
USGS,MS,8/22/1997,22,8,1997,2230,A
