Site, Begin date,Day,Month,Year," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"
BN,6/2/1998,2,6,1998,12,14,0.1,1,6.5,30.3,600,11.4,0.6,4.9,100,10.2,10,40
BN,6/29/1998,29,6,1998,15,20,0.2,1,9.1,57.2,1580,31.8,0.6,10.3,160,21.9,10,90
BN,8/24/1998,24,8,1998,13,13,0.1,1,4.1,8.6,130,5,0.6,1,50,12.2,10,10
BN,6/7/1999,7,6,1999,11,22,0.1,1,8.5,71.5,1790,26,0.5,12.9,219,12.4,7.9,96.5
BN,6/23/1999,23,6,1999,14,15,0.1,1,7.7,37.1,695,10.8,0.5,4.3,96,10.7,20,43.5
BN,8/13/1999,13,8,1999,13,13,0.1,1,4.9,19.1,373,10,0.5,2.8,128,9,3.6,33.9
BN,6/5/2000,5,6,2000,12.4,12,0.1,0.1,4.6,10.4,108,10,1,1,46.4,15.1,6,9
BN,7/21/2000,21,7,2000,10.3,13,0.1,0.1,3.7,8.3,93.3,10,1,1,57.2,12.7,2.7,10
BN,9/5/2000,5,9,2000,10.8,11,0.1,0.1,7.9,7.6,91.3,10,1,1,36.5,6.77,3.8,11
BN,6/4/2001,4,6,2001,9.9,16,0.1,0.3,7,41,793,20.7, ,8.34,225,60.7,5.9,63
BN,7/24/2001,24,7,2001,11.5,15,0.1,0.1,3.4,16.3,340,5.1,1,2.72,98.1,22.8,3.7,23
BN,9/4/2001,4,9,2001,9.4,10,0.1,0.1,3.4,4.6,19.7,10,1,1,8.04,4.45,1.2,3
BN,6/4/2002,4,6,2002,11.9,18,0.027,0.435,6.4,60.7,1220,12.2,0.159,10.4,190,10.4,5.2,76
BN,6/25/2002,25,6,2002,12.3,14,0.045,0.127,6,21.6,357,7.8,0.092,3.01,73.8,10.9,4.5,25
BN,8/21/2002,21,8,2002,11.3,10,0.028,0.039,3,4.9,40.2,10,0.08,1,22.5,10.9,2.7,6
BN,6/3/2003,3,6,2003,14.4,27,0.095,0.536,12.6,105,2130,38.9,0.419,17.5,264,16.4,9,121
BN,6/17/2003,17,6,2003,12.1,14,0.059,0.158,7.1,21.5,352,9.6,0.06,2.89,70.5,19.7,4.6,25
BN,7/29/2003,29,7,2003,14,13,0.033,0.045,4.7,7.2,43.9,8,0.08,0.34,25.7,9.87,2.9,6
BN,8/26/2003,26,8,2003,11.4,14,0.025,0.08,3.7,9.4,129,8,0.08,0.98,78.9,10.4,2.8,12
BN,6/2/2004,2,6,2004,10.4,12,0.024,0.084,4.7,10.4,176,6,0.064,1.19,49,15.8,2.6,12
BN,6/13/2004,13,6,2004,10.6,14,0.04,0.145,4.2,19,449,10.3,0.103,3.45,96.6,15.6,2.9,26
BN,7/20/2004,20,7,2004,12.8,12,0.02,0.061,3.6,6.7,95.8,3.7,0.053,0.8,41,11,1.7,7
BN,8/23/2004,23,8,2004,12.1,12,0.026,0.067,3.8,7.7,132,3.3,0.045,0.98,45.4,6.83,2.9,11
BN,6/2/2005,2,6,2005,12.2,30,0.067,0.823,12.8,146,3320,36.8,0.294,23,403,18.1,9,201
BN,6/23/2005,23,6,2005,12.9,18,0.067,0.277,8.6,48.3,884,14.2,0.185,7.48,137,14,5.4,45
BN,7/26/2005,26,7,2005,11.5,12.7,0.036,0.043,4.3,6.1,43.5,6,0.04,0.3,20.5,11.7,2.9,5
BN,8/24/2005,24,8,2005,11.6,11.7,0.033,0.038,4.2,6.3,50.5,6.8,0.08,0.45,29.7,7.35,2.6,6
BN,6/14/2006,14,6,2006,13.3,20.6,0.04,0.325,8.8,52.5,1120,14.8,0.13,8.8,184,8.56,5,59
BN,7/25/2006,25,7,2006,12.2,12.1,0.02,0.035,4.1,6.1,27.1,6,0.08,0.21,15.2,6.96,1.5,3
BN,8/24/2006,24,8,2006,10.2,10.4,0.04,0.051,3.3,5.3,30,6,0.08,0.22,19.3,6.75,2.2,4
BN,6/7/2007,7,6,2007,18,41.3,0.07,1.02,16,170,4450,53.9,0.58,31,507,30.9,9.5,200
BN,6/19/2007,19,6,2007,12.6,16.3,0.05,0.2,6.1,26.2,657,39.1,0.13,5.24,111,27.5,4.2,32.8
BN,7/24/2007,24,7,2007,11.5,11.6,0.03,0.05,3.9,5.5,25.7,6,0.12,0.18,13.5,3.3,0.95,2.9
BN,8/28/2007,28,8,2007,11.1,11.3,0.028,0.066,3.1,5.9,80.7,6,0.12,0.67,53.6,11.7,2.1,7.4
BN,6/4/2008,4,6,2008,13.2,20.5,0.046,0.297,8.3,55.8,1280,27.2,0.214,10.2,191,11.5,6.9,66.3
BN,6/17/2008,17,6,2008,13.8,19.8,0.055,0.288,9.1,52,1260,29.2,0.261,9.29,168,13.3,7.5,66.2
BN,7/9/2008,9,7,2008,13.5,16.9,0.066,0.138,7.1,23.1,431,7.7,0.227,3.61,83.9,26.9,4,24.4
BN,8/19/2008,19,8,2008,11.2,12.1,0.026,0.016,4.3,5.7,74.3,8,0.08,0.32,21.6,6.18,2.3,4.3
BN,6/2/2009,2,6,2009,15.2,25.4,0.083,0.429,14.3,83.3,1640,36,0.346,12.9,202,20.9,9.4,89.8
BN,6/23/2009,23,6,2009,13.6,21.1,0.089,0.268,12.3,57.1,1240,23,0.196,10.1,152,17,5.9,63.4
BN,7/14/2009,14,7,2009,11.6,13.1,0.045,0.126,5.3,15.9,321,8.3,0.079,2.77,74.8,14.4,3.2,18.9
BN,8/18/2009,18,8,2009,11.6,13.2,0.039,0.103,4.3,11.7,303,9,0.065,2.44,69.4,11.4,2.6,14.8
BN,6/3/2010,3,6,2010,10.7,25.9,0.039,0.612,6.8,123,3050,22.8,0.215,21.9,354,9.05,4.9,141
BN,6/16/2010,16,6,2010,11.9,25.4,0.077,0.39,8.8,87.1,2100,29.9,0.279,16.8,242,7.97,6.3,108
BN,7/21/2010,21,7,2010,12.9,13.1,0.057,0.069,4.8,9.9,125,4,0.285,0.9,32,13.8,4.9,9.9
BN,8/25/2010,25,8,2010,10.9,13.3,0.034,0.051,3.8,6.3,84.4,3.5,0.053,0.64,30.6,11.5,2.3,5.9
BN,6/2/2011,2,6,2011,12.4,21.5,0.082,0.378,10.2,77.9,1930,50,0.3,11.3,184,20,8.4,85.9
BN,6/15/2011,15,6,2011,23.9,30.7,0.101,0.358,19.8,72,1790,57.7,0.432,9.52,153,27.2,13.2,86.1
BN,7/14/2011,14,7,2011,15.7,24.7,0.083,0.336,9.6,63,1360,22.6,0.198,9.6,186,36.8,6.7,64.9
BN,8/17/2011,17,8,2011,14,14.2,0.07,0.079,5.4,10.2,141,6.4,0.051,1.08,49.8,17.8,5.3,11.8
BN,6/6/2012,6,6,2012,11.1,24,0.052,0.442,8.8,97.3,2530,29.7,0.349,19.8,277,17.2,5.2,106
BN,6/20/2012,20,6,2012,8.8,10.1,0.047,0.118,5.2,18.9,419,15.8,0.117,2.83,52.3,14.7,3.8,21.4
BN,7/18/2012,18,7,2012,12.5,11.4,0.029,0.113,5.7,9.1,55.6,22.1,0.05,0.73,16.2,6.31,2.4,6.3
BN,8/15/2012,15,8,2012,11.8,11.7,0.027,0.074,2.9,8.3,158,3.6,0.052,1.12,134,22.6,2.9,12.7
BN,6/5/2013,5,6,2013,10,14.3,0.023,0.311,4.7,48.4,1390,26.8,0.204,8.47,175,15.2,4.4,62
BN,6/19/2013,19,6,2013,11.2,11.8,0.024,0.064,4.5,11.5,168,11.6,0.091,1.16,42.9,18.3,3.4,11.1
BN,7/16/2013,16,7,2013,10.9,11,0.021,0.026,4.5,5.4,24.8,8.6,0.046,0.17,9.9,4.24,1.4,3
BN,8/13/2013,13,8,2013,11.2,10.8,0.024,0.037,2.8,5.4,103,28.4,0.129,0.61,37.1,11.5,2.2,5.8
