agency_cd,SITE,datetime,Day,Month,Year,Temp_Mean,10s,Temp Max,10s,Temp Min,10s,Discharge_CFS,10s
USGS,12324200,6/1/1997,1,6,1997,13,A,15,A,11.5,A,1260,A
USGS,12324200,6/2/1997,2,6,1997,13.5,A,16,A,11.5,A,1370,A
USGS,12324200,6/3/1997,3,6,1997,13.5,A,14.5,A,12,A,1360,A
USGS,12324200,6/4/1997,4,6,1997,14,A,15,A,12.5,A,1360,A
USGS,12324200,6/5/1997,5,6,1997,13.5,A,14.5,A,12.5,A,1430,A
USGS,12324200,6/6/1997,6,6,1997,13,A,14.5,A,12,A,1660,A
USGS,12324200,6/7/1997,7,6,1997,14.5,A,18,A,11,A,1770,A
USGS,12324200,6/8/1997,8,6,1997,15,A,17,A,14,A,1880,A
USGS,12324200,6/9/1997,9,6,1997,15.5,A,19,A,12.5,A,1900,A
USGS,12324200,6/10/1997,10,6,1997,15,A,17.5,A,14,A,1830,A
USGS,12324200,6/11/1997,11,6,1997,14,A,16,A,12.5,A,1860,A
USGS,12324200,6/12/1997,12,6,1997,14,A,16,A,12,A,1950,A
USGS,12324200,6/13/1997,13,6,1997,14,A,15,A,13,A,1900,A
USGS,12324200,6/14/1997,14,6,1997,15.5,A,18,A,13,A,1980,A
USGS,12324200,6/15/1997,15,6,1997,16.5,A,19,A,14.5,A,1860,A
USGS,12324200,6/16/1997,16,6,1997,15.5,A,17,A,14,A,1740,A
USGS,12324200,6/17/1997,17,6,1997,15.5,A,18,A,13.5,A,1680,A
USGS,12324200,6/18/1997,18,6,1997,16.5,A,19,A,14.5,A,1670,A
USGS,12324200,6/19/1997,19,6,1997,16,A,18,A,14,A,1640,A
USGS,12324200,6/20/1997,20,6,1997,14.5,A,16,A,13,A,1530,A
USGS,12324200,6/21/1997,21,6,1997,14,A,16,A,12,A,1390,A
USGS,12324200,6/22/1997,22,6,1997,14,A,15.5,A,12.5,A,1250,A
USGS,12324200,6/23/1997,23,6,1997,13,A,14,A,12,A,1150,A
USGS,12324200,6/24/1997,24,6,1997,12,A,13,A,11,A,1070,A
USGS,12324200,6/25/1997,25,6,1997,13,A,15.5,A,11,A,1000,A
USGS,12324200,6/26/1997,26,6,1997,15,A,17,A,13.5,A,919,A
USGS,12324200,6/27/1997,27,6,1997,15.5,A,16.5,A,14,A,818,A
USGS,12324200,6/28/1997,28,6,1997,15,A,17,A,13,A,774,A
USGS,12324200,6/29/1997,29,6,1997,15,A,16,A,14,A,737,A
USGS,12324200,6/30/1997,30,6,1997,12.5,A,14.5,A,12,A,765,A
USGS,12324200,7/1/1997,1,7,1997,12,A,13.5,A,11.5,A,994,A
USGS,12324200,7/2/1997,2,7,1997,12.5,A,14,A,11.5,A,963,A
USGS,12324200,7/3/1997,3,7,1997,13.5,A,16,A,11.5,A,900,A
USGS,12324200,7/4/1997,4,7,1997,15.5,A,17.5,A,13,A,841,A
