ActivityStartDate,MonitoringLocationName,CharacteristicName,ResultMeasureValue
6/11/2008,Clark Fork River above Missoula,Ammonia,20
6/11/2008,Clark Fork River at Bonita,Ammonia,20
6/11/2008,Clark Fork River above Missoula,Ammonia,30
6/11/2008,Clark Fork River above Little Blackfoot,Ammonia,40
6/11/2008,Clark Fork River at Deer Lodge,Ammonia,50
6/11/2008,Clark Fork River above Missoula,Kjeldahl nitrogen,300
6/11/2008,Clark Fork River above Missoula,Kjeldahl nitrogen,400
6/11/2008,Clark Fork River at Bonita,Kjeldahl nitrogen,500
6/11/2008,Clark Fork River above Little Blackfoot,Kjeldahl nitrogen,600
6/11/2008,Clark Fork River at Deer Lodge,Kjeldahl nitrogen,600
6/11/2008,Clark Fork River above Missoula,Nitrate + Nitrite,47
6/11/2008,Clark Fork River above Missoula,Nitrate + Nitrite,47
6/11/2008,Clark Fork River at Bonita,Nitrate + Nitrite,79
6/11/2008,Clark Fork River above Little Blackfoot,Nitrate + Nitrite,174
6/11/2008,Clark Fork River at Deer Lodge,Nitrate + Nitrite,220
6/11/2008,Clark Fork River above Missoula,pH,8.38
6/11/2008,Clark Fork River at Bonita,pH,8.46
6/11/2008,Clark Fork River above Little Blackfoot,pH,8.46
6/11/2008,Clark Fork River at Deer Lodge,pH,8.61
6/11/2008,Clark Fork River above Missoula,Specific conductance,185.1
6/11/2008,Clark Fork River at Bonita,Specific conductance,286.1
6/11/2008,Clark Fork River above Little Blackfoot,Specific conductance,286.1
6/11/2008,Clark Fork River at Deer Lodge,Specific conductance,376
6/11/2008,Clark Fork River above Missoula,"Temperature, water",8.2
6/11/2008,Clark Fork River at Bonita,"Temperature, water",9.1
6/11/2008,Clark Fork River above Little Blackfoot,"Temperature, water",9.1
6/11/2008,Clark Fork River at Deer Lodge,"Temperature, water",10.3
6/11/2008,Clark Fork River above Missoula,Total dissolved solids,98100
6/11/2008,Clark Fork River at Bonita,Total dissolved solids,151900
6/11/2008,Clark Fork River above Little Blackfoot,Total dissolved solids,151900
6/11/2008,Clark Fork River at Deer Lodge,Total dissolved solids,199800
6/11/2008,Clark Fork River above Missoula,"Total Phosphorus, mixed forms",74
6/11/2008,Clark Fork River above Missoula,"Total Phosphorus, mixed forms",74
6/11/2008,Clark Fork River at Bonita,"Total Phosphorus, mixed forms",119
6/11/2008,Clark Fork River at Deer Lodge,"Total Phosphorus, mixed forms",138
6/11/2008,Clark Fork River above Little Blackfoot,"Total Phosphorus, mixed forms",144
6/11/2008,Clark Fork River at Deer Lodge,Turbidity,13.7
6/11/2008,Clark Fork River above Little Blackfoot,Turbidity,18.5
6/11/2008,Clark Fork River above Missoula,Turbidity,25.7
6/11/2008,Clark Fork River at Bonita,Turbidity,31
6/12/2008,Clark Fork River at Huson,Ammonia,10
6/12/2008,Clark Fork River above Flathead,Ammonia,10
6/12/2008,Clark Fork River below Missoula,Ammonia,20
6/12/2008,Clark Fork River below Missoula,Kjeldahl nitrogen,300
6/12/2008,Clark Fork River at Huson,Kjeldahl nitrogen,300
6/12/2008,Clark Fork River above Flathead,Kjeldahl nitrogen,300
6/12/2008,Clark Fork River at Huson,Nitrate + Nitrite,48
6/12/2008,Clark Fork River below Missoula,Nitrate + Nitrite,55
6/12/2008,Clark Fork River above Flathead,Nitrate + Nitrite,55
6/12/2008,Clark Fork River at Huson,pH,8.14
6/12/2008,Clark Fork River above Flathead,pH,8.28
6/12/2008,Clark Fork River below Missoula,pH,8.68
6/12/2008,Clark Fork River above Flathead,Specific conductance,136.7
6/12/2008,Clark Fork River at Huson,Specific conductance,150.4
6/12/2008,Clark Fork River below Missoula,Specific conductance,187.2
6/12/2008,Clark Fork River below Missoula,"Temperature, water",8.4
6/12/2008,Clark Fork River at Huson,"Temperature, water",11.6
6/12/2008,Clark Fork River above Flathead,"Temperature, water",11.8
6/12/2008,Clark Fork River above Flathead,Total dissolved solids,72500
6/12/2008,Clark Fork River at Huson,Total dissolved solids,79700
6/12/2008,Clark Fork River below Missoula,Total dissolved solids,99300
6/12/2008,Clark Fork River above Flathead,"Total Phosphorus, mixed forms",50
6/12/2008,Clark Fork River at Huson,"Total Phosphorus, mixed forms",58
6/12/2008,Clark Fork River below Missoula,"Total Phosphorus, mixed forms",64
6/12/2008,Clark Fork River at Huson,Turbidity,18.3
6/12/2008,Clark Fork River above Flathead,Turbidity,22.4
6/12/2008,Clark Fork River below Missoula,Turbidity,23.9
6/25/2008,Clark Fork River above Missoula,Ammonia,20
6/25/2008,Clark Fork River at Bonita,Ammonia,20
6/25/2008,Clark Fork River at Bonita,Ammonia,20
6/25/2008,Clark Fork River above Little Blackfoot,Ammonia,20
6/25/2008,Clark Fork River at Deer Lodge,Ammonia,20
6/25/2008,Clark Fork River above Missoula,Kjeldahl nitrogen,300
6/25/2008,Clark Fork River at Bonita,Kjeldahl nitrogen,400
6/25/2008,Clark Fork River at Bonita,Kjeldahl nitrogen,400
6/25/2008,Clark Fork River above Little Blackfoot,Kjeldahl nitrogen,400
6/25/2008,Clark Fork River at Deer Lodge,Kjeldahl nitrogen,400
6/25/2008,Clark Fork River above Missoula,Nitrate + Nitrite,13
6/25/2008,Clark Fork River at Bonita,Nitrate + Nitrite,31
6/25/2008,Clark Fork River at Bonita,Nitrate + Nitrite,32
6/25/2008,Clark Fork River at Deer Lodge,Nitrate + Nitrite,43
6/25/2008,Clark Fork River above Little Blackfoot,Nitrate + Nitrite,47
6/25/2008,Clark Fork River above Little Blackfoot,pH,8.15
6/25/2008,Clark Fork River above Missoula,pH,8.18
6/25/2008,Clark Fork River at Bonita,pH,8.19
6/25/2008,Clark Fork River at Deer Lodge,pH,8.26
6/25/2008,Clark Fork River above Missoula,Specific conductance,170.4
6/25/2008,Clark Fork River at Deer Lodge,Specific conductance,207
6/25/2008,Clark Fork River above Little Blackfoot,Specific conductance,234
6/25/2008,Clark Fork River at Bonita,Specific conductance,259
6/25/2008,Clark Fork River above Missoula,"Temperature, water",15.1
6/25/2008,Clark Fork River at Bonita,"Temperature, water",16.8
6/25/2008,Clark Fork River above Little Blackfoot,"Temperature, water",17.2
6/25/2008,Clark Fork River at Deer Lodge,"Temperature, water",17.4
6/25/2008,Clark Fork River above Missoula,Total dissolved solids,90400
6/25/2008,Clark Fork River at Deer Lodge,Total dissolved solids,110100
6/25/2008,Clark Fork River above Little Blackfoot,Total dissolved solids,124600
6/25/2008,Clark Fork River at Bonita,Total dissolved solids,137800
6/25/2008,Clark Fork River above Missoula,"Total Phosphorus, mixed forms",53
6/25/2008,Clark Fork River at Bonita,"Total Phosphorus, mixed forms",67
6/25/2008,Clark Fork River at Bonita,"Total Phosphorus, mixed forms",100
6/25/2008,Clark Fork River at Deer Lodge,"Total Phosphorus, mixed forms",102
6/25/2008,Clark Fork River above Little Blackfoot,"Total Phosphorus, mixed forms",108
6/25/2008,Clark Fork River at Deer Lodge,Turbidity,15.6
6/25/2008,Clark Fork River above Little Blackfoot,Turbidity,18.3
6/25/2008,Clark Fork River above Missoula,Turbidity,18.5
6/25/2008,Clark Fork River at Bonita,Turbidity,19.8
6/26/2008,Clark Fork River at Huson,Ammonia,10
6/26/2008,Clark Fork River above Flathead,Ammonia,20
6/26/2008,Clark Fork River below Missoula,Ammonia,30
6/26/2008,Clark Fork River at Huson,Kjeldahl nitrogen,200
6/26/2008,Clark Fork River above Flathead,Kjeldahl nitrogen,200
6/26/2008,Clark Fork River below Missoula,Kjeldahl nitrogen,300
6/26/2008,Clark Fork River below Missoula,Nitrate + Nitrite,20
6/26/2008,Clark Fork River at Huson,Nitrate + Nitrite,21
6/26/2008,Clark Fork River above Flathead,Nitrate + Nitrite,28
6/26/2008,Clark Fork River at Huson,pH,7.98
6/26/2008,Clark Fork River above Flathead,pH,8.05
6/26/2008,Clark Fork River below Missoula,pH,8.19
6/26/2008,Clark Fork River above Flathead,Specific conductance,111.5
6/26/2008,Clark Fork River at Huson,Specific conductance,117.7
6/26/2008,Clark Fork River below Missoula,Specific conductance,162.1
6/26/2008,Clark Fork River below Missoula,"Temperature, water",15.6
6/26/2008,Clark Fork River at Huson,"Temperature, water",17
6/26/2008,Clark Fork River above Flathead,"Temperature, water",17.1
6/26/2008,Clark Fork River above Flathead,Total dissolved solids,59100
6/26/2008,Clark Fork River at Huson,Total dissolved solids,62500
6/26/2008,Clark Fork River below Missoula,Total dissolved solids,85400
6/26/2008,Clark Fork River at Huson,"Total Phosphorus, mixed forms",39
6/26/2008,Clark Fork River above Flathead,"Total Phosphorus, mixed forms",42
6/26/2008,Clark Fork River below Missoula,"Total Phosphorus, mixed forms",50
6/26/2008,Clark Fork River below Missoula,Turbidity,14.8
6/26/2008,Clark Fork River at Huson,Turbidity,15.7
6/26/2008,Clark Fork River above Flathead,Turbidity,22.1
7/9/2008,Clark Fork River at Bonita,Ammonia,20
7/9/2008,Clark Fork River above Little Blackfoot,Ammonia,20
7/9/2008,Clark Fork River above Little Blackfoot,Ammonia,20
7/9/2008,Clark Fork River above Missoula,Ammonia,30
7/9/2008,Clark Fork River at Deer Lodge,Ammonia,30
7/9/2008,Clark Fork River above Missoula,Kjeldahl nitrogen,200
7/9/2008,Clark Fork River at Bonita,Kjeldahl nitrogen,300
7/9/2008,Clark Fork River above Little Blackfoot,Kjeldahl nitrogen,300
7/9/2008,Clark Fork River at Deer Lodge,Kjeldahl nitrogen,300
7/9/2008,Clark Fork River above Little Blackfoot,Kjeldahl nitrogen,400
7/9/2008,Clark Fork River above Little Blackfoot,Nitrate + Nitrite,2
7/9/2008,Clark Fork River above Little Blackfoot,Nitrate + Nitrite,4
7/9/2008,Clark Fork River at Bonita,Nitrate + Nitrite,6
7/9/2008,Clark Fork River above Missoula,Nitrate + Nitrite,9
7/9/2008,Clark Fork River at Deer Lodge,Nitrate + Nitrite,19
7/9/2008,Clark Fork River above Missoula,pH,8.28
7/9/2008,Clark Fork River at Bonita,pH,8.31
7/9/2008,Clark Fork River above Little Blackfoot,pH,8.4
7/9/2008,Clark Fork River at Deer Lodge,pH,8.46
7/9/2008,Clark Fork River above Missoula,Specific conductance,212
7/9/2008,Clark Fork River at Deer Lodge,Specific conductance,288
7/9/2008,Clark Fork River above Little Blackfoot,Specific conductance,319
7/9/2008,Clark Fork River at Bonita,Specific conductance,339
7/9/2008,Clark Fork River above Missoula,"Temperature, water",18.1
7/9/2008,Clark Fork River above Little Blackfoot,"Temperature, water",18.6
7/9/2008,Clark Fork River at Bonita,"Temperature, water",18.9
7/9/2008,Clark Fork River at Deer Lodge,"Temperature, water",19.9
7/9/2008,Clark Fork River above Missoula,Total dissolved solids,113300
7/9/2008,Clark Fork River at Deer Lodge,Total dissolved solids,152600
7/9/2008,Clark Fork River above Little Blackfoot,Total dissolved solids,169800
7/9/2008,Clark Fork River at Bonita,Total dissolved solids,180100
7/9/2008,Clark Fork River above Missoula,"Total Phosphorus, mixed forms",37
7/9/2008,Clark Fork River at Bonita,"Total Phosphorus, mixed forms",70
7/9/2008,Clark Fork River above Little Blackfoot,"Total Phosphorus, mixed forms",72
7/9/2008,Clark Fork River at Deer Lodge,"Total Phosphorus, mixed forms",72
7/9/2008,Clark Fork River above Little Blackfoot,"Total Phosphorus, mixed forms",82
7/9/2008,Clark Fork River at Deer Lodge,Turbidity,6.18
7/9/2008,Clark Fork River above Little Blackfoot,Turbidity,6.7
7/9/2008,Clark Fork River at Bonita,Turbidity,7.85
7/9/2008,Clark Fork River above Missoula,Turbidity,7.88
7/10/2008,Clark Fork River above Flathead,Ammonia,10
7/10/2008,Clark Fork River at Huson,Ammonia,20
7/10/2008,Clark Fork River below Missoula,Ammonia,30
7/10/2008,Clark Fork River below Missoula,Kjeldahl nitrogen,200
7/10/2008,Clark Fork River at Huson,Kjeldahl nitrogen,200
7/10/2008,Clark Fork River above Flathead,Kjeldahl nitrogen,200
7/10/2008,Clark Fork River below Missoula,Nitrate + Nitrite,20
7/10/2008,Clark Fork River above Flathead,Nitrate + Nitrite,33
7/10/2008,Clark Fork River at Huson,Nitrate + Nitrite,34
7/10/2008,Clark Fork River at Huson,pH,8.11
7/10/2008,Clark Fork River above Flathead,pH,8.16
7/10/2008,Clark Fork River below Missoula,pH,8.37
7/10/2008,Clark Fork River above Flathead,Specific conductance,147.1
7/10/2008,Clark Fork River at Huson,Specific conductance,151.5
7/10/2008,Clark Fork River below Missoula,Specific conductance,212
7/10/2008,Clark Fork River below Missoula,"Temperature, water",17
7/10/2008,Clark Fork River at Huson,"Temperature, water",20.8
7/10/2008,Clark Fork River above Flathead,"Temperature, water",22
7/10/2008,Clark Fork River above Flathead,Total dissolved solids,78000
7/10/2008,Clark Fork River below Missoula,Total dissolved solids,113000
7/10/2008,Clark Fork River at Huson,Total dissolved solids,151500
7/10/2008,Clark Fork River above Flathead,"Total Phosphorus, mixed forms",17
7/10/2008,Clark Fork River at Huson,"Total Phosphorus, mixed forms",30
7/10/2008,Clark Fork River below Missoula,"Total Phosphorus, mixed forms",33
7/10/2008,Clark Fork River above Flathead,Turbidity,6.67
7/10/2008,Clark Fork River at Huson,Turbidity,7.48
7/10/2008,Clark Fork River below Missoula,Turbidity,8.17
7/16/2008,Clark Fork River above Little Blackfoot,Ammonia,
7/16/2008,Clark Fork River at Deer Lodge,Ammonia,10
7/16/2008,Clark Fork River above Missoula,Ammonia,20
7/16/2008,Clark Fork River at Bonita,Ammonia,20
7/16/2008,Clark Fork River at Deer Lodge,Ammonia,20
7/16/2008,Clark Fork River above Missoula,Kjeldahl nitrogen,200
7/16/2008,Clark Fork River at Bonita,Kjeldahl nitrogen,200
7/16/2008,Clark Fork River at Deer Lodge,Kjeldahl nitrogen,200
7/16/2008,Clark Fork River above Little Blackfoot,Kjeldahl nitrogen,300
7/16/2008,Clark Fork River at Deer Lodge,Kjeldahl nitrogen,300
7/16/2008,Clark Fork River above Little Blackfoot,Nitrate + Nitrite,
