ActivityStartDate,MonitoringLocationName,CharacteristicName,ResultMeasureValue,
8/7/2020,Clark Fork River above Missoula,Ammonia,0.007,
7/2/2019,Clark Fork River at Bonita,Ammonia,0.0073,
7/2/2019,Clark Fork River above Little Blackfoot,Ammonia,0.0074,
8/5/2020,Clark Fork River at Huson,Ammonia,0.009,
9/25/2019,Clark Fork River above Flathead,Ammonia,0.0097,
10/8/2021,Clark Fork River below Missoula,Ammonia,0.01,
10/8/2021,Clark Fork River above Flathead,Ammonia,0.01,
8/27/2008,Clark Fork River above Missoula,Ammonia,0.01,
9/24/2008,Clark Fork River above Missoula,Ammonia,0.01,
8/28/2022,Clark Fork River at Huson,Ammonia,0.01,
10/8/2021,Clark Fork River above Little Blackfoot,Ammonia,0.01,
10/8/2021,Clark Fork River at Bonita,Ammonia,0.01,
9/24/2019,Clark Fork River above Little Blackfoot,Ammonia,0.01,
9/24/2019,Clark Fork River above Little Blackfoot,Ammonia,0.01,
7/23/2008,Clark Fork River above Missoula,Ammonia,0.01,
9/25/2019,Clark Fork River at Huson,Ammonia,0.01,
7/17/2019,Clark Fork River above Missoula,Ammonia,0.01,
9/24/2008,Clark Fork River at Bonita,Ammonia,0.01,
9/11/2008,Clark Fork River below Missoula,Ammonia,0.01,
10/8/2021,Clark Fork River above Missoula,Ammonia,0.01,
10/8/2021,Clark Fork River at Huson,Ammonia,0.01,
9/7/2021,Clark Fork River above Missoula,Ammonia,0.01,
9/24/2019,Clark Fork River at Deer Lodge,Ammonia,0.01,
10/8/2021,Clark Fork River at Deer Lodge,Ammonia,0.01,
10/8/2021,Clark Fork River above Little Blackfoot,Ammonia,0.01,
8/28/2022,Clark Fork River above Flathead,Ammonia,0.01,
8/28/2008,Clark Fork River at Huson,Ammonia,0.01,
9/24/2008,Clark Fork River above Little Blackfoot,Ammonia,0.01,
8/13/2008,Clark Fork River at Deer Lodge,Ammonia,0.01,
7/23/2008,Clark Fork River above Little Blackfoot,Ammonia,0.01,
6/26/2008,Clark Fork River at Huson,Ammonia,0.01,
8/27/2008,Clark Fork River above Little Blackfoot,Ammonia,0.01,
7/17/2008,Clark Fork River at Huson,Ammonia,0.01,
9/10/2008,Clark Fork River above Little Blackfoot,Ammonia,0.01,
9/24/2008,Clark Fork River at Deer Lodge,Ammonia,0.01,
6/12/2008,Clark Fork River at Huson,Ammonia,0.01,
7/16/2008,Clark Fork River at Deer Lodge,Ammonia,0.01,
9/23/2019,Clark Fork River below Missoula,Ammonia,0.01,
8/24/2022,Clark Fork River at Deer Lodge,Ammonia,0.01,
9/23/2019,Clark Fork River above Missoula,Ammonia,0.01,
8/24/2022,Clark Fork River above Little Blackfoot,Ammonia,0.01,
8/28/2008,Clark Fork River above Flathead,Ammonia,0.01,
7/24/2008,Clark Fork River above Flathead,Ammonia,0.01,
7/17/2008,Clark Fork River above Flathead,Ammonia,0.01,
7/10/2008,Clark Fork River above Flathead,Ammonia,0.01,
9/23/2019,Clark Fork River at Bonita,Ammonia,0.01,
8/24/2022,Clark Fork River at Bonita,Ammonia,0.01,
8/24/2022,Clark Fork River at Bonita,Ammonia,0.01,
6/12/2008,Clark Fork River above Flathead,Ammonia,0.01,
8/24/2022,Clark Fork River above Missoula,Ammonia,0.01,
8/24/2022,Clark Fork River below Missoula,Ammonia,0.01,
6/11/2008,Clark Fork River above Missoula,Ammonia,0.02,
9/10/2019,Clark Fork River above Missoula,Ammonia,0.02,
6/12/2008,Clark Fork River below Missoula,Ammonia,0.02,
7/17/2019,Clark Fork River at Bonita,Ammonia,0.02,
6/25/2008,Clark Fork River above Missoula,Ammonia,0.02,
9/25/2008,Clark Fork River below Missoula,Ammonia,0.02,
9/25/2008,Clark Fork River below Missoula,Ammonia,0.02,
8/20/2008,Clark Fork River above Missoula,Ammonia,0.02,
7/3/2019,Clark Fork River below Missoula,Ammonia,0.02,
7/24/2008,Clark Fork River below Missoula,Ammonia,0.02,
7/16/2008,Clark Fork River above Missoula,Ammonia,0.02,
8/16/2022,Clark Fork River at Huson,Ammonia,0.02,
9/10/2019,Clark Fork River below Missoula,Ammonia,0.02,
6/25/2008,Clark Fork River at Bonita,Ammonia,0.02,
6/25/2008,Clark Fork River at Bonita,Ammonia,0.02,
6/11/2008,Clark Fork River at Bonita,Ammonia,0.02,
7/9/2008,Clark Fork River at Bonita,Ammonia,0.02,
7/23/2008,Clark Fork River at Bonita,Ammonia,0.02,
9/7/2021,Clark Fork River at Deer Lodge,Ammonia,0.02,
9/7/2021,Clark Fork River above Little Blackfoot,Ammonia,0.02,
7/16/2008,Clark Fork River at Bonita,Ammonia,0.02,
7/17/2019,Clark Fork River below Missoula,Ammonia,0.02,
7/17/2019,Clark Fork River below Missoula,Ammonia,0.02,
9/7/2021,Clark Fork River at Huson,Ammonia,0.02,
8/25/2021,Clark Fork River below Missoula,Ammonia,0.02,
8/25/2021,Clark Fork River above Missoula,Ammonia,0.02,
8/25/2021,Clark Fork River at Bonita,Ammonia,0.02,
9/29/2020,Clark Fork River above Flathead,Ammonia,0.02,
8/14/2008,Clark Fork River at Huson,Ammonia,0.02,
9/29/2020,Clark Fork River at Huson,Ammonia,0.02,
9/29/2020,Clark Fork River below Missoula,Ammonia,0.02,
9/29/2020,Clark Fork River at Bonita,Ammonia,0.02,
9/15/2020,Clark Fork River at Deer Lodge,Ammonia,0.02,
9/15/2020,Clark Fork River above Little Blackfoot,Ammonia,0.02,
9/15/2020,Clark Fork River at Bonita,Ammonia,0.02,
9/15/2020,Clark Fork River above Missoula,Ammonia,0.02,
9/15/2020,Clark Fork River below Missoula,Ammonia,0.02,
6/25/2008,Clark Fork River above Little Blackfoot,Ammonia,0.02,
9/10/2019,Clark Fork River at Huson,Ammonia,0.02,
9/10/2019,Clark Fork River at Huson,Ammonia,0.02,
9/10/2019,Clark Fork River at Huson,Ammonia,0.02,
9/15/2020,Clark Fork River at Huson,Ammonia,0.02,
7/27/2021,Clark Fork River below Missoula,Ammonia,0.02,
7/27/2021,Clark Fork River above Flathead,Ammonia,0.02,
9/15/2020,Clark Fork River above Flathead,Ammonia,0.02,
7/27/2021,Clark Fork River above Missoula,Ammonia,0.02,
7/9/2008,Clark Fork River above Little Blackfoot,Ammonia,0.02,
7/9/2008,Clark Fork River above Little Blackfoot,Ammonia,0.02,
8/15/2022,Clark Fork River at Deer Lodge,Ammonia,0.02,
7/27/2021,Clark Fork River above Little Blackfoot,Ammonia,0.02,
7/23/2008,Clark Fork River at Deer Lodge,Ammonia,0.02,
7/10/2008,Clark Fork River at Huson,Ammonia,0.02,
8/6/2019,Clark Fork River above Missoula,Ammonia,0.02,
6/25/2008,Clark Fork River at Deer Lodge,Ammonia,0.02,
7/17/2019,Clark Fork River at Huson,Ammonia,0.02,
7/17/2019,Clark Fork River at Huson,Ammonia,0.02,
9/29/2020,Clark Fork River above Missoula,Ammonia,0.02,
7/16/2008,Clark Fork River at Deer Lodge,Ammonia,0.02,
7/3/2019,Clark Fork River above Flathead,Ammonia,0.02,
7/16/2019,Clark Fork River at Deer Lodge,Ammonia,0.02,
8/16/2022,Clark Fork River above Flathead,Ammonia,0.02,
7/16/2019,Clark Fork River above Little Blackfoot,Ammonia,0.02,
6/26/2008,Clark Fork River above Flathead,Ammonia,0.02,
7/17/2019,Clark Fork River above Flathead,Ammonia,0.02,
9/3/2021,Clark Fork River above Little Blackfoot,Ammonia,0.02,
9/3/2021,Clark Fork River at Bonita,Ammonia,0.02,
9/10/2019,Clark Fork River above Flathead,Ammonia,0.02,
9/3/2021,Clark Fork River below Missoula,Ammonia,0.02,
9/3/2021,Clark Fork River above Flathead,Ammonia,0.02,
9/29/2020,Clark Fork River above Little Blackfoot,Ammonia,0.02,
8/15/2022,Clark Fork River at Bonita,Ammonia,0.02,
8/15/2022,Clark Fork River above Little Blackfoot,Ammonia,0.02,
9/29/2020,Clark Fork River at Deer Lodge,Ammonia,0.02,
8/24/2021,Clark Fork River below Missoula,Ammonia,0.02,
8/24/2021,Clark Fork River above Flathead,Ammonia,0.02,
8/24/2021,Clark Fork River at Huson,Ammonia,0.02,
9/9/2019,Clark Fork River at Bonita,Ammonia,0.02,
9/9/2019,Clark Fork River at Bonita,Ammonia,0.02,
8/15/2022,Clark Fork River above Missoula,Ammonia,0.02,
8/15/2022,Clark Fork River above Missoula,Ammonia,0.02,
8/6/2019,Clark Fork River above Flathead,Ammonia,0.02,
8/15/2022,Clark Fork River below Missoula,Ammonia,0.02,
7/2/2019,Clark Fork River above Missoula,Ammonia,0.02,
6/11/2008,Clark Fork River above Missoula,Ammonia,0.03,
7/10/2008,Clark Fork River below Missoula,Ammonia,0.03,
6/26/2008,Clark Fork River below Missoula,Ammonia,0.03,
7/17/2008,Clark Fork River below Missoula,Ammonia,0.03,
7/9/2008,Clark Fork River above Missoula,Ammonia,0.03,
7/24/2021,Clark Fork River at Bonita,Ammonia,0.03,
7/24/2021,Clark Fork River at Huson,Ammonia,0.03,
8/25/2021,Clark Fork River above Little Blackfoot,Ammonia,0.03,
7/24/2021,Clark Fork River above Little Blackfoot,Ammonia,0.03,
7/3/2019,Clark Fork River at Huson,Ammonia,0.03,
8/1/2022,Clark Fork River below Missoula,Ammonia,0.03,
7/27/2021,Clark Fork River at Deer Lodge,Ammonia,0.03,
7/31/2022,Clark Fork River at Deer Lodge,Ammonia,0.03,
7/9/2008,Clark Fork River at Deer Lodge,Ammonia,0.03,
8/1/2022,Clark Fork River at Huson,Ammonia,0.03,
8/6/2019,Clark Fork River below Missoula,Ammonia,0.03,
9/9/2019,Clark Fork River at Deer Lodge,Ammonia,0.03,
7/31/2022,Clark Fork River above Little Blackfoot,Ammonia,0.03,
9/9/2019,Clark Fork River above Little Blackfoot,Ammonia,0.03,
