,Year,Month,Site,Begin.date,Day,X.Arsenic..water..filtered..micrograms.per.liter,X.Arsenic..water..unfiltered..micrograms.per.liter,X.Cadmium..water..filtered..micrograms.per.liter,X.Cadmium..water..unfiltered..micrograms.per.liter,X.Copper..water..filtered..micrograms.per.liter,X.Copper..water..unfiltered..recoverable..micrograms.per.liter,X.Iron..water..unfiltered..recoverable..micrograms.per.liter,X.Iron..water..filtered..micrograms.per.liter,X.Lead..water..filtered..micrograms.per.liter,X.Lead..water..unfiltered..recoverable..micrograms.per.liter,X.Manganese..water..unfiltered..recoverable..micrograms.per.liter,X.Manganese..water..filtered..micrograms.per.liter,X.Zinc..water..filtered..micrograms.per.liter,X.Zinc..water..unfiltered..recoverable..micrograms.per.liter
1,1998,7,BN,NA,15.5,13.5,17,0.15,1,7.8,43.75,1090,21.6,0.6,7.6,130,16.05,10,65
2,1999,7,BN,NA,15,12.5,18.5,0.1,1,8.1,54.3,1242.5,18.4,0.5,8.6,157.5,11.55,13.95,70
3,2000,7,BN,NA,5,12.4,12,0.1,0.1,4.6,10.4,108,10,1,1,46.4,15.1,6,9
4,2001,7,BN,NA,4,9.9,16,0.1,0.3,7,41,793,20.7,NA,8.34,225,60.7,5.9,63
5,2002,7,BN,NA,14.5,12.1,16,0.036,0.281,6.2,41.15,788.5,10,0.1255,6.705,131.9,10.65,4.85,50.5
6,2003,7,BN,NA,10,13.25,20.5,0.077,0.347,9.85,63.25,1241,24.25,0.2395,10.195,167.25,18.05,6.8,73
7,2004,7,BN,NA,7.5,10.5,13,0.032,0.1145,4.45,14.7,312.5,8.15,0.0835,2.32,72.8,15.7,2.75,19
8,2005,7,BN,NA,12.5,12.55,24,0.067,0.55,10.7,97.15,2102,25.5,0.2395,15.24,270,16.05,7.2,123
9,2006,7,BN,NA,14,13.3,20.6,0.04,0.325,8.8,52.5,1120,14.8,0.13,8.8,184,8.56,5,59
10,2007,7,BN,NA,13,15.3,28.8,0.06,0.61,11.05,98.1,2553.5,46.5,0.355,18.12,309,29.2,6.85,116.4
11,2008,7,BN,NA,10.5,13.5,20.15,0.0505,0.2925,8.7,53.9,1270,28.2,0.2375,9.745,179.5,12.4,7.2,66.25
12,2009,7,BN,NA,12.5,14.4,23.25,0.086,0.3485,13.3,70.2,1440,29.5,0.271,11.5,177,18.95,7.65,76.6
13,2010,7,BN,NA,9.5,11.3,25.65,0.058,0.501,7.8,105.05,2575,26.35,0.247,19.35,298,8.51,5.6,124.5
14,2011,7,BN,NA,8.5,18.15,26.1,0.0915,0.368,15,74.95,1860,53.85,0.366,10.41,168.5,23.6,10.8,86
15,2012,7,BN,NA,13,9.95,17.05,0.0495,0.28,7,58.1,1474.5,22.75,0.233,11.315,164.65,15.95,4.5,63.7
16,2013,7,BN,NA,12,10.6,13.05,0.0235,0.1875,4.6,29.95,779,19.2,0.1475,4.815,108.95,16.75,3.9,36.55
17,2014,7,BN,NA,11,10,13.8,0.058,0.145,6.7,27.3,461,15.6,0.13,3.2,64.9,14.6,5,22.8
18,2015,7,BN,NA,10,13.3,18.1,0.053,0.25,8.3,51.8,1100,18.2,0.235,6.83,116,11.7,4.5,51
19,2016,7,BN,NA,8,12.8,14.2,0.042,0.12,6.7,22.2,397,13.8,0.169,3.15,68.2,9.64,3.2,23
20,2017,7,BN,NA,14,26.5,79.1,0.067,2.2,18.8,330,NA,177,1.54,78.2,1240,77,14.7,575
21,2018,7,BN,NA,6,18.2,26.5,0.116,0.4,17.1,77.4,1740,40.4,0.314,10.8,166,50.9,10,88
22,2019,7,BN,NA,5,10,17.8,0.054,0.27,9,52.9,1340,32.8,0.205,7.8,128,10.9,4.8,69
23,2020,7,BN,NA,3,9.7,17.6,0.072,0.33,9.1,67.3,1580,28.9,0.259,9.9,164,13.4,5.3,77
24,2021,7,BN,NA,9,8.6,12.1,0.054,0.2,5.7,32,688,14.1,0.136,4.65,90.9,12.7,3.1,34
25,2022,7,BN,NA,8,10.4,19.5,0.081,0.45,7.6,85.1,1870,36.7,0.392,12.5,213,12.6,5.7,88
26,2000,8,BN,NA,21,10.3,13,0.1,0.1,3.7,8.3,93.3,10,1,1,57.2,12.7,2.7,10
27,2001,8,BN,NA,24,11.5,15,0.1,0.1,3.4,16.3,340,5.1,1,2.72,98.1,22.8,3.7,23
28,2003,8,BN,NA,29,14,13,0.033,0.045,4.7,7.2,43.9,8,0.08,0.34,25.7,9.87,2.9,6
29,2004,8,BN,NA,20,12.8,12,0.02,0.061,3.6,6.7,95.8,3.7,0.053,0.8,41,11,1.7,7
30,2005,8,BN,NA,26,11.5,12.7,0.036,0.043,4.3,6.1,43.5,6,0.04,0.3,20.5,11.7,2.9,5
31,2006,8,BN,NA,25,12.2,12.1,0.02,0.035,4.1,6.1,27.1,6,0.08,0.21,15.2,6.96,1.5,3
32,2007,8,BN,NA,24,11.5,11.6,0.03,0.05,3.9,5.5,25.7,6,0.12,0.18,13.5,3.3,0.95,2.9
33,2008,8,BN,NA,9,13.5,16.9,0.066,0.138,7.1,23.1,431,7.7,0.227,3.61,83.9,26.9,4,24.4
34,2009,8,BN,NA,14,11.6,13.1,0.045,0.126,5.3,15.9,321,8.3,0.079,2.77,74.8,14.4,3.2,18.9
35,2010,8,BN,NA,21,12.9,13.1,0.057,0.069,4.8,9.9,125,4,0.285,0.9,32,13.8,4.9,9.9
36,2011,8,BN,NA,14,15.7,24.7,0.083,0.336,9.6,63,1360,22.6,0.198,9.6,186,36.8,6.7,64.9
37,2012,8,BN,NA,18,12.5,11.4,0.029,0.113,5.7,9.1,55.6,22.1,0.05,0.73,16.2,6.31,2.4,6.3
38,2013,8,BN,NA,16,10.9,11,0.021,0.026,4.5,5.4,24.8,8.6,0.046,0.17,9.9,4.24,1.4,3
39,2014,8,BN,NA,16,12.8,13.3,0.046,0.061,5.2,9.8,181,11.8,0.113,1.04,41.9,15.6,3.8,9.2
40,2015,8,BN,NA,15,10.4,10.7,0.03,0.03,5.3,7.3,39.8,5.2,0.04,0.25,14.8,6.14,2.5,5
41,2016,8,BN,NA,13,10.6,10.9,0.033,0.05,4.9,8,109,13.7,0.098,0.85,33.7,6.83,2.8,9
42,2017,8,BN,NA,12,14,15.4,0.05,0.1,6.6,15.4,248,11,0.098,1.53,60,13.4,3.6,17
43,2018,8,BN,NA,18,13,15.6,0.054,0.14,6.8,20.6,407,11.1,0.107,2.57,67.1,16.2,4.7,22
44,2019,8,BN,NA,17,11.8,14,0.034,0.1,4.5,12.8,316,10,0.09,2.02,67.7,16.7,3.1,16
45,2020,8,BN,NA,15,9.9,12.1,0.065,0.12,5.6,17.8,313,10,0.094,2.12,49.8,15.9,3.6,19
46,2021,8,BN,NA,14,10.4,11,0.03,0.04,4.9,7.5,70.2,5.9,0.071,0.49,30.4,13.3,2,6
47,2022,8,BN,NA,13,11.3,12,0.053,0.09,4.8,18.6,195,10.3,0.117,1.32,39,13.9,2.2,15
48,1998,9,BN,NA,24,13,13,0.1,1,4.1,8.6,130,5,0.6,1,50,12.2,10,10
49,1999,9,BN,NA,13,13,13,0.1,1,4.9,19.1,373,10,0.5,2.8,128,9,3.6,33.9
50,2002,9,BN,NA,21,11.3,10,0.028,0.039,3,4.9,40.2,10,0.08,1,22.5,10.9,2.7,6
51,2003,9,BN,NA,26,11.4,14,0.025,0.08,3.7,9.4,129,8,0.08,0.98,78.9,10.4,2.8,12
52,2004,9,BN,NA,23,12.1,12,0.026,0.067,3.8,7.7,132,3.3,0.045,0.98,45.4,6.83,2.9,11
53,2005,9,BN,NA,24,11.6,11.7,0.033,0.038,4.2,6.3,50.5,6.8,0.08,0.45,29.7,7.35,2.6,6
54,2006,9,BN,NA,24,10.2,10.4,0.04,0.051,3.3,5.3,30,6,0.08,0.22,19.3,6.75,2.2,4
55,2007,9,BN,NA,28,11.1,11.3,0.028,0.066,3.1,5.9,80.7,6,0.12,0.67,53.6,11.7,2.1,7.4
56,2008,9,BN,NA,19,11.2,12.1,0.026,0.016,4.3,5.7,74.3,8,0.08,0.32,21.6,6.18,2.3,4.3
57,2009,9,BN,NA,18,11.6,13.2,0.039,0.103,4.3,11.7,303,9,0.065,2.44,69.4,11.4,2.6,14.8
58,2010,9,BN,NA,25,10.9,13.3,0.034,0.051,3.8,6.3,84.4,3.5,0.053,0.64,30.6,11.5,2.3,5.9
59,2011,9,BN,NA,17,14,14.2,0.07,0.079,5.4,10.2,141,6.4,0.051,1.08,49.8,17.8,5.3,11.8
60,2012,9,BN,NA,15,11.8,11.7,0.027,0.074,2.9,8.3,158,3.6,0.052,1.12,134,22.6,2.9,12.7
61,2013,9,BN,NA,13,11.2,10.8,0.024,0.037,2.8,5.4,103,28.4,0.129,0.61,37.1,11.5,2.2,5.8
62,2014,9,BN,NA,13,11.5,11.9,0.035,0.049,3.5,5.7,62.3,6.6,0.048,0.43,32,11.9,3.4,5.7
63,2015,9,BN,NA,12,11,11.1,0.044,0.05,3.4,6.3,61.8,7.9,0.074,0.5,56.1,22.4,2.7,6
64,2016,9,BN,NA,10,10.2,12.3,0.03,0.09,2.8,10.6,206,6.6,0.06,1.55,126,26.2,2.8,16
65,2017,9,BN,NA,16,11.6,12.2,0.03,0.05,4.4,8.3,103,10,0.078,0.59,40.7,13.7,3.1,9
66,2018,9,BN,NA,15,13,13.8,0.09,0.07,5.2,8.3,85.1,10,0.06,0.44,22.4,11.3,6,8
67,2019,9,BN,NA,21,12.3,13.8,0.039,0.09,4.1,11.2,151,10,0.072,1.1,55.8,16.1,3.2,12
