"","site_no","Year.x","datetime.x","Day.x","Month.x","Q_CFS.x","Q_CFS.y","anomaly"
"1","BM",1997,"6/6/1997",6,6,20600,1330,2.49271059606742
"2","BM",1998,"6/21/1998",21,6,12200,1330,2.09332212291411
"3","BM",1999,"6/5/1999",5,6,14400,1330,2.21226399094176
"4","BM",2000,"4/23/2000",23,4,6240,1330,1.67408555694807
"5","BM",2001,"5/16/2001",16,5,6780,1330,1.72104681644356
"6","BM",2002,"6/1/2002",1,6,11500,1330,2.05249480451483
"7","BM",2003,"5/31/2003",31,5,15100,1330,2.24754520479392
"8","BM",2004,"6/7/2004",7,6,6050,1330,1.6569188722149
"9","BM",2005,"5/20/2005",20,5,9170,1330,1.90329408639258
"10","BM",2006,"5/21/2006",21,5,12700,1330,2.12153740538032
"11","BM",2007,"5/4/2007",4,5,9130,1330,1.90052263130884
"12","BM",2008,"5/21/2008",21,5,16800,1330,2.32890914862243
"13","BM",2009,"5/26/2009",26,5,17300,1330,2.35178791338497
"14","BM",2010,"6/18/2010",18,6,10100,1330,1.96557631789873
"15","BM",2011,"6/10/2011",10,6,28100,1330,2.7645103887511
"16","BM",2012,"4/28/2012",28,4,17600,1330,2.36530423265309
"17","BM",2013,"5/14/2013",14,5,12300,1330,2.0990260261026
"18","BM",2014,"5/27/2014",27,5,17100,1330,2.34268999685724
"19","BM",2015,"6/3/2015",3,6,7010,1330,1.74029200759713
"20","BM",2016,"5/10/2016",10,5,7660,1330,1.79249949872381
"21","BM",2017,"6/14/2017",14,6,14700,1330,2.22752146612187
"22","BM",2018,"5/11/2018",11,5,31500,1330,2.87179193117567
"23","BM",2019,"5/18/2019",18,5,16200,1330,2.3008472699391
"24","BM",2020,"5/21/2020",21,5,20000,1330,2.46827068302783
"25","BM",2021,"6/5/2021",5,6,13500,1330,2.16518017796525
"26","BM",2022,"6/13/2022",13,6,28700,1330,2.78404821290855
"27","BM",2023,"5/6/2023",6,5,28200,1330,2.76778587805738
"28","BN",1997,"6/12/1997",12,6,4910,2830,1.20161410849623
"29","BN",1998,"6/27/1998",27,6,4550,2830,1.1714982757136
"30","BN",1999,"6/4/1999",4,6,2840,2830,1.00117647167315
"31","BN",2000,"2/3/2000",3,2,735,2830,0.638019032990922
"32","BN",2001,"6/5/2001",5,6,1750,2830,0.851956075630089
"33","BN",2002,"6/11/2002",11,6,1430,2830,0.79649526920569
"34","BN",2003,"3/14/2003",14,3,3730,2830,1.09641288849936
"35","BN",2004,"3/9/2004",9,3,1370,2830,0.785195937365918
"36","BN",2005,"6/5/2005",5,6,3350,2830,1.05783871450746
"37","BN",2006,"6/11/2006",11,6,2560,2830,0.967129231237186
"38","BN",2007,"6/7/2007",7,6,3120,2830,1.03305327654235
"39","BN",2008,"6/6/2008",6,6,3100,2830,1.03084116425575
"40","BN",2009,"5/26/2009",26,5,3700,2830,1.09346552780678
"41","BN",2010,"6/18/2010",18,6,4130,2830,1.13428243117858
"42","BN",2011,"6/10/2011",10,6,7740,2830,1.39846469995923
"43","BN",2012,"4/28/2012",28,4,2180,2830,0.916691813046633
"44","BN",2013,"5/31/2013",31,5,1080,2830,0.725346923427889
"45","BN",2014,"3/11/2014",11,3,2620,2830,0.974626656271003
"46","BN",2015,"6/3/2015",3,6,1500,2830,0.809285217972262
"47","BN",2016,"5/28/2016",28,5,1330,2830,0.777478524545294
"48","BN",2017,"6/14/2017",14,6,5140,2830,1.22009101196899
"49","BN",2018,"6/21/2018",21,6,5870,2830,1.27531427792753
"50","BN",2019,"4/8/2019",8,4,3640,2830,1.08752266302977
"51","BN",2020,"5/22/2020",22,5,3670,2830,1.09050219206449
"52","BN",2021,"5/27/2021",27,5,1650,2830,0.835409038245538
"53","BN",2022,"6/13/2022",13,6,2170,2830,0.915287994903684
"54","BN",2023,"5/7/2023",7,5,2840,2830,1.00117647167315
"55","DL",1997,"6/14/1997",14,6,1980,266,1.95251562443076
"56","DL",1998,"7/4/1998",4,7,1090,266,1.60022709809083
"57","DL",1999,"6/4/1999",4,6,796,266,1.44104367545559
"58","DL",2000,"2/24/2000",24,2,233,266,0.95680791983038
"59","DL",2001,"6/4/2001",4,6,279,266,1.01603231797397
"60","DL",2002,"6/10/2002",10,6,429,266,1.17271339336266
"61","DL",2003,"6/1/2003",1,6,1020,266,1.56521083301325
"62","DL",2004,"3/9/2004",9,3,267,266,1.00125156576173
"63","DL",2005,"6/18/2005",18,6,785,266,1.43437488821457
"64","DL",2006,"6/11/2006",11,6,578,266,1.29523548453943
"65","DL",2007,"6/7/2007",7,6,974,266,1.54131867365581
"66","DL",2008,"6/5/2008",5,6,957,266,1.53229870207364
"67","DL",2009,"6/1/2009",1,6,1140,266,1.62433052162942
