"","ActivityStartDate","date_yearmon","Site","Chlorophyll.a..corrected.for.pheophytin","Weight","year"
"144",2020-07-22,Jul 2020,"Clark Fork River above Missoula",39.0981481481481,68.2325925925926,2020
"358",2008-08-01,Aug 2008,"Clark Fork River above Flathead",4.33333333333333,3.295,2008
"359",2008-09-01,Sep 2008,"Clark Fork River above Flathead",13.3,4.15,2008
"360",2009-08-02,Aug 2009,"Clark Fork River above Flathead",23.047619047619,7.6,2009
"361",2009-09-05,Sep 2009,"Clark Fork River above Flathead",51.6190476190476,19.1,2009
"362",2010-08-01,Aug 2010,"Clark Fork River above Flathead",38.3636363636364,15.6666666666667,2010
"363",2010-09-10,Sep 2010,"Clark Fork River above Flathead",36.9095238095238,24,2010
"364",2011-08-02,Aug 2011,"Clark Fork River above Flathead",10,6.94444444444444,2011
"365",2011-09-04,Sep 2011,"Clark Fork River above Flathead",14.952380952381,6.66666666666667,2011
"366",2012-08-01,Aug 2012,"Clark Fork River above Flathead",16.1111111111111,16.14,2012
"367",2012-09-02,Sep 2012,"Clark Fork River above Flathead",19.4615384615385,10.6,2012
"368",2013-07-31,Jul 2013,"Clark Fork River above Flathead",21.3571428571429,8.82352941176471,2013
"369",2013-08-31,Aug 2013,"Clark Fork River above Flathead",15.5714285714286,7.25,2013
"370",2014-08-15,Aug 2014,"Clark Fork River above Flathead",22.6666666666667,12.6529411764706,2014
"371",2015-08-02,Aug 2015,"Clark Fork River above Flathead",36.25,20.2,2015
"372",2015-09-06,Sep 2015,"Clark Fork River above Flathead",57.8571428571429,26.1428571428571,2015
"373",2016-07-29,Jul 2016,"Clark Fork River above Flathead",11.2,5.525,2016
"374",2016-09-03,Sep 2016,"Clark Fork River above Flathead",13.75,15.0333333333333,2016
"375",2017-08-01,Aug 2017,"Clark Fork River above Flathead",10.9,5.76875,2017
"376",2017-09-02,Sep 2017,"Clark Fork River above Flathead",20.4333333333333,11.7285714285714,2017
"377",2018-08-03,Aug 2018,"Clark Fork River above Flathead",15.9210526315789,7.945,2018
"378",2018-09-05,Sep 2018,"Clark Fork River above Flathead",29.8047619047619,13.1047619047619,2018
"379",2019-08-02,Aug 2019,"Clark Fork River above Flathead",16.581,9.007,2019
"380",2019-09-01,Sep 2019,"Clark Fork River above Flathead",24.56,10.465,2019
"381",2020-08-03,Aug 2020,"Clark Fork River above Flathead",16.7533333333333,8.27571428571429,2020
"382",2020-09-02,Sep 2020,"Clark Fork River above Flathead",16.4980952380952,8.19761904761905,2020
"383",2021-08-04,Aug 2021,"Clark Fork River above Flathead",19.4047619047619,9.53809523809524,2021
"384",2021-09-03,Sep 2021,"Clark Fork River above Flathead",50.7619047619048,19.2380952380952,2021
"385",2022-08-01,Aug 2022,"Clark Fork River above Flathead",7.71340588235294,4.04117647058824,2022
"386",2022-09-02,Sep 2022,"Clark Fork River above Flathead",20.4809238095238,9.6747619047619,2022
"387",2008-08-01,Aug 2008,"Clark Fork River above Little Blackfoot",129.1,102.315,2008
"388",2008-09-01,Sep 2008,"Clark Fork River above Little Blackfoot",134.8,36.17,2008
"389",2009-08-01,Aug 2009,"Clark Fork River above Little Blackfoot",102.204761904762,95.22,2009
"390",2009-09-06,Sep 2009,"Clark Fork River above Little Blackfoot",126.285714285714,60.65,2009
