,Site,ActivityStartDate,NH4_mg_L,DIN_mg_L,SRP__mg_L,pH,SPC,Temp_oC,TDS,TN_mg_L,TP_mg_L,TURBIDITY,Q_CFS.x,Q_CFS.y,Days.Since.Freshet,Q.Anomaly,AFDM,CHLa
82,BM,8/15/2008,0.033333333,0.032333333,NA,8.52,249.3333333,16.33333333,134.65,0.225,0.013333333,3.896666667,35500,2150,81,4.063450247,15.315,62.85
83,BM,9/13/2008,0.028333333,0.044166667,NA,8.52,285.0833333,13.55833333,153.6083333,0.225,0.013333333,2.989166667,35500,2150,110,4.063450247,13.565,73.2
96,BM,8/9/2009,0.007073333,0.032798333,0.007435,8.223333333,259.8333333,16.68333333,137.8166667,0.222916667,0.019833333,3.883333333,35300,2150,68,4.051987741,10.75,38
97,BM,9/8/2009,0.011569,0.043121,0.008719,8.223333333,292.1666667,16.4,154.8666667,0.222916667,0.019833333,2.826666667,35300,2150,99,4.051987741,40.7,360.7619048
110,BM,8/6/2010,0.00925,0.034783333,0.007583333,7.793333333,256.1666667,18.13333333,136.2333333,0.2431875,0.019666667,3.126666667,23100,2150,61,3.277832523,20.52631579,66.4047619
111,BM,9/9/2010,0.020929167,0.052858333,0.006541667,7.793333333,290.3333333,15.75,154.3,0.2431875,0.019666667,3.398333333,23100,2150,95,3.277832523,31.95,138.8285714
125,BM,8/10/2011,0.018116667,0.026616667,0.011366667,8.3,221.2833333,15.3,143.8666667,0.186333333,0.020933333,4.933333333,46600,2150,61,4.655579299,13.0952381,44.28571429
124,BM,9/13/2011,0.015883333,0.040183333,0.008533333,8.3,257.9083333,14.225,167.6166667,0.186333333,0.020933333,2.09,46600,2150,93,4.655579299,8.428571429,39.33333333
138,BM,8/12/2012,0.01567,0.02843,0.00589,8.263333333,238.8166667,17.05,155.1166667,0.211651667,0.01575,2.208333333,33700,2150,103,3.959093154,12.04761905,32.76190476
139,BM,9/6/2012,0.0086125,0.038736667,0.003516667,8.263333333,250.775,14.29166667,162.925,0.211651667,0.01575,2.200833333,33700,2150,130,3.959093154,27.80952381,161.3809524
155,BM,8/8/2013,0.0136725,0.02705,0.0035125,8.345,258.95,18.175,168.325,0.238280556,0.013125,2.49,25600,2150,83,3.450648743,8.047619048,22.80952381
156,BM,9/9/2013,0.013594167,0.0367375,0.005550833,8.345,282.1,16.325,183.275,0.238280556,0.013125,2.7125,25600,2150,115,3.450648743,14.47619048,81.42857143
163,BM,7/20/2014,NA,0.0093,0.00825,8.13,228.75,16.95,148.85,0.175,0.01435,3.79,33400,2150,58,3.941431684,14.63684211,44.15789474
164,BM,9/6/2014,0.0118,0.0244,0.006875,8.13,308.925,15.375,200.675,0.175,0.01435,2.335,33400,2150,101,3.941431684,19.53809524,123.6666667
183,BM,7/9/2015,0.0075,0.01145,0.0023,8.395,222.05,18.9,144.3,0.228333333,0.01925,1.465,15200,2150,32,2.658903428,64.375,228.125
182,BM,8/8/2015,0.0098,0.0165,0.0022,8.395,251.775,17.6,163.625,0.228333333,0.01925,2.1825,15200,2150,64,2.658903428,24.76190476,100.2380952
181,BM,9/12/2015,0.01155,0.0211,0.00245,8.395,291.175,14.9,189.275,0.228333333,0.01925,3.83,15200,2150,99,2.658903428,16.33333333,76.33333333
196,BM,7/14/2016,0.0079,0.0113,0.001666667,8.34,244.85,16.75,159.25,0.214,0.0232,1.63,16800,2150,65,2.795344968,70.22975,252.7425
