"","Year","Site","day","month","ActivityStartDate","NH4_mg_L","DIN_mg_L","SRP__mg_L","pH","SPC","Temp_oC","TDS","TP_mg_L","TN_mg_L","TURBIDITY","AFDM","CHLa","...1","datetime.x","Day","Month","Q_CFS.x","Q_CFS.y","anomaly","Days_Since_Freshet"
"63",2007,"RC1",1,8,2007-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7272727272727,NA,NA,NA,NA,NA,NA,NA,NA
"67",2007,"CG",1,8,2007-08-20,0.015,0.01675,0.0065,NA,NA,NA,NA,0.018,0.1,NA,NA,35.1818181818182,NA,NA,NA,NA,NA,NA,NA,NA
"69",2007,"RC2",1,8,2007-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2727272727273,NA,NA,NA,NA,NA,NA,NA,NA
"70",2008,"FH",1,9,2008-09-09,0.01,0.015,NA,8.48666666666667,229,17.9583333333333,121.666666666667,0.0085,0.15,1.56666666666667,4.15,13.3,93,"5/21/2008",21,5,45700,7590,1.819246193,111.5
"71",2008,"FH",1,8,2008-08-14,0.01,0.0155,NA,8.48666666666667,197.216666666667,20.1166666666667,104.65,0.0085,0.15,2.60833333333333,3.295,4.33333333333333,93,"5/21/2008",21,5,45700,7590,1.819246193,85.9166666666667
"72",2008,"GR",1,9,2008-09-09,0.01,0.0235,NA,8.6,471.166666666667,14.325,250.583333333333,0.021,0.325,2.41166666666667,36.17,134.8,NA,NA,NA,NA,NA,NA,NA,NA
"73",2008,"GR",1,8,2008-08-10,0.0133333333333333,0.0045,NA,8.6,419,17.7666666666667,222.8,0.021,0.325,2.72,102.315,129.1,NA,NA,NA,NA,NA,NA,NA,NA
"74",2008,"MS",1,9,2008-09-09,0.0125,0.00841666666666667,NA,8.47666666666667,290.5,14.175,154.025,0.00966666666666667,0.2,2.19083333333333,19.7428571428571,80.1904761904762,162,"5/21/2008",21,5,16800,2580,1.867367769,111
"75",2008,"MS",1,8,2008-08-10,0.0175,0.007,NA,8.47666666666667,253.333333333333,16.7666666666667,134.466666666667,0.00966666666666667,0.2,3.12,29.22,76.2352941176471,162,"5/21/2008",21,5,16800,2580,1.867367769,81.5
"76",2008,"BN",1,9,2008-09-09,0.01,0.00616666666666667,NA,8.55333333333333,480.5,14.9083333333333,255.083333333333,0.015,0.233333333333333,4.36416666666667,61.085,259.473684210526,39,"6/6/2008",6,6,3100,2830,1.030841164,95
"77",2008,"BN",1,8,2008-08-10,0.02,0.00583333333333333,NA,8.55333333333333,439.333333333333,17.7333333333333,233.35,0.015,0.233333333333333,3.835,103.72,112.75,39,"6/6/2008",6,6,3100,2830,1.030841164,65.5
"78",2008,"DL",1,8,2008-08-10,0.015,0.043625,NA,8.63333333333333,390.833333333333,17.7333333333333,207.35,0.018,0.275,3.205,79.7714285714286,172.071428571429,66,"6/5/2008",5,6,957,266,1.532298702,66.5
"79",2008,"DL",1,9,2008-09-09,0.01,0.0585,NA,8.63333333333333,460.666666666667,13.9666666666667,246.833333333333,0.018,0.275,2.865,45.145,200.85,66,"6/5/2008",5,6,957,266,1.532298702,96
"80",2008,"HU",1,9,2008-09-09,0.015,0.0545,NA,8.48333333333333,251.166666666667,15.825,133.325,0.01525,0.2,2.31416666666667,7.725,43.15,135,"5/21/2008",21,5,35500,2150,2.546419576,111.5
