"","Year","site_no","agency_cd","datetime","Day","Month","Q_CFS","STAT"
"1",1997,"DL","USGS","6/14/1997",14,6,1980,"A"
"2",1998,"DL","USGS","7/4/1998",4,7,1090,"A"
"3",1999,"DL","USGS","6/4/1999",4,6,796,"A"
"4",2000,"DL","USGS","2/24/2000",24,2,233,"A"
"5",2001,"DL","USGS","6/4/2001",4,6,279,"A"
"6",2002,"DL","USGS","6/10/2002",10,6,429,"A"
"7",2003,"DL","USGS","6/1/2003",1,6,1020,"A"
"8",2004,"DL","USGS","3/9/2004",9,3,267,"A"
"9",2005,"DL","USGS","6/18/2005",18,6,785,"A"
"10",2006,"DL","USGS","6/11/2006",11,6,578,"A"
"11",2007,"DL","USGS","6/7/2007",7,6,974,"A"
"12",2008,"DL","USGS","6/5/2008",5,6,957,"A"
"13",2009,"DL","USGS","6/1/2009",1,6,1140,"A"
"14",2010,"DL","USGS","6/17/2010",17,6,1470,"A"
"15",2011,"DL","USGS","6/14/2011",14,6,1960,"A"
"16",2012,"DL","USGS","6/6/2012",6,6,781,"A"
"17",2013,"DL","USGS","5/30/2013",30,5,349,"A"
"18",2014,"DL","USGS","6/28/2014",28,6,741,"A"
"19",2015,"DL","USGS","6/3/2015",3,6,628,"A"
"20",2016,"DL","USGS","5/22/2016",22,5,507,"A"
"21",2017,"DL","USGS","6/14/2017",14,6,1560,"A"
"22",2018,"DL","USGS","6/22/2018",22,6,2180,"A"
"23",2019,"DL","USGS","5/18/2019",18,5,1280,"A"
"24",2020,"DL","USGS","6/19/2020",19,6,1590,"A"
"25",2021,"DL","USGS","6/6/2021",6,6,590,"A"
"26",2022,"DL","USGS","6/12/2022",12,6,856,"A:e"
"27",2023,"DL","USGS","5/28/2023",28,5,891,"P"
"28",2009,"GR","USGS","6/1/2009",1,6,1420,"A"
"29",2010,"GR","USGS","6/18/2010",18,6,1980,"A"
"30",2011,"GR","USGS","6/10/2011",10,6,2560,"A"
"31",2012,"GR","USGS","6/6/2012",6,6,999,"A"
"32",2013,"GR","USGS","5/30/2013",30,5,394,"A"
"33",2014,"GR","USGS","6/28/2014",28,6,978,"A"
"34",2015,"GR","USGS","6/3/2015",3,6,807,"A"
"35",2016,"GR","USGS","5/28/2016",28,5,598,"A"
"36",2017,"GR","USGS","6/14/2017",14,6,1840,"A"
"37",2018,"GR","USGS","6/20/2018",20,6,2450,"A"
"38",2019,"GR","USGS","5/18/2019",18,5,1420,"A"
"39",2020,"GR","USGS","6/9/2020",9,6,2040,"A:R"
"40",2021,"GR","USGS","6/6/2021",6,6,577,"A"
"41",2022,"GR","USGS","6/13/2022",13,6,923,"A"
"42",2023,"GR","USGS","5/28/2023",28,5,1220,"P"
"43",1997,"BN","USGS","6/12/1997",12,6,4910,"A"
"44",1998,"BN","USGS","6/27/1998",27,6,4550,"A"
"45",1999,"BN","USGS","6/4/1999",4,6,2840,"A"
"46",2000,"BN","USGS","2/3/2000",3,2,735,"A"
"47",2001,"BN","USGS","6/5/2001",5,6,1750,"A"
"48",2002,"BN","USGS","6/11/2002",11,6,1430,"A"
"49",2003,"BN","USGS","3/14/2003",14,3,3730,"A"
"50",2004,"BN","USGS","3/9/2004",9,3,1370,"A"
"51",2005,"BN","USGS","6/5/2005",5,6,3350,"A"
"52",2006,"BN","USGS","6/11/2006",11,6,2560,"A"
"53",2007,"BN","USGS","6/7/2007",7,6,3120,"A"
"54",2008,"BN","USGS","6/6/2008",6,6,3100,"A"
"55",2009,"BN","USGS","5/26/2009",26,5,3700,"A"
"56",2010,"BN","USGS","6/18/2010",18,6,4130,"A"
"57",2011,"BN","USGS","6/10/2011",10,6,7740,"A"
"58",2012,"BN","USGS","4/28/2012",28,4,2180,"A"
"59",2013,"BN","USGS","5/31/2013",31,5,1080,"A"
"60",2014,"BN","USGS","3/11/2014",11,3,2620,"A"
"61",2015,"BN","USGS","6/3/2015",3,6,1500,"A"
"62",2016,"BN","USGS","5/28/2016",28,5,1330,"A"
"63",2017,"BN","USGS","6/14/2017",14,6,5140,"A"
"64",2018,"BN","USGS","6/21/2018",21,6,5870,"A"
"65",2019,"BN","USGS","4/8/2019",8,4,3640,"A"
"66",2020,"BN","USGS","5/22/2020",22,5,3670,"A"
"67",2021,"BN","USGS","5/27/2021",27,5,1650,"A"
"68",2022,"BN","USGS","6/13/2022",13,6,2170,"A"
"69",2023,"BN","USGS","5/7/2023",7,5,2840,"P"
"70",1997,"MS","USGS","6/6/1997",6,6,20600,"A"
"71",1998,"MS","USGS","6/21/1998",21,6,12200,"A"
"72",1999,"MS","USGS","6/5/1999",5,6,14400,"A"
"73",2000,"MS","USGS","4/23/2000",23,4,6240,"A"
"74",2001,"MS","USGS","5/16/2001",16,5,6780,"A"
"75",2002,"MS","USGS","6/1/2002",1,6,11500,"A"
"76",2003,"MS","USGS","5/31/2003",31,5,15100,"A"
"77",2004,"MS","USGS","6/7/2004",7,6,6050,"A"
"78",2005,"MS","USGS","5/20/2005",20,5,9170,"A"
"79",2006,"MS","USGS","5/21/2006",21,5,12700,"A"
"80",2007,"MS","USGS","5/4/2007",4,5,9130,"A"
"81",2008,"MS","USGS","5/21/2008",21,5,16800,"A"
"82",2009,"MS","USGS","5/26/2009",26,5,17300,"A"
"83",2010,"MS","USGS","6/18/2010",18,6,10100,"A"
"84",2011,"MS","USGS","6/10/2011",10,6,28100,"A"
"85",2012,"MS","USGS","4/28/2012",28,4,17600,"A"
"86",2013,"MS","USGS","5/14/2013",14,5,12300,"A"
"87",2014,"MS","USGS","5/27/2014",27,5,17100,"A"
"88",2015,"MS","USGS","6/3/2015",3,6,7010,"A"
"89",2016,"MS","USGS","5/10/2016",10,5,7660,"A"
"90",2017,"MS","USGS","6/14/2017",14,6,14700,"A"
"91",2018,"MS","USGS","5/11/2018",11,5,31500,"A"
"92",2019,"MS","USGS","5/18/2019",18,5,16200,"A"
"93",2020,"MS","USGS","5/21/2020",21,5,20000,"A"
"94",2021,"MS","USGS","6/5/2021",5,6,13500,"A"
"95",2022,"MS","USGS","6/12/2022",12,6,11800,"A"
"96",2023,"MS","USGS","5/7/2023",7,5,17000,"P"
"97",1997,"BM","USGS","6/6/1997",6,6,20600,"A"
"98",1998,"BM","USGS","6/21/1998",21,6,12200,"A"
"99",1999,"BM","USGS","6/5/1999",5,6,14400,"A"
"100",2000,"BM","USGS","4/23/2000",23,4,6240,"A"
"101",2001,"BM","USGS","5/16/2001",16,5,6780,"A"
"102",2002,"BM","USGS","6/1/2002",1,6,11500,"A"
"103",2003,"BM","USGS","5/31/2003",31,5,15100,"A"
"104",2004,"BM","USGS","6/7/2004",7,6,6050,"A"
"105",2005,"BM","USGS","5/20/2005",20,5,9170,"A"
"106",2006,"BM","USGS","5/21/2006",21,5,12700,"A"
"107",2007,"BM","USGS","5/4/2007",4,5,9130,"A"
"108",2008,"BM","USGS","5/21/2008",21,5,16800,"A"
"109",2009,"BM","USGS","5/26/2009",26,5,17300,"A"
