,Group.1,Group.2,ActivityStartDate,Manganese,MonitoringLocationName,Zinc,Orthophosphate,Phosphate.phosphorus...retired...use.Total.Phosphorus..mixed.forms,Kjeldahl.nitrogen,Ammonia.nitrogen,Oxidation.reduction.potential..ORP.,Dissolved.oxygen..DO.,Flow,Specific.conductance,Copper,Total.dissolved.solids,Inorganic.nitrogen..nitrate.and.nitrite.....retired...use.Nitrate...Nitrite,Temperature..water,pH,Turbidity,Dissolved.oxygen.saturation,date_yearmon
1,Jun-98,Clark Fork River above Flathead,6/8/1998,NA,NA,NA,0.004,0.016,0.2,0.04,NA,NA,14400,217,0.002,112,0.04,14.3,8.62,NA,NA,NA
2,Jul-98,Clark Fork River above Flathead,7/8/1998,NA,NA,NA,0.064,0.035,NA,0.04,NA,NA,NA,NA,0.007,NA,0.04,NA,NA,NA,NA,NA
3,Aug-98,Clark Fork River above Flathead,8/11/1998,NA,NA,NA,NA,0.009,NA,NA,-65,NA,4040,205,NA,105,NA,20.6,8.06,NA,NA,NA
4,Sep-98,Clark Fork River above Flathead,9/10/1998,NA,NA,NA,0.004,0.009,NA,NA,-1,9.6,2940,217,NA,110,NA,17.6,6.93,NA,NA,NA
5,Oct-98,Clark Fork River above Flathead,10/7/1998,NA,NA,0.0014,0.014,0.02,0.3,NA,9,8,3160,215,0.001,111,0.02,10.9,6.82,NA,NA,NA
6,Nov-98,Clark Fork River above Flathead,11/18/1998,NA,NA,NA,NA,0.01,NA,NA,-9,9.5,3410,252,NA,126,0.1,5.7,7.12,NA,NA,NA
7,Dec-98,Clark Fork River above Flathead,12/16/1998,NA,NA,NA,NA,0.011,0.1,NA,-9,6.1,3400,459,NA,225,0.15,8.7,7.21,NA,NA,NA
8,Jan-99,Clark Fork River above Flathead,1/27/1999,NA,NA,NA,NA,0.009,NA,NA,-84,1.15,2850,307,0.002,155,0.06,1.6,9.01,NA,NA,NA
9,Mar-99,Clark Fork River above Flathead,3/3/1999,NA,NA,0.0146,0.01,0.02,0.1,NA,-41,NA,4230,266,NA,133,0.09,4.9,8.02,NA,NA,NA
10,Apr-99,Clark Fork River above Flathead,4/7/1999,NA,NA,0.0013,0.004,0.026,NA,NA,1,10.8,5530,243,0.003,123,0.07,9.6,7,NA,NA,NA
11,May-99,Clark Fork River above Flathead,5/15/1999,NA,NA,0.02365,0.0135,0.018,0.85,NA,-38,10.9,24050,126.5,0.0105,62,0.075,11.05,7.68,NA,NA,NA
12,Jun-99,Clark Fork River above Flathead,6/16/1999,NA,NA,0.0254,0.005,0.073,0.2,NA,-12,8.9,29900,126,0.007,63,0.05,17.3,7.4,NA,NA,NA
