"","date_yearmon","Site","Ammonia","Kjeldahl nitrogen","Nitrate + Nitrite","pH","Specific conductance","Temperature, water","Total dissolved solids","Total Phosphorus, mixed forms","Total Nitrogen, mixed forms","Turbidity","Weight","Chlorophyll a, corrected for pheophytin"
"1",Jul 2017,"Clark Fork River above Flathead",19.1,NA,19.45,8.14,209.3,20.1,135.8,9,136.5,1.08,NA,NA
"2",Aug 2017,"Clark Fork River above Flathead",22.05,NA,27.75,8.305,222.75,19,144.6,7.9,182.5,0.9165,NA,NA
"3",Sep 2017,"Clark Fork River above Flathead",18.5,NA,21.8,NA,NA,NA,NA,9.65,182.5,NA,NA,NA
"4",Jul 2018,"Clark Fork River above Flathead",9.63333333333333,NA,11.4,NA,NA,NA,NA,12.55,133.5,NA,NA,NA
"5",Aug 2018,"Clark Fork River above Flathead",11.75,NA,24.3333333333333,NA,NA,NA,NA,10.3666666666667,164.333333333333,NA,NA,NA
"6",Sep 2018,"Clark Fork River above Flathead",25.6,NA,19.05,8.215,257.4,13.75,167.4,8.95,153.5,1.205,NA,NA
"7",Jul 2019,"Clark Fork River above Flathead",0.02,NA,0.0135,8.45,208.55,17.4,135.525,0.009,0.115,2.13,NA,NA
"8",Aug 2019,"Clark Fork River above Flathead",0.025,NA,0.0116666666666667,NA,NA,NA,NA,0.008,0.136666666666667,NA,NA,NA
"9",Sep 2019,"Clark Fork River above Flathead",0.01485,NA,0.008,8.46,265.6,15.2,172.95,0.01,0.12,5.19,NA,NA
"10",Jul 2020,"Clark Fork River above Flathead",NA,NA,0.005,8.075,200.05,19.2,NA,0.009,0.09,3.375,NA,NA
"11",Aug 2020,"Clark Fork River above Flathead",NA,NA,0.008,NA,NA,NA,NA,0.006,0.12,NA,NA,NA
"12",Sep 2020,"Clark Fork River above Flathead",0.02,NA,0.01075,NA,NA,NA,NA,0.00625,0.1,NA,NA,NA
"13",Jul 2021,"Clark Fork River above Flathead",0.02,NA,0.0236666666666667,NA,NA,NA,NA,0.0336666666666667,0.193333333333333,NA,NA,NA
"14",Aug 2021,"Clark Fork River above Flathead",0.02,NA,0.006,NA,NA,NA,NA,0.008,0.13,NA,NA,NA
"15",Sep 2021,"Clark Fork River above Flathead",0.02,NA,0.01,NA,NA,NA,NA,0.0105,0.115,NA,NA,NA
"16",Oct 2021,"Clark Fork River above Flathead",0.01,NA,0.008,NA,NA,NA,NA,0.011,0.11,NA,NA,NA
"17",Jul 2022,"Clark Fork River above Flathead",NA,NA,0.007,7.95,169.7,18.4,NA,0.006,0.15,3.98,NA,NA
"18",Aug 2022,"Clark Fork River above Flathead",0.02,NA,NA,8.19666666666667,227.133333333333,19.7333333333333,NA,0.0293333333333333,NA,0.96,NA,NA
"19",Sep 2022,"Clark Fork River above Flathead",NA,NA,0.011,8.24,255,15.05,NA,0.026,0.25,1.835,NA,NA
"20",Jul 2017,"Clark Fork River above Little Blackfoot",13.5,NA,2.5,8.235,398.05,19,258.7,35.85,284.5,2.15,NA,NA
"21",Aug 2017,"Clark Fork River above Little Blackfoot",12.5333333333333,NA,74.35,NA,NA,NA,NA,17.4,321,NA,NA,NA
"22",Sep 2017,"Clark Fork River above Little Blackfoot",13.7,NA,180.8,8.23,487.1,10.9,316.6,35,523,2.665,NA,NA
"23",Jul 2018,"Clark Fork River above Little Blackfoot",11.5,NA,25.55,8.28,347.4,18.65,225.9,53.25,324,4.94,NA,NA
"24",Aug 2018,"Clark Fork River above Little Blackfoot",19.4,NA,65.8666666666667,NA,NA,NA,NA,28.0666666666667,337.333333333333,NA,NA,NA
"25",Sep 2018,"Clark Fork River above Little Blackfoot",24.9,NA,89.3,8.285,450.85,12.9,293.15,31.9,368,3.48,NA,NA
"26",Jul 2019,"Clark Fork River above Little Blackfoot",0.0137,NA,NA,8.735,378.15,19.4,245.705,0.053,0.23,4.03,NA,NA
"27",Aug 2019,"Clark Fork River above Little Blackfoot",0.03,NA,0.074,8.65,443.9,19.7,288.28,0.0375,0.31,2.6,NA,NA
"28",Sep 2019,"Clark Fork River above Little Blackfoot",0.0166666666666667,NA,0.102,NA,NA,NA,NA,0.0946666666666667,0.34,NA,NA,NA
"29",Jul 2020,"Clark Fork River above Little Blackfoot",NA,NA,NA,NA,NA,NA,NA,0.026,0.18,NA,NA,NA
"30",Aug 2020,"Clark Fork River above Little Blackfoot",NA,NA,0.017,NA,NA,NA,NA,0.02,0.24,NA,NA,NA
"31",Sep 2020,"Clark Fork River above Little Blackfoot",0.02,NA,0.036,NA,NA,NA,NA,0.0223333333333333,0.25,NA,NA,NA
"32",Jul 2021,"Clark Fork River above Little Blackfoot",0.025,NA,0.002,NA,NA,NA,NA,0.0343333333333333,0.26,NA,NA,NA
"33",Aug 2021,"Clark Fork River above Little Blackfoot",0.03,NA,0.004,NA,NA,NA,NA,0.03,0.26,NA,NA,NA
"34",Sep 2021,"Clark Fork River above Little Blackfoot",0.02,NA,0.034,NA,NA,NA,NA,0.0155,0.225,NA,NA,NA
"35",Oct 2021,"Clark Fork River above Little Blackfoot",0.01,NA,0.016,NA,NA,NA,NA,0.0075,0.2,NA,NA,NA
"36",Jul 2022,"Clark Fork River above Little Blackfoot",0.03,NA,NA,8.43,436.1,21.2,NA,0.05,NA,3.125,NA,NA
"37",Aug 2022,"Clark Fork River above Little Blackfoot",0.015,NA,0.006,8.585,466.15,21,NA,0.034,0.205,1.695,NA,NA
"38",Sep 2022,"Clark Fork River above Little Blackfoot",NA,NA,NA,NA,NA,NA,NA,0.0126666666666667,0.233333333333333,NA,NA,NA
"39",Jul 2017,"Clark Fork River above Missoula",14.9,NA,2,NA,NA,NA,NA,15.15,169,NA,NA,NA
"40",Aug 2017,"Clark Fork River above Missoula",11.6,NA,2.05,8.455,267.3,16.75,173.85,10.85,180,1.62,NA,NA
"41",Sep 2017,"Clark Fork River above Missoula",9.6,NA,3.95,8.32,306.15,12.4,198.9,14,210.5,2.64,NA,NA
"42",Jul 2018,"Clark Fork River above Missoula",22,NA,3.175,NA,NA,NA,NA,29.0666666666667,173,NA,NA,NA
"43",Aug 2018,"Clark Fork River above Missoula",11.8,NA,3.9,8.375,283.15,17.05,183.95,15.45,138.5,1.505,NA,NA
"44",Sep 2018,"Clark Fork River above Missoula",22.55,NA,41.8,8.465,309.7,14.4,201.2,12.35,153.5,2.65,NA,NA
"45",Jul 2019,"Clark Fork River above Missoula",0.015,NA,0.005,8.58,277.3,17.4,180.375,0.0295,0.125,5.13,NA,NA
"46",Aug 2019,"Clark Fork River above Missoula",0.02,NA,NA,8.52,303.85,18.05,197.655,0.014,0.13,2.195,NA,NA
"47",Sep 2019,"Clark Fork River above Missoula",0.015,NA,0.016,8.285,329.35,13.45,214.175,0.0465,0.175,12.11,NA,NA
