"","date_yearmon","Site","Ammonia","Nitrate + Nitrite","Orthophosphate","pH","Specific conductance","Temperature, water","Total dissolved solids","Total Phosphorus, mixed forms","Total Nitrogen, mixed forms","Turbidity","Weight","Chlorophyll a, corrected for pheophytin","ActivityStartDate"
"1",Jun 1998,"Clark Fork River above Flathead",0.04,0.04,0.004,8.62,217,14.3,112,0.016,0.2,NA,NA,NA,1998-06-08
"2",Jul 1998,"Clark Fork River above Flathead",0.04,0.04,0.064,NA,NA,NA,NA,0.035,NA,NA,NA,NA,1998-07-08
"3",Aug 1998,"Clark Fork River above Flathead",NA,NA,NA,8.06,205,20.6,105,0.009,NA,NA,NA,NA,1998-08-11
"4",Sep 1998,"Clark Fork River above Flathead",NA,NA,0.004,6.93,217,17.6,110,0.009,NA,NA,NA,NA,1998-09-10
"5",Oct 1998,"Clark Fork River above Flathead",NA,0.02,0.014,6.82,215,10.9,111,0.02,0.3,NA,NA,NA,1998-10-07
"6",Nov 1998,"Clark Fork River above Flathead",NA,0.1,NA,7.12,252,5.7,126,0.01,NA,NA,NA,NA,1998-11-18
"7",Dec 1998,"Clark Fork River above Flathead",NA,0.15,NA,7.21,459,8.7,225,0.011,0.1,NA,NA,NA,1998-12-16
"8",Jan 1999,"Clark Fork River above Flathead",NA,0.06,NA,9.01,307,1.6,155,0.009,NA,NA,NA,NA,1999-01-27
"9",Mar 1999,"Clark Fork River above Flathead",NA,0.09,0.01,8.02,266,4.9,133,0.02,0.1,NA,NA,NA,1999-03-03
"10",Apr 1999,"Clark Fork River above Flathead",NA,0.07,0.004,7,243,9.6,123,0.026,NA,NA,NA,NA,1999-04-07
"11",May 1999,"Clark Fork River above Flathead",NA,0.075,0.0135,7.68,126.5,11.05,62,0.018,0.85,NA,NA,NA,1999-05-10
"12",Jun 1999,"Clark Fork River above Flathead",NA,0.05,0.005,7.4,126,17.3,63,0.073,0.2,NA,NA,NA,1999-06-16
"13",Jul 1999,"Clark Fork River above Flathead",NA,NA,NA,6.86,163,19,82,0.017,0.1,NA,NA,NA,1999-07-14
"14",Aug 1999,"Clark Fork River above Flathead",NA,0.01,0.001,6,NA,20.8,NA,0.014,0.2,NA,NA,NA,1999-08-17
"15",Sep 1999,"Clark Fork River above Flathead",0.02,NA,0.004,7.05,267,15.6,136,0.01,0.2,NA,NA,NA,1999-09-22
"16",Oct 1999,"Clark Fork River above Flathead",0.09,0.01,NA,6.83,329,9,171,0.007,NA,NA,NA,NA,1999-10-20
"17",Nov 1999,"Clark Fork River above Flathead",0.02,0.04,0.002,7.67,266,6.9,135,0.011,NA,NA,NA,NA,1999-11-17
"18",Dec 1999,"Clark Fork River above Flathead",0.02,0.06,0.002,6.54,258,4.4,129,0.006,0.3,NA,NA,NA,1999-12-15
"19",Jan 2000,"Clark Fork River above Flathead",0.03,0.07,0.003,5.61,320,4.7,160,0.01,NA,NA,NA,NA,2000-01-26
"20",Mar 2000,"Clark Fork River above Flathead",0.02,0.045,0.004,8.36,217,7.9,108.5,0.0195,0.2,NA,NA,NA,2000-03-14
"21",May 2000,"Clark Fork River above Flathead",0.03,0.05,0.0035,7.765,144,15.9,73,0.0245,0.1,6.32,NA,NA,2000-05-17
"22",Jun 2000,"Clark Fork River above Flathead",NA,0.03,0.004,7.97,134,15.9,67,0.012,0.1,4.18,NA,NA,2000-06-12
"23",Jul 2000,"Clark Fork River above Flathead",0.12,0.02,0.004,8.48,208,18.7,104,0.011,0.2,1.79,NA,NA,2000-07-18
"24",Aug 2000,"Clark Fork River above Flathead",NA,0.01,0.002,8.57,240,20.1,120,0.008,0.2,NA,NA,NA,2000-08-15
"25",Sep 2000,"Clark Fork River above Flathead",NA,0.01,0.003,8.65,263,19.1,131,0.015,0.1,2.5,NA,NA,2000-09-13
"26",Oct 2000,"Clark Fork River above Flathead",NA,0.02,0.004,8.64,263,12,131,0.01,0.1,2.21,NA,NA,2000-10-17
"27",Nov 2000,"Clark Fork River above Flathead",NA,0.03,0.003,8.16,219,4.3,109,0.007,NA,2.02,NA,NA,2000-11-21
"28",Dec 2000,"Clark Fork River above Flathead",NA,0.15,0.002,8.28,255,2.7,128,0.006,NA,1.5,NA,NA,2000-12-21
"29",Jan 2001,"Clark Fork River above Flathead",NA,0.06,0.002,8.46,144,6.2,72,0.006,NA,0.74,NA,NA,2001-01-31
"30",Mar 2001,"Clark Fork River above Flathead",NA,0.053,0.002,8.27,282,3.6,NA,0.009,NA,NA,NA,NA,2001-03-01
