year,Site,Site,ActivityStartDate,date_yearmon,Chlorophyll.a,Weight,Temperature.oC,pH,TN.ug/l,TP.ug/l,Q.Anomaly,Days.Since.Freshet,Nitrate...Nitrite.y,Orthophosphate.y,N_%_Diss,P_%_Diss,N_P,,,Site,ActivityStartDate,NH4_mg_L,DIN_mg_L,SRP__mg_L,pH,SPC,Temp_oC,TDS,TN_mg_L,TP_mg_L,TURBIDITY,Q_CFS.x,Q_CFS.y,Days_Since_Freshet,anomaly,AFDM,CHLa
2008,Clark Fork River below Missoula,BM,8/1/2008,8-Aug,62.85,15.315,,,,,4.063450247,81,NA,NA,,,,,82,BM,8/15/2008,0.033333333,0.032333333,,8.52,249.3333333,16.33333333,134.65,0.2,0.013333333,3.896666667,35500,2150,86.5,2.546419576,15.315,62.85
2008,Clark Fork River below Missoula,BM,9/1/2008,8-Sep,73.2,13.565,,,,,4.063450247,110,NA,NA,,,,,83,BM,9/13/2008,0.028333333,0.044166667,,8.52,285.0833333,13.55833333,153.6083333,0.2,0.013333333,2.989166667,35500,2150,115.1111111,2.546419576,13.565,73.2
2009,Clark Fork River below Missoula,BM,8/3/2009,9-Aug,38,10.75,15.6,8.306666667,228.3333333,19.83333333,4.051987741,68,44.78,5.31,0.196116788,0.267731092,11.51260504,,96,BM,8/9/2009,0.007073333,0.032798333,0.007435,8.223333333,259.8333333,16.68333333,137.8166667,0.192666667,0.019833333,3.883333333,35300,2150,69.16666667,2.541628559,10.75,38
2009,Clark Fork River below Missoula,BM,9/7/2009,9-Sep,360.7619048,40.7,15.6,8.306666667,228.3333333,19.83333333,4.051987741,99,44.78,5.31,0.196116788,0.267731092,11.51260504,,97,BM,9/8/2009,0.011569,0.043121,0.008719,8.223333333,292.1666667,16.4,154.8666667,0.192666667,0.019833333,2.826666667,35300,2150,99.5,2.541628559,40.7,360.7619048
2010,Clark Fork River below Missoula,BM,8/1/2010,10-Aug,66.4047619,20.52631579,13.06666667,8.236666667,233,19.66666667,3.277832523,61,46.46666667,6.233333333,0.199427754,0.316949152,11.84745763,,110,BM,8/6/2010,0.00925,0.034783333,0.007583333,7.793333333,256.1666667,18.13333333,136.2333333,0.187,0.019666667,3.126666667,23100,2150,61.5,2.206604536,20.52631579,66.4047619
2010,Clark Fork River below Missoula,BM,9/10/2010,10-Sep,138.8285714,31.95,13.06666667,8.236666667,233,19.66666667,3.277832523,95,46.46666667,6.233333333,0.199427754,0.316949152,11.84745763,,111,BM,9/9/2010,0.020929167,0.052858333,0.006541667,7.793333333,290.3333333,15.75,154.3,0.187,0.019666667,3.398333333,23100,2150,95.5,2.206604536,31.95,138.8285714
2011,Clark Fork River below Missoula,BM,8/3/2011,11-Aug,44.28571429,13.0952381,16.1,8.396666667,171.6666667,20.93333333,4.655579299,61,30.76666667,10.46666667,0.179223301,0.5,8.200636946,,125,BM,8/10/2011,0.018116667,0.026616667,0.011366667,8.3,221.2833333,15.3,143.8666667,0.185666667,0.020933333,4.933333333,46600,2150,62.5,2.788147973,13.0952381,44.28571429
2011,Clark Fork River below Missoula,BM,9/5/2011,11-Sep,39.33333333,8.428571429,16.1,8.396666667,171.6666667,20.93333333,4.655579299,93,30.76666667,10.46666667,0.179223301,0.5,8.200636946,,124,BM,9/13/2011,0.015883333,0.040183333,0.008533333,8.3,257.9083333,14.225,167.6166667,0.185666667,0.020933333,2.09,46600,2150,96.16666667,2.788147973,8.428571429,39.33333333
2012,Clark Fork River below Missoula,BM,8/2/2012,12-Aug,32.76190476,12.04761905,17.96666667,8.263333333,215.63,15.75,3.959093154,103,35.91666667,5,0.166566186,0.317460317,13.69079365,,138,BM,8/12/2012,0.01567,0.02843,0.00589,8.263333333,238.8166667,17.05,155.1166667,0.246236667,0.01575,2.208333333,33700,2150,106.7777778,2.502632885,12.04761905,32.76190476
2012,Clark Fork River below Missoula,BM,9/3/2012,12-Sep,161.3809524,27.80952381,17.96666667,8.263333333,215.63,15.75,3.959093154,130,35.91666667,5,0.166566186,0.317460317,13.69079365,,139,BM,9/6/2012,0.0086125,0.038736667,0.003516667,8.263333333,250.775,14.29166667,162.925,0.246236667,0.01575,2.200833333,33700,2150,131.9444444,2.502632885,27.80952381,161.3809524
