,ActivityStartDate,date_yearmon,Site,Nitrate...Nitrite,month
2,7/17/2008,Jul-08,Clark Fork River above Flathead,0.015,7
6,7/16/2009,Jul-09,Clark Fork River above Flathead,5.83,7
10,7/15/2010,Jul-10,Clark Fork River above Flathead,7.766666667,7
14,7/21/2011,Jul-11,Clark Fork River above Flathead,21.56666667,7
18,7/19/2012,Jul-12,Clark Fork River above Flathead,9.343333333,7
21,7/22/2013,Jul-13,Clark Fork River above Flathead,11.60666667,7
24,7/10/2014,Jul-14,Clark Fork River above Flathead,11.2,7
27,7/9/2015,Jul-15,Clark Fork River above Flathead,7.65,7
30,7/18/2016,Jul-16,Clark Fork River above Flathead,9.6,7
33,7/19/2017,Jul-17,Clark Fork River above Flathead,19.45,7
36,7/20/2018,Jul-18,Clark Fork River above Flathead,11.4,7
39,7/10/2019,Jul-19,Clark Fork River above Flathead,0.0135,7
42,7/22/2020,Jul-20,Clark Fork River above Flathead,0.005,7
45,7/21/2021,Jul-21,Clark Fork River above Flathead,0.023666667,7
49,7/14/2022,Jul-22,Clark Fork River above Flathead,0.007,7
53,7/14/2008,Jul-08,Clark Fork River above Little Blackfoot,0.003,7
57,7/9/2009,Jul-09,Clark Fork River above Little Blackfoot,11.1025,7
61,7/14/2010,Jul-10,Clark Fork River above Little Blackfoot,17.975,7
65,7/20/2011,Jul-11,Clark Fork River above Little Blackfoot,38.46666667,7
69,7/15/2012,Jul-12,Clark Fork River above Little Blackfoot,1.78,7
72,7/17/2013,Jul-13,Clark Fork River above Little Blackfoot,1.505,7
75,7/9/2014,Jul-14,Clark Fork River above Little Blackfoot,25.2,7
78,7/8/2015,Jul-15,Clark Fork River above Little Blackfoot,1.65,7
81,7/13/2016,Jul-16,Clark Fork River above Little Blackfoot,1.25,7
84,7/17/2017,Jul-17,Clark Fork River above Little Blackfoot,2.5,7
87,7/17/2018,Jul-18,Clark Fork River above Little Blackfoot,25.55,7
96,7/23/2021,Jul-21,Clark Fork River above Little Blackfoot,0.002,7
104,7/16/2008,Jul-08,Clark Fork River above Missoula,0.005666667,7
108,7/15/2009,Jul-09,Clark Fork River above Missoula,3.943333333,7
112,7/14/2010,Jul-10,Clark Fork River above Missoula,4.9,7
116,7/19/2011,Jul-11,Clark Fork River above Missoula,11.33333333,7
120,7/18/2012,Jul-12,Clark Fork River above Missoula,2.71,7
123,7/17/2013,Jul-13,Clark Fork River above Missoula,2.21,7
126,7/5/2014,Jul-14,Clark Fork River above Missoula,3.766666667,7
129,7/4/2015,Jul-15,Clark Fork River above Missoula,1.7,7
132,7/9/2016,Jul-16,Clark Fork River above Missoula,1.1,7
135,7/15/2017,Jul-17,Clark Fork River above Missoula,2,7
138,7/13/2018,Jul-18,Clark Fork River above Missoula,3.175,7
141,7/9/2019,Jul-19,Clark Fork River above Missoula,0.005,7
151,7/23/2022,Jul-22,Clark Fork River above Missoula,0.021,7
155,7/16/2008,Jul-08,Clark Fork River at Bonita,0.004333333,7
159,7/9/2009,Jul-09,Clark Fork River at Bonita,3.2925,7
163,7/11/2010,Jul-10,Clark Fork River at Bonita,7.575,7
167,7/20/2011,Jul-11,Clark Fork River at Bonita,17.86666667,7
171,7/18/2012,Jul-12,Clark Fork River at Bonita,2.77,7
174,7/20/2013,Jul-13,Clark Fork River at Bonita,11.175,7
177,7/12/2014,Jul-14,Clark Fork River at Bonita,4.566666667,7
180,7/11/2015,Jul-15,Clark Fork River at Bonita,2.333333333,7
183,7/16/2016,Jul-16,Clark Fork River at Bonita,1.633333333,7
186,7/19/2017,Jul-17,Clark Fork River at Bonita,4.7,7
189,7/20/2018,Jul-18,Clark Fork River at Bonita,5.525,7
192,7/9/2019,Jul-19,Clark Fork River at Bonita,0.005,7
198,7/20/2021,Jul-21,Clark Fork River at Bonita,0.005,7
206,7/16/2008,Jul-08,Clark Fork River at Deer Lodge,0.03125,7
210,7/20/2009,Jul-09,Clark Fork River at Deer Lodge,51.734,7
214,7/16/2010,Jul-10,Clark Fork River at Deer Lodge,34.175,7
218,7/20/2011,Jul-11,Clark Fork River at Deer Lodge,46.025,7
222,7/18/2012,Jul-12,Clark Fork River at Deer Lodge,64.445,7
225,7/17/2013,Jul-13,Clark Fork River at Deer Lodge,67.495,7
228,7/9/2014,Jul-14,Clark Fork River at Deer Lodge,50.25,7
231,7/8/2015,Jul-15,Clark Fork River at Deer Lodge,50.3,7
234,7/13/2016,Jul-16,Clark Fork River at Deer Lodge,38.7,7
237,7/17/2017,Jul-17,Clark Fork River at Deer Lodge,27.25,7
240,7/17/2018,Jul-18,Clark Fork River at Deer Lodge,47.05,7
243,7/9/2019,Jul-19,Clark Fork River at Deer Lodge,0.0295,7
246,7/22/2020,Jul-20,Clark Fork River at Deer Lodge,0.016,7
249,7/22/2021,Jul-21,Clark Fork River at Deer Lodge,0.114,7
253,7/22/2022,Jul-22,Clark Fork River at Deer Lodge,0.0135,7
257,7/17/2008,Jul-08,Clark Fork River at Huson,0.016333333,7
261,7/16/2009,Jul-09,Clark Fork River at Huson,20.2,7
265,7/15/2010,Jul-10,Clark Fork River at Huson,5.266666667,7
269,7/21/2011,Jul-11,Clark Fork River at Huson,23.26666667,7
273,7/19/2012,Jul-12,Clark Fork River at Huson,23.71,7
276,7/25/2013,Jul-13,Clark Fork River at Huson,45.42,7
279,7/10/2014,Jul-14,Clark Fork River at Huson,17.1,7
282,7/9/2015,Jul-15,Clark Fork River at Huson,30.5,7
285,7/21/2016,Jul-16,Clark Fork River at Huson,28.33333333,7
288,7/23/2017,Jul-17,Clark Fork River at Huson,58.9,7
291,7/15/2018,Jul-18,Clark Fork River at Huson,6.25,7
294,7/12/2019,Jul-19,Clark Fork River at Huson,0.029,7
297,7/22/2020,Jul-20,Clark Fork River at Huson,0.005,7
300,7/21/2021,Jul-21,Clark Fork River at Huson,0.022,7
304,7/15/2022,Jul-22,Clark Fork River at Huson,0.008,7
308,7/17/2008,Jul-08,Clark Fork River below Missoula,0.022333333,7
312,7/16/2009,Jul-09,Clark Fork River below Missoula,20.81666667,7
316,7/15/2010,Jul-10,Clark Fork River below Missoula,23.1,7
320,7/21/2011,Jul-11,Clark Fork River below Missoula,22.46666667,7
324,7/19/2012,Jul-12,Clark Fork River below Missoula,20.94333333,7
327,7/18/2013,Jul-13,Clark Fork River below Missoula,22.955,7
330,7/10/2014,Jul-14,Clark Fork River below Missoula,9.3,7
333,7/9/2015,Jul-15,Clark Fork River below Missoula,11.45,7
336,7/16/2016,Jul-16,Clark Fork River below Missoula,11.3,7
339,7/15/2017,Jul-17,Clark Fork River below Missoula,10.76666667,7
