,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Phosphorus, mixed forms",Turbidity,Orthophosphate,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SNp,DIN,SN,"Total Nitrogen, mixed forms"
307,2015,BM,15200,4.181843588,2150,1.919265438,71,8.345,281.5,16.3,182950,19.25,2.9,2.1,12.1,21.55,16.02380952,10.07012987,11.81818182,0.852087912,33.65,193.85,227.5
308,2015,BM,15200,4.181843588,2150,1.919265438,106,8.435,300.85,13.5,195600,20.65,4.76,2.8,11,20.65,11.30357143,10.62227603,12.15496368,0.873904382,31.65,219.35,251
306,2015,BM,15200,4.181843588,2150,1.919265438,36,8.395,222.05,18.9,144300,13.2,1.465,2.3,7.5,11.45,8.239130435,14.20833333,15.64393939,0.908232446,18.95,187.55,206.5
335,2016,BM,16800,4.225309282,2150,1.984374362,129,8.27,290.4,12.1,188800,21.85,5.39,1.7,16.85,31.25,28.29411765,7.409610984,9.610983982,0.770952381,48.1,161.9,210
334,2016,BM,16800,4.225309282,2150,1.984374362,101,8.315,261.45,14.75,169950,23.2,6.54,2.4,9,31.75,16.97916667,9.816810345,11.57327586,0.848230912,40.75,227.75,268.5
333,2016,BM,16800,4.225309282,2150,1.984374362,68,,,,,13.85,,1.666666667,7.9,11.3,11.52,10.41877256,11.80505415,0.882568807,19.2,144.3,163.5
144,2010,BM,23100,4.36361198,2150,2.206604536,18,7.59,193,16.5,102500,55.2,17.4,17,15.9,41.6,3.382352941,4.175724638,5.217391304,0.800347222,57.5,230.5,288
145,2010,BM,23100,4.36361198,2150,2.206604536,39,7.793333333,235.3333333,17.83333333,125200,19.56666667,3.443333333,8.933333333,8.566666667,23.1,3.54477612,7.938671206,9.557069845,0.830659537,31.66666667,155.3333333,187
146,2010,BM,23100,4.36361198,2150,2.206604536,67,7.993333333,277,18.43333333,147266.6667,19.66666667,2.81,6.233333333,9.933333333,46.46666667,9.048128343,8.979661015,11.84745763,0.757939914,56.4,176.6,233
147,2010,BM,23100,4.36361198,2150,2.206604536,95,8.236666667,303.6666667,13.06666667,161333.3333,19.65,3.986666667,6.85,31.925,59.25,13.31021898,8.833333333,13.47328244,0.655618508,91.175,173.575,264.75
255,2013,BM,25600,4.408239965,2150,2.283497297,123,,,,,17.63,,7.416666667,13.63333333,42.33,7.545617977,9.695594634,12.8699187,0.753353215,55.96333333,170.9333334,226.8966667
252,2013,BM,25600,4.408239965,2150,2.283497297,64,8.345,246.9,18.95,160550,12.82,2.07,3.34,13.79,22.955,11.00149701,13.98790952,16.85413417,0.829939371,36.745,179.325,216.07
253,2013,BM,25600,4.408239965,2150,2.283497297,92,8.36,271,17.4,176100,13.125,2.91,3.685,13.555,31.145,12.1302578,17.30857143,20.71428571,0.835586207,44.7,227.175,271.875
487,2021,BM,28200,4.450249108,2150,2.358324428,47,,,,,15,,1,20,20,40,6,8.666666667,0.692307692,40,90,130
492,2021,BM,28200,4.450249108,2150,2.358324428,125,,,,,15,,1,10,22,32,7.866666667,10,0.786666667,32,118,150
490,2021,BM,28200,4.450249108,2150,2.358324428,105,,,,,13.66666667,,2,20,35.33333333,27.66666667,7.902439022,11.95121951,0.66122449,55.33333333,108,163.3333333
489,2021,BM,28200,4.450249108,2150,2.358324428,80,,,,,7,,,20,15,,17.85714286,22.85714286,0.78125,35,125,160
536,2022,BM,28700,4.457881897,2150,2.372180941,61,8.353333333,266.7,20.4,,31.66666667,3.406666667,18.5,20,33,2.864864865,5.27368421,6.94736842,0.759090909,53,167,220
361,2017,BM,29200,4.465382851,2150,2.385877439,31,,,,,15.93333333,,4.266666667,10.675,10.76666667,5.025390625,8.298640169,9.644351469,0.860466377,21.44166667,132.225,153.6666667
363,2017,BM,29200,4.465382851,2150,2.385877439,63,8.185,273,16.5,177450,15.6,1.785,3.9,12.55,31.8,11.37179487,9.721153846,12.56410256,0.77372449,44.35,151.65,196
364,2017,BM,29200,4.465382851,2150,2.385877439,91,8.09,303.2,12.15,197000,16.95,3.085,4.1,9.1,28.1,9.073170732,11.28613569,13.48082596,0.837199125,37.2,191.3,228.5
281,2014,BM,33400,4.523746467,2150,2.495184529,80,8.17,281.85,17.45,182950,14.35,1.995,5.25,10.65,21.65,6.152380952,8.829268293,11.08013937,0.796855346,32.3,126.7,159
282,2014,BM,33400,4.523746467,2150,2.495184529,108,8.085,336,13.3,218400,19.25,2.675,8.5,12.95,27.15,4.717647059,9.397402597,11.48051948,0.818552036,40.1,180.9,221
213,2012,BM,33700,4.527629901,2150,2.502632885,57,8.225,163,12.7,106000,21.235,4.82,8.66,6.495,17.485,2.769053118,7.643042147,8.772309866,0.871269057,23.98,162.3,186.28
215,2012,BM,33700,4.527629901,2150,2.502632885,112,,,,,15.75,,5,10.26,35.91666667,9.235333334,10.7589418,13.69079365,0.785852309,46.17666667,169.4533333,215.63
214,2012,BM,33700,4.527629901,2150,2.502632885,82,8.263333333,231.1333333,17.96666667,150133.3333,17.64,1.84,6.78,21.08,20.94333333,6.19813176,11.57671958,13.95899471,0.829337629,42.02333333,204.2133334,246.2366667
217,2012,BM,33700,4.527629901,2150,2.502632885,133,,,,,12.23666667,,2.033333333,6.965,41.55666667,23.86311476,12.25320076,16.21846908,0.755509087,48.52166667,149.9383333,198.46
420,2019,BM,34000,4.531478917,2150,2.510037168,55,,,,,33.33333333,,29.66666667,20,19.66666667,1.337078652,2.910000001,4.100000001,0.709756098,39.66666667,97.00000003,136.6666667
422,2019,BM,34000,4.531478917,2150,2.510037168,121,8.275,323.65,13.6,211100,46,9.695,16.5,15,33.5,2.939393939,3.076086957,4.130434783,0.744736842,48.5,141.5,190
421,2019,BM,34000,4.531478917,2150,2.510037168,88,8.685,299.05,18.55,194350,14,2.9,13.5,30,44.5,5.518518519,6.821428571,12.14285714,0.561764706,74.5,95.5,170
105,2009,BM,35300,4.547774705,2150,2.541628559,101,8.306666667,307,15.6,162766.6667,27.225,2.133333333,12.128,14.858,41.462,4.643799472,7.031404959,9.100091827,0.772674067,56.32,191.43,247.75
103,2009,BM,35300,4.547774705,2150,2.541628559,45,8.223333333,242.3333333,16.16666667,128666.6667,19.04666667,4.246666667,9.56,5.866666667,20.81666667,2.791143655,8.71456073,10.11550578,0.86150519,26.68333334,165.9833334,192.6666667
104,2009,BM,35300,4.547774705,2150,2.541628559,75,8.386666667,277.3333333,17.2,146966.6667,19.83333333,3.52,5.31,8.28,44.78,9.992467043,8.837310924,11.51260504,0.767620438,53.06,175.2733333,228.3333333
67,2008,BM,35500,4.550228353,2150,2.546419576,29,8.435,174.65,12,92350,57,19.35,,25,37.5,,4.166666667,5.263157895,0.791666667,62.5,237.5,300
68,2008,BM,35500,4.550228353,2150,2.546419576,57,8.52,233,16.8,123833.3333,24,5.2,,26.66666667,22.33333333,,6.291666667,8.333333333,0.755,49,151,200
72,2008,BM,35500,4.550228353,2150,2.546419576,122,,,,,19,,,16.66666667,46,,7.228070174,10.52631579,0.686666667,62.66666667,137.3333333,200
452,2020,BM,37300,4.571708832,2150,2.588750072,117,,,,,11.33333333,,6,20,25,7.5,9.852941182,13.82352942,0.712765958,45,111.6666667,156.6666667
179,2011,BM,46600,4.668385917,2150,2.788147973,42,8.3,203.3,14.5,132200,33.56666667,7.766666667,12.26666667,11.66666667,22.46666667,2.782608695,4.514399207,5.531281033,0.816157989,34.13333334,151.5333334,185.6666667
180,2011,BM,46600,4.668385917,2150,2.788147973,70,8.396666667,239.2666667,16.1,155533.3333,20.93333333,2.1,10.46666667,24.56666667,30.76666667,5.286624203,5.557324845,8.200636946,0.677669903,55.33333334,116.3333334,171.6666667
181,2011,BM,46600,4.668385917,2150,2.788147973,99,,,,,13.03333333,,6.6,7.2,49.6,8.606060606,11.11508952,15.47314579,0.718347107,56.8,144.8666667,201.6666667
389,2018,BM,51200,4.709269961,2150,2.877026311,66,8.17,252.9,17.7,164400,24.4,3.2,8.7,41.4,14.3,6.402298851,5.094262295,7.37704918,0.690555556,55.7,124.3,180
390,2018,BM,51200,4.709269961,2150,2.877026311,96,8.335,285.65,15.8,185600,17.45,2.31,4.85,20.5,28.65,10.13402062,7.52722063,10.34383954,0.727700831,49.15,131.35,180.5
392,2018,BM,51200,4.709269961,2150,2.877026311,127,,,,,14.46666667,,2.266666667,20.46666667,38.23333333,25.89705882,11.24193548,15.29953916,0.734789157,58.7,162.6333333,221.3333333
