,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms",Turbidity,DIN,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SPp,SRP,SP,"Total Phosphorus, mixed forms"
157,2016,DL,507,2.705007959,266,1.23986797,87,8.21,436.45,12.85,283700,,1.13,,,,0,,,0.816,2.3,10.2,12.5
165,2022,DL,856,2.932473765,266,1.476377358,31,,,,,,,,,,0,,,0.955555556,2,43,45
512,2022,GR,923,2.965201701,270,1.506419674,97,,,,,233.3333333,,,,,0,20.52785923,18.42105262,0.897368421,1.3,11.36666667,12.66666667
156,2012,GR,999,2.999565488,270,1.546680374,94,8.465,438.15,11.75,284700,270.37,2.275,,,,0,14.29016913,12.05932203,0.843889384,3.5,18.92,22.42
168,2009,DL,1140,3.056904851,266,1.624330522,47,,,,,317.25,,,,,,7.075550599,7.075550599,1,,44.8375,44.8375
338,2009,GR,1420,3.152288344,270,1.739034482,40,,,,,325.25,,,,,,6.860005273,6.860005273,1,,47.4125,47.4125
105,2020,GR,2040,3.309630167,270,1.962255106,43,,,,,180,,,,,0,10.58823529,6.923076923,0.653846154,9,17,26
205,2022,BN,2170,3.336459734,2830,0.915287995,99,8.395,531.9,16.55,,220,4.03,,,,0,14.6179402,13.33333333,0.912121212,1.45,15.05,16.5
86,2020,BN,3670,3.564666064,2830,1.090502192,61,8.195,378.8,19.5,,150,5.015,,,,0,8.333333333,5.555555556,0.666666667,9,18,27
242,2020,BN,3670,3.564666064,2830,1.090502192,82,,,,,205,,,,,0,22.77777778,11.71428571,0.514285714,8.5,9,17.5
369,2009,BN,3700,3.568201724,2830,1.093465528,46,,,,,275.25,,,,,,5.192661416,5.192661416,1,,53.0075,53.0075
230,2010,BN,4130,3.615950052,2830,1.134282431,24,,,,,241.25,,,,,,5.188172043,5.188172043,1,,46.5,46.5
265,2022,MS,11800,4.071882007,2580,1.659921055,100,8.365,319.15,14.9,,115,3.73,,,,,14.375,14.375,1,,8,8
274,2009,MS,17300,4.238046103,2580,1.885712438,80,7.993333333,286.3333333,18.06666667,152233.3333,161,2.47,,,,,9.781287971,9.781287971,1,,16.46,16.46
376,2020,MS,20000,4.301029996,2580,1.979110744,62,,,,,110,,,,,0,10,6.470588235,0.647058824,6,11,17
,2009,HU,35300,4.547774705,2150,2.541628559,99,,,,,226.5,,,,,,17.33307825,17.33307825,1,,13.0675,13.0675
