,date_yearmon,Site.OLD,Site,ActivityStartDate,Day,Month,Year,Ammonia,Kjeldahl nitrogen,Nitrate + Nitrite,Orthophosphate,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms","Total Phosphorus, mixed forms",Turbidity
1,Jun-08,Clark Fork River above Flathead,FH,6/19/2008,19,6,2008,15,250,41.5,,8.165,124.1,14.45,65800,,46,22.25
2,Jul-08,Clark Fork River above Flathead,FH,7/17/2008,17,7,2008,10,150,15,,8.486666667,173.4333333,20.76666667,91966.66667,,14,3.853333333
592,Aug-08,Clark Fork River above Flathead,FH,8/21/2008,21,8,2008,,,,,8.676666667,221,19.46666667,117333.3333,,,1.363333333
3,Aug-08,Clark Fork River above Flathead,FH,8/22/2008,22,8,2008,10,133.3333333,16,,,,,,,8.5,
4,Sep-08,Clark Fork River above Flathead,FH,9/18/2008,18,9,2008,,200,14,,8.865,237,16.45,126000,,9.5,1.77
5,Jun-09,Clark Fork River above Flathead,FH,6/25/2009,25,6,2009,18.55,,31.78,9.39,8.07,146.4,19.2,77900,,24.04,11.4
6,Jul-09,Clark Fork River above Flathead,FH,7/16/2009,16,7,2009,9.25,,5.83,3.88,8.29,195.6,22.1,103933.3333,136,10.68666667,2.616666667
593,Aug-09,Clark Fork River above Flathead,FH,8/15/2009,15,8,2009,,,,,8.676666667,236,20.43333333,125333.3333,,,1.3
714,Aug-09,Clark Fork River above Flathead,FH,8/18/2009,18,8,2009,,,,,,,,,138.25,9.6475,
7,Aug-09,Clark Fork River above Flathead,FH,8/20/2009,20,8,2009,5.888,,7.4625,3.4775,,,,,,,
594,Sep-09,Clark Fork River above Flathead,FH,9/10/2009,10,9,2009,,,,,8.5,249.3333333,20.16666667,132600,157,8.326666667,1.36
8,Sep-09,Clark Fork River above Flathead,FH,9/11/2009,11,9,2009,11.9625,,6.725,3.15,,,,,,,
9,Jun-10,Clark Fork River above Flathead,FH,6/24/2010,24,6,2010,58.4,,42.5,12.7,7.83,143.3,18.9,76100,241,37.1,12.9
10,Jul-10,Clark Fork River above Flathead,FH,7/15/2010,15,7,2010,9.033333333,,7.766666667,4.766666667,8.22,193.2333333,21.03333333,102566.6667,206,10.93333333,1.92
595,Aug-10,Clark Fork River above Flathead,FH,8/12/2010,12,8,2010,,,,,8.413333333,235.6666667,22.9,125533.3333,,,1.39
