,Site,Year,datetime.x,Day,Month,Q_CFS.x,Q_CFS.y,anomaly
1,BM,1997,6/6/1997,6,6,41700,2150,2.686782628
2,BM,1998,6/21/1998,21,6,20300,2150,2.113582443
3,BM,1999,6/5/1999,5,6,30400,2150,2.418122926
4,BM,2000,5/23/2000,23,5,13100,2150,1.826463279
5,BM,2001,5/16/2001,16,5,15300,2150,1.923465157
6,BM,2002,6/1/2002,1,6,27000,2150,2.324386984
7,BM,2003,6/1/2003,1,6,38300,2150,2.61168085
8,BM,2004,6/7/2004,7,6,14900,2150,1.906554698
9,BM,2005,5/20/2005,20,5,18400,2150,2.045470032
10,BM,2006,5/21/2006,21,5,31400,2150,2.444351902
11,BM,2007,5/14/2007,14,5,18500,2150,2.049168901
12,BM,2008,5/21/2008,21,5,35500,2150,2.546419576
13,BM,2009,6/1/2009,1,6,35300,2150,2.541628559
14,BM,2010,6/6/2010,6,6,23100,2150,2.206604536
15,BM,2011,6/9/2011,9,6,46600,2150,2.788147973
16,BM,2012,4/28/2012,28,4,33700,2150,2.502632885
17,BM,2013,5/15/2013,15,5,25600,2150,2.283497297
18,BM,2014,5/26/2014,26,5,33400,2150,2.495184529
19,BM,2015,6/3/2015,3,6,15200,2150,1.919265438
20,BM,2016,5/9/2016,9,5,16800,2150,1.984374362
21,BM,2017,6/14/2017,14,6,29200,2150,2.385877439
22,BM,2018,5/11/2018,11,5,51200,2150,2.877026311
23,BM,2019,5/18/2019,18,5,34000,2150,2.510037168
24,BM,2020,5/22/2020,22,5,37300,2150,2.588750072
25,BM,2021,6/5/2021,5,6,28200,2150,2.358324428
26,BM,2022,6/13/2022,13,6,28700,2150,2.372180941
27,BM,2023,5/6/2023,6,5,28200,2150,2.358324428
28,BN,1997,6/12/1997,12,6,4910,2830,1.201614108
29,BN,1998,6/27/1998,27,6,4550,2830,1.171498276
30,BN,1999,6/4/1999,4,6,2840,2830,1.001176472
31,BN,2000,2/3/2000,3,2,735,2830,0.638019033
32,BN,2001,6/5/2001,5,6,1750,2830,0.851956076
33,BN,2002,6/11/2002,11,6,1430,2830,0.796495269
34,BN,2003,3/14/2003,14,3,3730,2830,1.096412888
35,BN,2004,3/9/2004,9,3,1370,2830,0.785195937
36,BN,2005,6/5/2005,5,6,3350,2830,1.057838715
37,BN,2006,6/11/2006,11,6,2560,2830,0.967129231
38,BN,2007,6/7/2007,7,6,3120,2830,1.033053277
39,BN,2008,6/6/2008,6,6,3100,2830,1.030841164
40,BN,2009,5/26/2009,26,5,3700,2830,1.093465528
41,BN,2010,6/18/2010,18,6,4130,2830,1.134282431
42,BN,2011,6/10/2011,10,6,7740,2830,1.3984647
43,BN,2012,4/28/2012,28,4,2180,2830,0.916691813
44,BN,2013,5/31/2013,31,5,1080,2830,0.725346923
45,BN,2014,3/11/2014,11,3,2620,2830,0.974626656
46,BN,2015,6/3/2015,3,6,1500,2830,0.809285218
47,BN,2016,5/28/2016,28,5,1330,2830,0.777478525
48,BN,2017,6/14/2017,14,6,5140,2830,1.220091012
49,BN,2018,6/21/2018,21,6,5870,2830,1.275314278
50,BN,2019,4/8/2019,8,4,3640,2830,1.087522663
51,BN,2020,5/22/2020,22,5,3670,2830,1.090502192
52,BN,2021,5/27/2021,27,5,1650,2830,0.835409038
53,BN,2022,6/13/2022,13,6,2170,2830,0.915287995
54,BN,2023,5/7/2023,7,5,2840,2830,1.001176472
55,DL,1997,6/14/1997,14,6,1980,266,1.952515624
56,DL,1998,7/4/1998,4,7,1090,266,1.600227098
57,DL,1999,6/4/1999,4,6,796,266,1.441043675
58,DL,2000,2/24/2000,24,2,233,266,0.95680792
59,DL,2001,6/4/2001,4,6,279,266,1.016032318
60,DL,2002,6/10/2002,10,6,429,266,1.172713393
61,DL,2003,6/1/2003,1,6,1020,266,1.565210833
62,DL,2004,3/9/2004,9,3,267,266,1.001251566
63,DL,2005,6/18/2005,18,6,785,266,1.434374888
64,DL,2006,6/11/2006,11,6,578,266,1.295235485
65,DL,2007,6/7/2007,7,6,974,266,1.541318674
66,DL,2008,6/5/2008,5,6,957,266,1.532298702
67,DL,2009,6/1/2009,1,6,1140,266,1.624330522
68,DL,2010,6/17/2010,17,6,1470,266,1.767984959
69,DL,2011,6/14/2011,14,6,1960,266,1.945919238
70,DL,2012,6/6/2012,6,6,781,266,1.431934433
71,DL,2013,5/30/2013,30,5,349,266,1.0947491
72,DL,2014,6/28/2014,28,6,741,266,1.407058618
