,Year,Site,Group.1,Group.2,ActivityStartDate,Day.x,Month.x,Chlorophyll.a..corrected.for.pheophytin,Weight,Temperature..water,pH,Specific.conductance,Turbidity,Dissolved.oxygen..DO.,Dissolved.oxygen.saturation,Oxidation.reduction.potential..ORP.,Ammonia,Nitrate...Nitrite,Orthophosphate,Total.dissolved.solids,Total.Nitrogen..mixed.forms,Total.Phosphorus..mixed.forms,Q_CFS,Days_Since_Peak_Discharge,...1,agency_cd,datetime,Day.y,Month.y,STAT
201,2017,DL,17-Jul,Clark Fork River at Deer Lodge,7/9/2017,9,7,105.9761905,53.1,18.6,8.22,363.45,2.29,8.575,91.75,212.85,0.01275,0.02725,0.0081,236.25,0.2595,0.024,1560,25,21,USGS,6/14/2017,14,6,A
206,2017,GR,17-Jul,Clark Fork River above Little Blackfoot,7/9/2017,9,7,22.667,27.72857143,19,8.235,398.05,2.15,8.725,94.25,215.2,0.0135,0.0025,0.0151,258.7,0.2845,0.03585,1840,25,36,USGS,6/14/2017,14,6,A
195,2017,BM,17-Jul,Clark Fork River below Missoula,7/10/2017,10,7,13.5047619,5.071428571,17.5,8.085,249.05,2.265,8.21,85.85,157.55,0.010675,0.010766667,0.004266667,161.8,0.153666667,0.015933333,29200,26,117,USGS,6/14/2017,14,6,A
198,2017,BN,17-Jul,Clark Fork River at Bonita,7/10/2017,10,7,17.59542857,24.08235294,19.85,8.26,445.25,2.985,8.325,91.55,238.65,0.01745,0.0047,0.01265,289.55,0.225,0.03305,5140,26,63,USGS,6/14/2017,14,6,A
211,2017,MS,17-Jul,Clark Fork River above Missoula,7/10/2017,10,7,24.30966667,18.24444444,18.9,8.175,253,2.34,8.645,93.35,234.95,0.0149,0.002,0.0042,164.45,0.169,0.01515,14700,26,90,USGS,6/14/2017,14,6,A
139,2013,BN,13-Jun,Clark Fork River at Bonita,6/28/2013,28,6,99,78.0952381,,,,,,,,,,,,,,1080,28,59,USGS,5/31/2013,31,5,A
142,2013,DL,13-Jun,Clark Fork River at Deer Lodge,6/28/2013,28,6,244.9,71.35,,,,,,,,,,,,,,349,29,17,USGS,5/30/2013,30,5,A
147,2013,GR,13-Jun,Clark Fork River above Little Blackfoot,6/28/2013,28,6,60.39134783,61.95652174,,,,,,,,,,,,,,394,29,32,USGS,5/30/2013,30,5,A
168,2015,DL,15-Jul,Clark Fork River at Deer Lodge,7/3/2015,3,7,188.9047619,74.19047619,17.8,8.305,354.05,2.565,7.59,77.4,107.15,0.01085,0.0503,0.0042,230.1,0.3285,0.0197,628,30,19,USGS,6/3/2015,3,6,A
173,2015,GR,15-Jul,Clark Fork River above Little Blackfoot,7/3/2015,3,7,75.12,135.88,17.35,8.225,377.7,1.885,7.96,81,101.7,0.0087,0.00165,0.01085,245.7,0.3175,0.03135,807,30,34,USGS,6/3/2015,3,6,A
178,2015,MS,15-Jul,Clark Fork River above Missoula,7/4/2015,4,7,116.8148148,91.59259259,18.75,8.23,224.7,1.86,7.02,74,119.75,0.010475,0.0017,0.0016,146.2,0.171666667,0.0109,7010,31,88,USGS,6/3/2015,3,6,A
162,2015,BM,15-Jul,Clark Fork River below Missoula,7/5/2015,5,7,228.125,64.375,18.9,8.395,222.05,1.465,7.59,79.7,117.6,0.0075,0.01145,0.0023,144.3,0.2065,0.0132,15200,32,115,USGS,6/3/2015,3,6,A
165,2015,BN,15-Jul,Clark Fork River at Bonita,7/5/2015,5,7,68.9047619,97.76190476,19.15,8.24,395,1.245,6.65,70.2,95.85,0.00755,0.002333333,0.00245,256.75,0.245333333,0.01,1500,32,61,USGS,6/3/2015,3,6,A
248,2020,DL,20-Jul,Clark Fork River at Deer Lodge,7/23/2020,23,7,73.59219048,33.006,19.1,8.47,364.05,3.44,10.165,,,,0.016,0.006,,0.17,0.023,1590,34,24,USGS,6/19/2020,19,6,A
279,2022,BN,22-Jul,Clark Fork River at Bonita,7/17/2022,17,7,66.88216667,62.61904762,22.05,8.395,441,8.14,27.175,,,,0.021,0.0225,,0.21,0.06,2170,34,68,USGS,6/13/2022,13,6,A
282,2022,DL,22-Jul,Clark Fork River at Deer Lodge,7/16/2022,16,7,178.8945857,33.55,20.5,8.41,430.6,2.57,26.265,,,0.03,0.0135,0.002,,0.213333333,0.045,856,34,26,USGS,6/12/2022,12,6,A:e
287,2022,GR,22-Jul,Clark Fork River above Little Blackfoot,7/17/2022,17,7,51.61791579,74.10526316,21.2,8.43,436.1,3.125,24.85,,,0.03,,0.021,,0.223333333,0.05,923,34,41,USGS,6/13/2022,13,6,A
265,2021,DL,21-Jul,Clark Fork River at Deer Lodge,7/14/2021,14,7,120.4285714,41.9047619,19.35,8.44,453.15,2.77,9.505,,,0.03,0.114,0.002,,0.335,0.021,590,38,25,USGS,6/6/2021,6,6,A
270,2021,GR,21-Jul,Clark Fork River above Little Blackfoot,7/15/2021,15,7,99.66666667,59.95238095,20.75,8.67,476.15,2.635,10.38,,,0.01,0.002,0.004666667,,0.26,0.034333333,577,39,40,USGS,6/6/2021,6,6,A
260,2021,BM,21-Jul,Clark Fork River below Missoula,7/15/2021,15,7,57.33333333,16.38095238,17.6,8.44,262.35,2.045,8.47,,,0.02,0.02,0.001,,0.13,0.015,28200,40,121,USGS,6/5/2021,5,6,A
277,2022,BM,22-Jul,Clark Fork River below Missoula,7/23/2022,23,7,53.86095714,16.71428571,17.4,7.99,237.6,6.14,81,,,,0.01,0.004,,0.14,0.019,28700,40,122,USGS,6/13/2022,13,6,A
292,2022,MS,22-Jul,Clark Fork River above Missoula,7/24/2022,24,7,86.8108619,29.70731707,20.5,8.315,251.45,5.92,30.89,,,0.03,0.021,0.0195,,0.125,0.042,11800,42,95,USGS,6/12/2022,12,6,A
159,2014,GR,14-Aug,Clark Fork River above Little Blackfoot,8/13/2014,13,8,93.48891111,105.9522727,18.55,8.105,431.2,2.145,10.63,,198.15,0.01225,0.00165,0.017633333,280.5,0.263333333,0.0314,978,46,33,USGS,6/28/2014,28,6,A
218,2018,DL,18-Aug,Clark Fork River at Deer Lodge,8/7/2018,7,8,46.92419048,43.48461538,14,8.175,411.55,2.895,9.64,93.6,19.05,0.01985,0.1002,0.00875,267.5,0.348,0.0304,2180,46,22,USGS,6/22/2018,22,6,A
131,2012,GR,12-Jul,Clark Fork River above Little Blackfoot,7/23/2012,23,7,85.19047619,72.61904762,19.06666667,8.383333333,408.8666667,2.1,9.24,,111.3333333,0.0088675,0.00178,0.0193825,265.8666667,0.29065,0.0480775,999,47,31,USGS,6/6/2012,6,6,A
216,2018,BN,18-Aug,Clark Fork River at Bonita,8/7/2018,7,8,8.12447619,27.97142857,17.95,8.385,447.65,2,9.62,101.2,6,0.0089,0.0047,0.0118,291.2,0.216,0.03365,5870,47,64,USGS,6/21/2018,21,6,A
97,2010,BN,10-Aug,Clark Fork River at Bonita,8/5/2010,5,8,58.89005,68.68421053,19.73333333,8.073333333,436,2.79,8.536666667,,-51.33333333,0.00765,0.003966667,0.0206,231.3333333,0.217666667,0.0363,4130,48,56,USGS,6/18/2010,18,6,A
103,2010,GR,10-Aug,Clark Fork River above Little Blackfoot,8/5/2010,5,8,59.01608,67.80952381,20.13333333,8.266666667,401,22.74,8.886666667,,-63.66666667,0.0088,0.0146,0.037633333,213,0.363333333,0.088533333,1980,48,29,USGS,6/18/2010,18,6,A
127,2012,DL,12-Jul,Clark Fork River at Deer Lodge,7/24/2012,24,7,110.0952381,50.04761905,18.96666667,8.386666667,350.7333333,3.043333333,8.816666667,,112.1666667,0.0106875,0.064445,0.012605,227.9,0.336625,0.0418775,781,48,16,USGS,6/6/2012,6,6,A
157,2014,DL,14-Aug,Clark Fork River at Deer Lodge,8/15/2014,15,8,225.0666667,65.13333333,18.6,8.335,449.55,2.65,10.415,,204.1,0.01615,0.0621,0.01075,292.2,0.32,0.02495,741,48,18,USGS,6/28/2014,28,6,A
262,2021,BN,21-Jul,Clark Fork River at Bonita,7/14/2021,14,7,186.2727273,137.1363636,21.65,8.67,548.7,2.61,8.88,,,0,0.005,0.005,,0.23,0.0175,1650,48,67,USGS,5/27/2021,27,5,A
99,2010,DL,10-Aug,Clark Fork River at Deer Lodge,8/5/2010,5,8,49.64295238,39.375,19.9,8.403333333,385.6666667,7.046666667,8.93,,-70.03333333,0.0071,0.0473,0.033366667,204.7,0.319333333,0.078733333,1470,49,14,USGS,6/17/2010,17,6,A
107,2010,MS,10-Aug,Clark Fork River above Missoula,8/6/2010,6,8,120.95,50.28571429,18.83333333,7.66,283,2.246666667,8.56,,-28.5,0.009933333,0.003533333,0.006566667,150.5,0.189,0.0176,10100,49,83,USGS,6/18/2010,18,6,A
183,2016,BN,16-Jul,Clark Fork River at Bonita,7/16/2016,16,7,159.4885116,178.8008108,17.3,8.135,465.15,0.94,6.68,69.5,206.2,0.008033333,0.001633333,0.001233333,302.3,0.211666667,0.0088,1330,49,62,USGS,5/28/2016,28,5,A
189,2016,GR,16-Jul,Clark Fork River above Little Blackfoot,7/16/2016,16,7,195.4755556,170.2084444,15.55,8.15,438.3,1.37,8.67,87,209.2,0.0219,0.00125,0.0231,284.7,0.285,0.04325,598,49,35,USGS,5/28/2016,28,5,A
222,2018,GR,18-Aug,Clark Fork River above Little Blackfoot,8/9/2018,9,8,72.15738095,58.51875,16.05,8.505,418.55,1.815,11.425,116.1,14.05,0.0194,0.065866667,0.007633333,272,0.337333333,0.028066667,2450,50,37,USGS,6/20/2018,20,6,A
249,2020,DL,20-Aug,Clark Fork River at Deer Lodge,8/8/2020,8,8,182.8999167,75.960625,16.6,8.115,444.65,2.425,8.93,,,,0.077,0.007,,0.295,0.017,1590,50,24,USGS,6/19/2020,19,6,A
209,2017,HU,17-Aug,Clark Fork River at Huson,8/5/2017,5,8,24.59052381,8.97,19.4,8.2,242.9,1.7025,8.925,97.05,201.05,0.01475,0.0563,0.0017,157.95,0.2565,0.01435,29200,52,144,USGS,6/14/2017,14,6,A
199,2017,BN,17-Aug,Clark Fork River at Bonita,8/6/2017,6,8,25.86190476,16.04285714,17.85,8.305,507.45,1.64,9.31,98.4,247.8,0.0152,0.00695,0.00195,329.85,0.2725,0.0147,5140,53,63,USGS,6/14/2017,14,6,A
207,2017,GR,17-Aug,Clark Fork River above Little Blackfoot,8/7/2017,7,8,116.2428571,167.6380952,16.2,8.23,472.95,0.875,10.33,105,263.9,0.012533333,0.07435,0.00455,307.4,0.321,0.0174,1840,54,36,USGS,6/14/2017,14,6,A
285,2022,FH,22-Aug,Clark Fork River above Flathead,8/6/2022,6,8,6.24437619,4.041176471,19.73333333,8.196666667,227.1333333,0.96,77.98666667,,,0.016666667,0.0165,0.0185,,0.17,0.029333333,35700,54,176,USGS,6/13/2022,13,6,A
290,2022,HU,22-Aug,Clark Fork River at Huson,8/6/2022,6,8,33.23872857,14.6875,18.7,7.936666667,251.1666667,3.803333333,65.27333333,,,0.01,0.037333333,0.0015,,0.2,0.032333333,28700,54,149,USGS,6/13/2022,13,6,A
113,2011,DL,11-Aug,Clark Fork River at Deer Lodge,8/8/2011,8,8,66.19047619,16.23809524,16.26666667,8.346666667,317.4,4.456666667,8.956666667,,218.6,0.018433333,0.089466667,0.029233333,206.4666667,0.304,0.0503,1960,55,15,USGS,6/14/2011,14,6,A
185,2016,DL,16-Jul,Clark Fork River at Deer Lodge,7/16/2016,16,7,389.1023256,118.6211628,16.05,8.285,400.2,1.9,9.045,91.9,231.7,0.012,0.0387,0.0036,260.3,0.2945,0.0194,507,55,20,USGS,5/22/2016,22,5,A
202,2017,DL,17-Aug,Clark Fork River at Deer Lodge,8/8/2017,8,8,190.5857143,99.56190476,16,8.135,421.5,1.3,9.07,91.95,274.7,0.013933333,0.240733333,0.0038,274,0.530666667,0.016866667,1560,55,21,USGS,6/14/2017,14,6,A
212,2017,MS,17-Aug,Clark Fork River above Missoula,8/8/2017,8,8,106.6142857,56.6,16.75,8.455,267.3,1.62,9.515,98.5,243.55,0.0116,0.00205,0.002,173.85,0.18,0.01085,14700,55,90,USGS,6/14/2017,14,6,A
