,Group.1,Site,...1,Day,Month,Year,Arsenic..water..filtered..micrograms.per.liter,Arsenic..water..unfiltered..micrograms.per.liter,Cadmium..water..filtered..micrograms.per.liter,Cadmium..water..unfiltered..micrograms.per.liter,Copper..water..filtered..micrograms.per.liter,Copper..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..filtered..micrograms.per.liter,Lead..water..filtered..micrograms.per.liter,Lead..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..filtered..micrograms.per.liter,Zinc..water..filtered..micrograms.per.liter,Zinc..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..filtered..micrograms.per.liter
1,Aug-00,DL,25.5,20,9,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1-Aug,DL,33,21,9,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2-Aug,DL,38,22,9,2002,12.7,13,0.08,0.055,10.7,15.7,99.8,5.4,0.048,1,15.6,8.45,8.3,11,NA,NA
4,3-Aug,DL,46,25,9,2003,15.8,20,0.039,0.106,6.6,17.8,149,8,0.057,1.46,73.4,17.1,2.6,13,NA,NA
5,4-Aug,DL,52.5,12,9,2004,14.7,16,0.035,0.102,6.6,14.2,159,6.4,0.08,1.35,116,34.1,2.6,13,NA,NA
6,5-Aug,DL,61,22,9,2005,14.2,15.9,0.061,0.072,8.4,14.2,74.1,6.3,0.041,0.69,46.7,21.6,10.8,13,NA,NA
7,6-Aug,DL,66.5,13.5,9,2006,12.4,4.8,0.04,0.062,6.5,NA,67.1,5.9,0.04,0.33,162,30.9,4.9,NA,NA,NA
8,7-Aug,DL,75.5,24.5,9,2007,13.5,13.9,0.041,0.045,6.3,10.7,56.7,6.7,0.12,0.53,29.1,11.6,5.9,8.4,NA,NA
9,8-Aug,DL,81,19,9,2008,17.6,19.2,0.03,0.024,6.9,11,54.3,4,0.052,0.55,21.5,4.05,3.5,6.1,NA,NA
10,9-Aug,DL,89,18.66666667,9,2009,19.4,21.2,0.051,0.129,6.8,24.2,334,9.6,0.089,3.09,75.5,21.8,6.9,18.8,NA,NA
11,10-Aug,DL,97.5,18,9,2010,15.2,17.2,0.055,0.097,5.9,14.8,183,9.6,0.086,1.47,52.1,29.1,6.6,13.9,NA,NA
12,11-Aug,DL,113.5,14.25,9,2011,18.7,20,0.089,0.121,7.4,21,244,9.4,0.081,1.95,59.1,31.1,6.6,17.8,NA,NA
13,12-Aug,DL,214,16.52631579,9,2012,16,15.4,0.047,0.058,7.2,12.2,70,13,0.099,0.65,35.3,20,3.6,6.9,NA,NA
14,13-Aug,DL,332.5,15.75,9,2013,13.2,13.3,0.035,0.046,5.5,9.4,76.3,8.3,0.06,0.6,29.3,17,3,5.6,NA,NA
15,14-Aug,DL,493,14.52631579,9,2014,16.8,17.7,0.048,0.06,7,11.8,82.6,13.6,0.121,0.78,34.8,14.6,2.7,6.5,NA,NA
16,15-Aug,DL,604,14.36842105,9,2015,14.1,14.6,0.047,0.05,7.3,10.2,63,13.7,0.114,0.55,22.9,11.7,3.1,5,NA,NA
17,16-Aug,DL,632,9,9,2016,13,15,0.031,0.03,6,8.4,36.3,9.6,0.05,0.23,6.8,2.54,2,3,NA,NA
18,17-Aug,DL,635,15,9,2017,14.8,15,0.051,0.09,8.4,15,122,16.3,0.154,0.97,44,19.5,4.9,11,NA,NA
19,18-Aug,DL,638,14,9,2018,18,18.8,0.077,0.09,9.6,14.4,78.2,17.4,0.113,0.66,26.1,17.7,4.3,7,NA,NA
20,19-Aug,DL,641,20,9,2019,14.9,17.5,0.05,0.08,NA,16.2,137,14.4,0.126,1.05,44.8,22.2,4.2,10,NA,NA
