,Site,date_yearmon,Day,Month,Year,Arsenic..water..filtered..micrograms.per.liter,Arsenic..water..unfiltered..micrograms.per.liter,Cadmium..water..filtered..micrograms.per.liter,Cadmium..water..unfiltered..micrograms.per.liter,Copper..water..filtered..micrograms.per.liter,Copper..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..filtered..micrograms.per.liter,Lead..water..filtered..micrograms.per.liter,Lead..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..filtered..micrograms.per.liter,Zinc..water..filtered..micrograms.per.liter,Zinc..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..filtered..micrograms.per.liter
1,DL,Jun-97,1,7,1997,22,44,0.2,1,32,130,1580,29.7,0.5,15,190,33.5,23.4,110,NA,NA
2,DL,Jun-97,12,7,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,DL,Jun-97,23,7,1997,21,37,0.1,1,18.5,92,1140,21.2,0.5,10.8,160,55.4,8.5,80,NA,NA
4,DL,Jul-97,23,8,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,DL,Aug-97,9,9,1997,24,26,0.1,1,10,47.3,470,11,0.5,4.7,90,29.6,9.9,40,NA,NA
6,DL,Aug-97,13,9,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,DL,Jun-98,3,7,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,DL,Jun-98,20,7,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DL,Jun-98,29,7,1998,16,20,0.1,1,11.7,55.7,840,16.8,0.6,6.2,130,25.8,10,50,NA,NA
10,DL,Jul-98,29,8,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,DL,Aug-98,21,9,1998,19,20,0.1,1,6.1,10,70,5,0.6,1,40,23.9,10,10,NA,NA
12,DL,Jun-99,4,7,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,DL,Jun-99,10,7,1999,17,27,0.1,1,9.8,58.6,904,15.6,0.5,7.5,159,22.8,20,37.8,NA,NA
14,DL,Jun-99,16,7,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,DL,Jun-99,22,7,1999,15,20,0.1,1,10,69.6,927,17.6,0.5,7.3,132,15.5,20,50.6,NA,NA
16,DL,Jun-99,30,7,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,DL,Jul-99,15,8,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,DL,Jul-99,29,8,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,DL,Aug-99,13,9,1999,18,20,0.1,1,7.2,32.1,377,7,0.5,3.5,147,23.2,4.9,38.2,NA,NA
20,DL,Aug-99,19,9,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,DL,Jun-00,5,7,2000,16.9,19,0.1,0.1,6.8,28.8,335,7.4,1,3.23,157,64.2,12.4,28,NA,NA
22,DL,Jun-00,22,7,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,DL,Jul-00,12,8,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,DL,Jul-00,21,8,2000,12,15,0.1,0.1,5.8,12.7,97.8,10,1,1.03,85.5,47.2,3.6,11,NA,NA
