"","Year","agency_cd","site_no","datetime","Day","Q_CFS","STAT"
"1",11982,"USGS","DL","6/14/1997",14,1980,"A"
"2",13979,"USGS","DL","7/1/1997",1,994,"A"
"3",15976,"USGS","DL","8/6/1997",6,418,"A"
"4",17973,"USGS","DL","9/22/1997",22,338,"A"
"5",19970,"USGS","DL","10/31/1997",31,370,"A"
"6",21967,"USGS","DL","11/1/1997",1,374,"A"
"7",23964,"USGS","DL","12/1/1997",1,334,"A"
"8",1998,"USGS","DL","1/20/1998",20,309,"A"
"9",3996,"USGS","DL","2/8/1998",8,289,"A"
"10",5994,"USGS","DL","3/24/1998",24,360,"A"
"11",7992,"USGS","DL","4/8/1998",8,334,"A"
"12",9990,"USGS","DL","5/27/1998",27,465,"A"
"13",11988,"USGS","DL","6/20/1998",20,1050,"A"
"14",13986,"USGS","DL","7/4/1998",4,1090,"A"
"15",15984,"USGS","DL","8/7/1998",7,176,"A"
"16",17982,"USGS","DL","9/30/1998",30,225,"A"
"17",19980,"USGS","DL","10/11/1998",11,289,"A"
"18",21978,"USGS","DL","11/14/1998",14,321,"A"
"19",23976,"USGS","DL","12/30/1998",30,276,"A"
"20",1999,"USGS","DL","1/11/1999",11,266,"A"
"21",3998,"USGS","DL","2/26/1999",26,268,"A"
"22",5997,"USGS","DL","3/25/1999",25,305,"A"
"23",7996,"USGS","DL","4/29/1999",29,281,"A"
"24",9995,"USGS","DL","5/30/1999",30,733,"A"
"25",11994,"USGS","DL","6/4/1999",4,796,"A"
"26",13993,"USGS","DL","7/1/1999",1,351,"A"
"27",15992,"USGS","DL","8/13/1999",13,126,"A"
"28",17991,"USGS","DL","9/5/1999",5,166,"A"
"29",19990,"USGS","DL","10/30/1999",30,244,"A"
"30",21989,"USGS","DL","11/26/1999",26,251,"A"
"31",23988,"USGS","DL","12/21/1999",21,240,"A"
"32",2000,"USGS","DL","1/14/2000",14,227,"A"
"33",4000,"USGS","DL","2/24/2000",24,233,"A"
"34",6000,"USGS","DL","3/1/2000",1,231,"A"
"35",8000,"USGS","DL","4/23/2000",23,217,"A"
"36",10000,"USGS","DL","5/31/2000",31,169,"A"
"37",12000,"USGS","DL","6/1/2000",1,183,"A"
"38",14000,"USGS","DL","7/4/2000",4,101,"A"
"39",16000,"USGS","DL","8/30/2000",30,45,"A"
"40",18000,"USGS","DL","9/28/2000",28,138,"A"
"41",20000,"USGS","DL","10/13/2000",13,217,"A"
"42",22000,"USGS","DL","11/5/2000",5,199,"A"
"43",24000,"USGS","DL","12/5/2000",5,195,"A:e"
"44",2001,"USGS","DL","1/1/2001",1,193,"A"
"45",4002,"USGS","DL","2/3/2001",3,185,"A"
