,ucfr.data.Site.1,ucfr.data.ActivityStartDate,UCFR.tc5.lr005.fitted,ucfr.data.Chlorophyll.a..corrected.for.pheophytin,R
1,FH,8/1/2008,1.653842349,0.726998728,0.439581637
2,FH,9/1/2008,1.704923246,1.155336037,0.67764695
167,HU,8/1/2008,1.549249791,1.080987047,0.697748713
26,FH,8/4/2021,1.636499915,1.309731531,0.800324839
28,FH,8/1/2022,1.157787807,0.940187945,0.81205549
204,BM,8/2/2012,1.864316914,1.52842694,0.819832148
54,GR,7/24/2019,1.829653994,1.544908586,0.844371991
215,BM,7/4/2017,1.371899698,1.161510604,0.846643968
117,BN,8/2/2017,1.675502902,1.429136805,0.85295991
123,BN,7/24/2020,2.021521726,1.752712833,0.867026463
180,HU,8/2/2015,1.414123155,1.227601079,0.868100543
20,FH,8/3/2018,1.407737997,1.228427376,0.872625005
113,BN,9/7/2015,2.015899794,1.763784411,0.87493655
119,BN,8/4/2018,1.601461353,1.404344921,0.87691465
16,FH,7/29/2016,1.238069628,1.086359831,0.877462629
18,FH,8/1/2017,1.212540498,1.075546961,0.887019414
187,HU,9/5/2018,1.661014656,1.47359123,0.887163292
49,GR,7/5/2017,1.735308465,1.544068044,0.889794567
116,BN,7/5/2017,1.524213662,1.356700577,0.890098685
198,BM,8/3/2009,1.785919542,1.591064607,0.890893777
17,FH,9/3/2016,1.310304189,1.16879202,0.892000522
139,DL,9/3/2011,1.851361421,1.660530676,0.896924099
203,BM,9/5/2011,1.779039324,1.605664116,0.902545601
3,FH,8/2/2009,1.525752823,1.381072083,0.905174195
124,BN,8/5/2020,2.03654445,1.847531531,0.907189397
216,BM,8/5/2017,1.557369829,1.414814237,0.908463879
175,HU,8/1/2012,1.561516441,1.420505837,0.909696369
8,FH,9/4/2011,1.321239619,1.202825512,0.910376509
212,BM,9/7/2015,2.070744878,1.88836673,0.911926307
177,HU,7/31/2013,1.283230943,1.176091259,0.916507871
153,DL,9/3/2017,2.059183277,1.891351584,0.918495991
27,FH,9/3/2021,1.858291865,1.714010249,0.922357936
140,DL,7/31/2012,2.217153156,2.045695444,0.922667629
82,MS,7/6/2017,1.590653568,1.467772487,0.922748056
173,HU,8/2/2011,1.353993706,1.250652307,0.923676603
7,FH,8/2/2011,1.124585614,1.041392685,0.926023481
90,MS,7/22/2020,1.729147143,1.603124316,0.927118506
163,DL,9/2/2021,2.164138975,2.010672191,0.929086447
73,MS,9/3/2012,1.945343275,1.808114474,0.929457796
78,MS,8/3/2015,1.932945162,1.797696116,0.930029548
218,BM,8/5/2018,1.755374408,1.638594337,0.933472842
40,GR,6/28/2013,1.931450677,1.807104333,0.935620233
182,HU,7/29/2016,1.72438728,1.613539809,0.935717764
220,BM,8/3/2019,1.769158646,1.656241984,0.936174937
81,MS,8/31/2016,1.960672744,1.837347898,0.93710075
206,BM,8/1/2013,1.467850645,1.37675071,0.937936509
46,GR,9/5/2015,2.24905072,2.114579216,0.940209661
70,MS,8/3/2011,1.488242714,1.399274248,0.940219115
192,HU,8/4/2021,1.917918976,1.805856718,0.941570911
52,GR,8/4/2018,2.102080096,1.9809403,0.942371465
111,BN,7/1/2015,1.955909132,1.844506761,0.943043176
6,FH,9/10/2010,1.673418797,1.578748329,0.943426913
136,DL,8/1/2010,1.843534715,1.747166398,0.947726334
129,BN,7/15/2022,1.932510912,1.831755696,0.947863054
178,HU,8/31/2013,1.448628036,1.377618431,0.950981478
21,FH,9/5/2018,1.562838319,1.488617856,0.952509187
115,BN,9/4/2016,2.086550277,1.987991093,0.952764529
189,HU,9/1/2019,1.927420642,1.839478047,0.95437291
79,MS,9/4/2015,1.9764167,1.887027554,0.954772115
69,MS,9/10/2010,1.950062112,1.863219383,0.955466685
121,BN,7/23/2019,1.933531417,1.847676833,0.955597006
144,DL,9/1/2013,2.330540283,2.228183118,0.95608007
103,BN,8/1/2011,1.623460733,1.55479191,0.957702197
44,GR,7/1/2015,1.960001128,1.88149878,0.959947805
89,MS,9/2/2019,2.091601108,2.012204296,0.962040175
183,HU,9/3/2016,1.925867016,1.853292519,0.962315935
86,MS,9/10/2018,1.90239616,1.830955085,0.962446794
160,DL,9/1/2020,2.089902215,2.012318895,0.962877057
162,DL,8/3/2021,2.223724995,2.147897059,0.965900488
131,BN,9/1/2022,2.015279756,1.948881964,0.967052816
