,Year,Site,day,month,ActivityStartDate,NH4_mg_L,DIN_mg_L,SRP__mg_L,pH,SPC,Temp_oC,TDS,TP_mg_L,TN_mg_L,TURBIDITY,...1,datetime.x,Day,Month,Q_CFS.x,Q_CFS.x,Q_CFS.y,anomaly,date_column,Days_Since_Freshet,AFDM,CHLa
150,2013,DL,1,8,8/11/2013,0.017110833,0.123040833,0.010386667,8.34,475.025,18.05,308.9,0.023900833,0.422168333,2.6175,71,5/30/2013,30,5,349,2.542825427,266,1.0947491,8/1/2013,73.83333333,110.5714286,331.4482759
151,2013,DL,1,9,9/6/2013,0.016680833,0.188708333,0.008634167,8.2425,498.6,15.95,324.175,0.019960833,0.477410833,3.43,71,5/30/2013,30,5,349,2.542825427,266,1.0947491,9/1/2013,99,80.96153846,168.1153846
152,2013,DL,1,6,6/28/2013,0.015905,0.067495,0.01218,8.425,449.8,19.1,292.5,0.028665,0.34142,2.43,71,5/30/2013,30,5,349,2.542825427,266,1.0947491,6/1/2013,29,71.35,244.9
142,2013,GR,1,6,6/28/2013,0.01894,0.001505,0.018715,8.47,453.95,18.65,295.1,0.0314,0.281795,1.31,113,5/30/2013,30,5,394,2.595496222,270,1.134255305,6/1/2013,29,61.95652174,63.13636364
143,2013,GR,1,8,8/9/2013,0.013233333,0.001439167,0.017525833,8.4275,470.275,17.6,305.65,0.029461667,0.2755425,1.415,113,5/30/2013,30,5,394,2.595496222,270,1.134255305,8/1/2013,71.5,107.0740741,196.8888889
144,2013,GR,1,9,9/6/2013,0.008283333,0.005199167,0.016255833,8.325,492.875,15.725,320.275,0.028679167,0.27053,1.8025,113,5/30/2013,30,5,394,2.595496222,270,1.134255305,9/1/2013,99,71.71428571,150.0689655
192,2016,DL,1,7,7/15/2016,0.012,0.0387,0.0036,8.285,400.2,16.05,260.3,0.0194,0.2945,1.9,74,5/22/2016,22,5,507,2.705007959,266,1.23986797,7/1/2016,54.10465116,118.6211628,389.1023256
193,2016,DL,1,9,9/13/2016,0.019416667,0.2192,0.002425,8.2075,456.7,11.925,296.725,0.01435,0.4235,1.685,74,5/22/2016,22,5,507,2.705007959,266,1.23986797,9/1/2016,114,81.25,260.6904762
265,2021,GR,1,7,7/16/2021,0.025,0.002,0.004666667,8.67,476.15,20.75,,0.034333333,0.26,2.635,121,6/6/2021,6,6,577,2.761175813,270,1.288063725,7/1/2021,40.77777778,59.95238095,99.66666667
266,2021,GR,1,8,8/16/2021,0.0275,0.003,0.003833333,8.6425,487.425,19.75,,0.032166667,0.26,2.925,121,6/6/2021,6,6,577,2.761175813,270,1.288063725,8/1/2021,71.66666667,61.80952381,238.8571429
267,2021,GR,1,9,9/11/2021,0.025,0.019,0.0025,8.5675,504.075,14.65,,0.02275,0.2425,2.6,121,6/6/2021,6,6,577,2.761175813,270,1.288063725,9/1/2021,97.83333333,46.80952381,144.8571429
273,2021,DL,1,7,7/16/2021,0.03,0.114,0.002,8.44,453.15,19.35,,0.021,0.335,2.77,79,6/6/2021,6,6,590,2.770852012,266,1.304137726,7/1/2021,40.33333333,41.9047619,120.4285714
274,2021,DL,1,8,8/16/2021,0.03,0.1035,0.002,8.435,483.6,18.075,,0.019,0.3325,2.9,79,6/6/2021,6,6,590,2.770852012,266,1.304137726,8/1/2021,71.33333333,37.19047619,139.5714286
275,2021,DL,1,9,9/13/2021,0.025,0.106,,8.31,523.325,13.225,,0.0145,0.32,3.005,79,6/6/2021,6,6,590,2.770852012,266,1.304137726,9/1/2021,99.66666667,30.80952381,101.4878049
186,2016,GR,1,7,7/15/2016,0.0219,0.00125,0.0231,8.15,438.3,15.55,284.7,0.04325,0.285,1.37,116,5/28/2016,28,5,598,2.776701184,270,1.303504315,7/1/2016,48.11111111,170.2084444,195.4755556
187,2016,GR,1,9,9/13/2016,0.0171125,0.018333333,0.008941667,8.1925,464.45,12.225,301.925,0.026433333,0.286583333,1.2025,116,5/28/2016,28,5,598,2.776701184,270,1.303504315,9/1/2016,108,52.92285714,125.1761905
176,2015,DL,1,7,7/8/2015,0.01085,0.0503,0.0042,8.305,354.05,17.8,230.1,0.0197,0.3285,2.565,73,6/3/2015,3,6,628,2.797959644,266,1.331555693,7/1/2015,35,74.19047619,188.9047619
177,2015,DL,1,8,8/9/2015,0.010258333,0.104966667,0.003275,8.31,409.425,16.125,266.175,0.016125,0.36725,1.9475,73,6/3/2015,3,6,628,2.797959644,266,1.331555693,8/1/2015,67.11111111,103.1428571,235.2857143
178,2015,DL,1,9,9/10/2015,0.012108333,0.124366667,0.002425,8.35,467.95,13.075,304.2,0.015775,0.3975,2.3475,73,6/3/2015,3,6,628,2.797959644,266,1.331555693,9/1/2015,99.5,50.85714286,158.3809524
161,2014,DL,1,8,8/14/2014,0.012625,0.056175,0.013575,8.3025,378.825,18.175,246.375,0.0324,0.329,4.3375,72,6/28/2014,28,6,741,2.869818208,266,1.407058618,8/1/2014,47.8,65.13333333,225.0666667
134,2012,DL,1,9,9/4/2012,0.008091667,0.097866667,0.005855833,8.435,408.7416667,14.425,265.7833333,0.019925833,0.382179167,2.108333333,70,6/6/2012,6,6,781,2.892651034,266,1.431934433,9/1/2012,90.75,58.33333333,180.7142857
135,2012,DL,1,7,7/24/2012,0.01643875,0.04661,0.0138625,8.433333333,297.0916667,16.53333333,193.075,0.03853375,0.3069925,3.791666667,70,6/6/2012,6,6,781,2.892651034,266,1.431934433,7/1/2012,48.5,50.04761905,110.0952381
167,2015,GR,1,7,7/8/2015,0.0087,0.00165,0.01085,8.225,377.7,17.35,245.7,0.03135,0.3175,1.885,115,6/3/2015,3,6,807,2.906873535,270,1.440466813,7/1/2015,35,135.88,75.12
168,2015,GR,1,8,8/7/2015,0.0116875,0.0037875,0.008891667,8.2175,427.55,15.85,278.05,0.027691667,0.265,1.735,115,6/3/2015,3,6,807,2.906873535,270,1.440466813,8/1/2015,65.16666667,183.5714286,312.1904762
169,2015,GR,1,9,9/10/2015,0.0142875,0.0162875,0.006216667,8.205,479.925,12.925,312.025,0.027816667,0.28925,2.6475,115,6/3/2015,3,6,807,2.906873535,270,1.440466813,9/1/2015,99.5,45.85714286,129.1904762
290,2022,DL,1,7,7/18/2022,0.03,0.0135,0.002,8.41,430.6,20.5,,0.045,0.213333333,2.57,80,6/12/2022,12,6,856,2.932473765,266,1.476377358,7/1/2022,36.75,33.55,187.839265
291,2022,DL,1,8,8/11/2022,0.0225,0.064,0.00195,8.39,460.325,19.975,,0.0285,0.256666667,1.9575,80,6/12/2022,12,6,856,2.932473765,266,1.476377358,8/1/2022,60.25,87.08333333,175.9389958
292,2022,DL,1,9,9/11/2022,0.015,0.132,0.0014,8.325,513.675,16.775,,0.01,0.3475,1.6425,80,6/12/2022,12,6,856,2.932473765,266,1.476377358,9/1/2022,91.5,201.6956522,208.5242
282,2022,GR,1,7,7/18/2022,0.03,,0.021,8.43,436.1,21.2,,0.05,0.223333333,3.125,122,6/13/2022,13,6,923,2.965201701,270,1.506419674,7/1/2022,35.75,74.10526316,51.61791579
283,2022,GR,1,8,8/11/2022,0.0225,0.006,0.014,8.5075,451.125,21.1,,0.042,0.214166667,2.41,122,6/13/2022,13,6,923,2.965201701,270,1.506419674,8/1/2022,59.25,115.0952381,75.09674762
284,2022,GR,1,9,9/13/2022,0.015,0.006,0.00415,8.5325,495.35,18.35,,0.023333333,0.219166667,1.445,122,6/13/2022,13,6,923,2.965201701,270,1.506419674,9/1/2022,92.66666667,102.8636364,99.26024091
78,2008,DL,1,8,8/10/2008,0.015,0.043625,,8.743333333,390.8333333,17.73333333,207.35,0.033375,0.254166667,3.205,66,6/5/2008,5,6,957,2.980911938,266,1.532298702,8/1/2008,66.5,79.77142857,172.0714286
79,2008,DL,1,9,9/9/2008,0.01,0.0585,,8.919166667,460.6666667,13.96666667,246.8333333,0.02175,0.241666667,2.865,66,6/5/2008,5,6,957,2.980911938,266,1.532298702,9/1/2008,96,45.145,200.85
158,2014,GR,1,8,8/12/2014,0.010725,0.013425,0.022516667,8.215,387.95,18.275,252.375,0.0445,0.309666667,4.18,114,6/28/2014,28,6,978,2.990338855,270,1.535765935,8/1/2014,45.44074074,105.9522727,95.61363636
128,2012,GR,1,9,9/4/2012,0.0094,,0.006783333,8.4425,424.4416667,14.175,275.8333333,0.025575,0.280298333,2.174166667,112,6/6/2012,6,6,999,2.999565488,270,1.546680374,9/1/2012,90.75,57.0952381,147.7619048
129,2012,GR,1,7,7/21/2012,0.00955375,0.013525,0.02191875,8.409166667,345.2833333,16.65833333,224.4083333,0.04719625,0.310735,3.915,112,6/6/2012,6,6,999,2.999565488,270,1.546680374,7/1/2012,45.4,72.61904762,85.19047619
147,2013,BN,1,8,8/9/2013,0.014190833,0.0067675,0.006095,8.3075,476.95,18.275,309.9,0.0147475,0.261984167,2.265,44,5/31/2013,31,5,1080,3.033423755,2830,0.725346923,8/1/2013,70,60.61904762,111.952381
148,2013,BN,1,6,6/28/2013,0.018076667,0.011175,0.00556,8.3,446.4,19,289.9,0.01542,0.310273333,2.075,44,5/31/2013,31,5,1080,3.033423755,2830,0.725346923,6/1/2013,28,78.0952381,99
149,2013,BN,1,9,9/6/2013,0.0108,0.0017925,0.00682,8.2975,513.75,16.65,333.95,0.02142,0.22493,4.8425,44,5/31/2013,31,5,1080,3.033423755,2830,0.725346923,9/1/2013,98,63.47619048,119.6190476
92,2009,DL,1,8,8/7/2009,0.009068,0.060303667,0.013759,8.606666667,361,18.78333333,182.5833333,0.037030417,0.326125,4.623333333,67,6/1/2009,1,6,1140,3.056904851,266,1.624330522,8/1/2009,67.94444444,51.1,181.047619
93,2009,DL,1,9,9/7/2009,0.010738333,0.063395,0.009,8.635,421.8333333,18.58333333,224,0.023746667,0.312333333,2.893333333,67,6/1/2009,1,6,1140,3.056904851,266,1.624330522,9/1/2009,98.5,91.8,502.9047619
240,2019,DL,1,7,7/15/2019,0.025,0.0295,0.0255,8.85,345.4,18.05,224.575,0.034,0.235,3.23,77,5/18/2019,18,5,1280,3.10720997,266,1.688273399,7/1/2019,58.84444444,66.87256236,201.9852608
241,2019,DL,1,8,8/21/2019,0.0275,0.086,0.027,8.6725,391.35,18.85,254.475,0.02975,0.29,3.075,77,5/18/2019,18,5,1280,3.10720997,266,1.688273399,8/1/2019,95.75,75.89090909,188.9727273
190,2016,BN,1,7,7/15/2016,0.008033333,0.001633333,0.001233333,8.135,465.15,17.3,302.3,0.0088,0.211666667,0.94,47,5/28/2016,28,5,1330,3.123851641,2830,0.777478525,7/1/2016,48.56976744,178.8008108,185.3513514
191,2016,BN,1,9,9/13/2016,0.029875,0.017025,0.006725,8.41,493.625,14.5,320.925,0.0621,0.41475,21.83,47,5/28/2016,28,5,1330,3.123851641,2830,0.777478525,9/1/2016,108,60.10454545,96.27272727
86,2009,GR,1,9,9/7/2009,0.008001667,0.010178333,0.012443333,8.476666667,438,18.55,232.6666667,0.028271667,0.247833333,2.568333333,109,6/1/2009,1,6,1420,3.152288344,270,1.739034482,9/1/2009,98.5,60.65,126.2857143
87,2009,GR,1,8,8/7/2009,0.006436667,0.012704583,0.018618,8.491666667,385,18.5,204.6166667,0.041574583,0.293625,4.585,109,6/1/2009,1,6,1420,3.152288344,270,1.739034482,8/1/2009,67.66666667,95.22,102.2047619
233,2019,GR,1,7,7/16/2019,0.0137,,0.046,8.735,378.15,19.4,245.705,0.053,0.23,4.03,119,5/18/2019,18,5,1420,3.152288344,270,1.739034482,7/1/2019,59.5,47.52297297,34.06780522
234,2019,GR,1,8,8/21/2019,0.02185,0.074,0.038,8.6925,411.025,19.55,266.9925,0.04525,0.27,3.315,119,5/18/2019,18,5,1420,3.152288344,270,1.739034482,8/1/2019,95.75,54.61052632,141.5947368
106,2010,DL,1,8,8/6/2010,0.0093,0.0407375,0.027645833,8.353333333,337,19.28333333,179.05,0.061816667,0.299916667,5.79,68,6/17/2010,17,6,1470,3.167317335,266,1.767984959,8/1/2010,50,39.375,54.86842105
