,Year,Month,Site,Group.1,Group.2,ActivityStartDate,Day.x,Chlorophyll.a..corrected.for.pheophytin,Weight,Temperature..water,pH,Specific.conductance,Turbidity,T/W,Dissolved.oxygen.saturation,Oxidation.reduction.potential..ORP.,Ammonia,Nitrate...Nitrite,Orthophosphate,Total.dissolved.solids,Total.Nitrogen..mixed.forms,Total.Phosphorus..mixed.forms,Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,...1,TN_DISS,TP_DISS,X.Arsenic..water..filtered..micrograms.per.liter,X.Cadmium..water..filtered..micrograms.per.liter,X.Copper..water..filtered..micrograms.per.liter,X.Iron..water..filtered..micrograms.per.liter,X.Lead..water..filtered..micrograms.per.liter,X.Manganese..water..filtered..micrograms.per.liter,X.Zinc..water..filtered..micrograms.per.liter
261,2017,7,BN,17-Jul,Clark Fork River at Bonita,7/10/2017,10,17.59542857,24.08235294,19.85,8.26,445.25,2.985,0.123949682,91.55,238.65,0.01745,0.0047,0.01265,289.55,0.225,0.03305,5140,2830,1.347684836,26,48,0.0204,0.23775,26.5,0.067,,,,,
263,2017,7,GR,17-Jul,Clark Fork River above Little Blackfoot,7/9/2017,9,22.667,27.72857143,19,8.235,398.05,2.15,0.077537352,94.25,215.2,0.0135,0.0025,0.0151,258.7,0.2845,0.03585,1840,270,2.610520028,25,117,0.02075,0.2955,27.4,0.102,,,,,
262,2017,7,DL,17-Jul,Clark Fork River at Deer Lodge,7/9/2017,9,105.9761905,53.1,18.6,8.22,363.45,2.29,0.043126177,91.75,212.85,0.01275,0.02725,0.0081,236.25,0.2595,0.024,1560,266,2.421706352,25,75,0.0159,0.245,22.8,,,,,,
264,2017,7,MS,17-Jul,Clark Fork River above Missoula,7/10/2017,10,24.30966667,18.24444444,18.9,8.175,253,2.34,0.128258222,93.35,234.95,0.0149,0.002,0.0042,164.45,0.169,0.01515,14700,2580,2.386980188,26,171,0.01095,0.1819,7.2,0.033,8,,,44.6,8.6
226,2015,7,GR,15-Jul,Clark Fork River above Little Blackfoot,7/3/2015,3,75.12,135.88,17.35,8.225,377.7,1.885,0.013872535,81,101.7,0.0087,0.00165,0.01085,245.7,0.3175,0.03135,807,270,1.728840331,30,115,0.0205,0.32455,18.7,0.084,14.4,,,23.3,6.7
342,2021,8,DL,21-Aug,Clark Fork River at Deer Lodge,8/8/2021,8,139.5714286,37.19047619,16.8,8.43,514.05,3.03,0.081472471,,,0.03,0.093,,,0.33,0.017,590,266,1.489310281,63,79,0.017,0.267,13.2,0.053,6.6,21.2,0.427,46.8,3.7
354,2022,7,BN,22-Jul,Clark Fork River at Bonita,7/17/2022,17,66.88216667,62.61904762,22.05,8.395,441,8.14,0.129992395,,,,0.021,0.0225,,0.21,0.06,2170,2830,0.875662294,34,53,0.0375,0.189,10.4,0.081,7.6,36.7,0.392,12.6,5.7
170,2012,7,GR,12-Jul,Clark Fork River above Little Blackfoot,7/23/2012,23,85.19047619,72.61904762,19.06666667,8.383333333,408.8666667,2.1,0.028918033,,111.3333333,0.0088675,0.00178,0.0193825,265.8666667,0.29065,0.0480775,999,270,1.923538406,47,112,0.028695,0.2977375,13.85,0.0705,12.25,28.45,0.2865,31.35,6.6
137,2010,8,BN,10-Aug,Clark Fork River at Bonita,8/5/2010,5,58.89005,68.68421053,19.73333333,8.073333333,436,2.79,0.04062069,,-51.33333333,0.00765,0.003966667,0.0206,231.3333333,0.217666667,0.0363,4130,2830,1.208041372,48,41,0.0157,0.22135,12.9,0.057,4.8,4,0.285,13.8,4.9
318,2020,7,DL,20-Jul,Clark Fork River at Deer Lodge,7/23/2020,23,73.59219048,33.006,19.1,8.47,364.05,3.44,0.104223475,,,,0.016,0.006,,0.17,0.023,1590,266,2.444881103,34,78,0.017,0.154,10.3,0.102,10.8,33.1,0.275,16.2,7
