"","date_yearmon","Site","ActivityStartDate","Ammonia","Chlorophyll a, corrected for pheophytin","Kjeldahl nitrogen","Nitrate + Nitrite","Orthophosphate","pH","Specific conductance","Temperature, water","Total dissolved solids","Total Nitrogen, mixed forms","Total Phosphorus, mixed forms","Turbidity","Weight"
"1",Jun 2008,"Clark Fork River above Flathead",2008-06-19,15,NA,250,41.5,NA,8.165,124.1,14.45,65800,NA,46,22.25,NA
"2",Jul 2008,"Clark Fork River above Flathead",2008-07-17,10,NA,150,15,NA,8.48666666666667,173.433333333333,20.7666666666667,91966.6666666667,NA,14,3.85333333333333,NA
"3",Aug 2008,"Clark Fork River above Flathead",2008-08-22,10,NA,133.333333333333,16,NA,NA,NA,NA,NA,NA,8.5,NA,NA
"4",Sep 2008,"Clark Fork River above Flathead",2008-09-18,NA,NA,200,14,NA,8.865,237,16.45,126000,NA,9.5,1.77,NA
"5",Jun 2009,"Clark Fork River above Flathead",2009-06-25,18.55,NA,NA,31.78,9.39,8.07,146.4,19.2,77900,NA,24.04,11.4,NA
"6",Jul 2009,"Clark Fork River above Flathead",2009-07-16,9.25,NA,NA,5.83,3.88,8.29,195.6,22.1,103933.333333333,136,10.6866666666667,2.61666666666667,NA
"7",Aug 2009,"Clark Fork River above Flathead",2009-08-20,5.888,NA,NA,7.4625,3.4775,NA,NA,NA,NA,NA,NA,NA,NA
"8",Sep 2009,"Clark Fork River above Flathead",2009-09-11,11.9625,NA,NA,6.725,3.15,NA,NA,NA,NA,NA,NA,NA,NA
"9",Jun 2010,"Clark Fork River above Flathead",2010-06-24,58.4,NA,NA,42.5,12.7,7.83,143.3,18.9,76100,241,37.1,12.9,NA
"10",Jul 2010,"Clark Fork River above Flathead",2010-07-15,9.03333333333333,NA,NA,7.76666666666667,4.76666666666667,8.22,193.233333333333,21.0333333333333,102566.666666667,206,10.9333333333333,1.92,NA
"11",Aug 2010,"Clark Fork River above Flathead",2010-08-14,6.15,NA,NA,8,3.55,NA,NA,NA,NA,166.5,10.675,NA,NA
"12",Sep 2010,"Clark Fork River above Flathead",2010-09-09,9.4,NA,NA,9.16666666666667,3.2,8.54,243.333333333333,16.3,129333.333333333,157.666666666667,9.8,1.73666666666667,NA
"13",Jun 2011,"Clark Fork River above Flathead",2011-06-26,14.6,NA,NA,30.15,12.6,7.97,159.45,13.35,103400,NA,74,45,NA
"14",Jul 2011,"Clark Fork River above Flathead",2011-07-21,9.83333333333333,NA,NA,21.5666666666667,7.6,8.20666666666667,144.8,16.6,94066.6666666667,144,22.8,9.15333333333333,NA
"15",Aug 2011,"Clark Fork River above Flathead",2011-08-18,9.9,NA,NA,5.25,4.525,8.46333333333333,196.366666666667,18.5666666666667,127633.333333333,118.615,15.3,1.12666666666667,NA
"16",Sep 2011,"Clark Fork River above Flathead",2011-09-18,6.35,NA,NA,24.35,4.5,8.505,223.5,14.95,145250,149,8.05,1.29,NA
"17",Jun 2012,"Clark Fork River above Flathead",2012-06-24,7.025,NA,NA,13.875,7.045,8.28,110.95,14.35,72150,178.625,16.25,5.595,NA
"18",Jul 2012,"Clark Fork River above Flathead",2012-07-19,11.9466666666667,NA,NA,9.34333333333333,3.24,8.32666666666667,174.533333333333,19.8333333333333,113533.333333333,169.793333333333,9.47,1.65666666666667,NA
"19",Aug 2012,"Clark Fork River above Flathead",2012-08-16,7.66333333333333,NA,NA,10.085,4.16666666666667,NA,NA,NA,NA,165.765,8.2,NA,NA
"20",Sep 2012,"Clark Fork River above Flathead",2012-09-09,6.07,NA,NA,10.585,1.75,8.55,211,15.25,137500,196.455,7.78,1.235,NA
